title,link,published,summary
"This Bollywood actor was once rejected for being ‘too good looking’, now runs ₹100 cr skincare brand, fitness studios - Mint",https://news.google.com/rss/articles/CBMihgJBVV95cUxPMjFjckRCU1NMaFl1OXpVUTFfdkR4bV9YRkxYQ01Uc3ZfdFpGRUwxT3g0Z0VuU1dkdVpFUFJSQ2tRdnpXRk45ZWVYZjNKMnNTUDlSYzZESHJqNG1HTk93Z296Q29LWVJCMVVhU3NseE5tU0R4dmJmVEpoY09TVnNXanZMeVl2X1BhcDJ2dUw3bjNUbmxtbFNrYkxxeFhoeDZScnFjdGxXemluMDgwdkNXVXJUVXZzaEFMdHdCZnY0MFEzYWZPdGhDcU42a3daWS1HWFUxd2UxZ0NyNWplaDFGY2ZvSV9UcTg5eEMyZUI0NXJzRzczRzBEMVdfX3poRjZySC1UdTZ30gGLAkFVX3lxTFA0Z0Njbi0ycGRqYWE4VXdNRjFxRE5vYmxMWE5nZ0xsTFlreTVuRS1HYkhid0w3cFRXS3hEZmR4NlZ1LUlFM3B2UkdtUlFtM1NRVFdtZVJsdUhZeTZtRnNmaFpKUjlZbFVOdmVnWFhDdkFzN0FUWkxRNUxCUHh5MmNxX05fbVBDai0tUWg5VHZNck8zbk5yMjZRX2llYkNCc05xZ2NYVGZXMWYwLUZsVEZ0cGNPMkJJNGdUckNrTklwZHVDMy1aeVVRLXBMX2RZTmdIVU5UZVBPRDYxd3cweW9veXdyMzFGc2dUTmJzZXVsZlg4cjZjOS1WRXo0d1VqWkVRQWREemhtUFRpNA?oc=5,"Sun, 27 Jul 2025 18:07:42 GMT","<a href=""https://news.google.com/rss/articles/CBMihgJBVV95cUxPMjFjckRCU1NMaFl1OXpVUTFfdkR4bV9YRkxYQ01Uc3ZfdFpGRUwxT3g0Z0VuU1dkdVpFUFJSQ2tRdnpXRk45ZWVYZjNKMnNTUDlSYzZESHJqNG1HTk93Z296Q29LWVJCMVVhU3NseE5tU0R4dmJmVEpoY09TVnNXanZMeVl2X1BhcDJ2dUw3bjNUbmxtbFNrYkxxeFhoeDZScnFjdGxXemluMDgwdkNXVXJUVXZzaEFMdHdCZnY0MFEzYWZPdGhDcU42a3daWS1HWFUxd2UxZ0NyNWplaDFGY2ZvSV9UcTg5eEMyZUI0NXJzRzczRzBEMVdfX3poRjZySC1UdTZ30gGLAkFVX3lxTFA0Z0Njbi0ycGRqYWE4VXdNRjFxRE5vYmxMWE5nZ0xsTFlreTVuRS1HYkhid0w3cFRXS3hEZmR4NlZ1LUlFM3B2UkdtUlFtM1NRVFdtZVJsdUhZeTZtRnNmaFpKUjlZbFVOdmVnWFhDdkFzN0FUWkxRNUxCUHh5MmNxX05fbVBDai0tUWg5VHZNck8zbk5yMjZRX2llYkNCc05xZ2NYVGZXMWYwLUZsVEZ0cGNPMkJJNGdUckNrTklwZHVDMy1aeVVRLXBMX2RZTmdIVU5UZVBPRDYxd3cweW9veXdyMzFGc2dUTmJzZXVsZlg4cjZjOS1WRXo0d1VqWkVRQWREemhtUFRpNA?oc=5"" target=""_blank"">This Bollywood actor was once rejected for being ‘too good looking’, now runs ₹100 cr skincare brand, fitness studios</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>"
Kriti Sanon To Katrina Kaif: 7 Bollywood Actors Who Built Their Own Brands - News18,https://news.google.com/rss/articles/CBMi3AFBVV95cUxQdEpJaFhickNKb0RZLV9IZi02UnZxYXBVRHdYRGNnQW92alhXNDVHeWZtUXN0dFZOV2NoXzJVNDVFMmxGd1h4QWtza1VTbGlSYTFRNlNkQl8ydDlfdHhlR19uN3NLX3ZvTG9QY1pJYXVKODBJcFF5TmVadmIxZ3VEY2l3N3c0UWlvTGNZcnRaUzI0ZW5TdFprdWxIRkxkWlFYQTdzUkE5OWdoTG4tSWpnR0FTb2R6X0ZzYlFMQlliOEp5YVRPSGoxTVZFYkpSdjMwUUpyaGFwVkIwZDIy0gHiAUFVX3lxTE50eE5zQUJUR0tfNEpOZW1NYV81X1lILVBLaFEyYnpHRHRsc0c2dFc5STU5VXdaMEdkc05hSDZYdU4yTUJqdHVLRElFY0wzbFViZVN3YWxocS13eC1xN2FYYV9RWklkUzh2cXRLN0tKYUgxTXVEbGZLSVR1N2NWMGZoM290MFlpMVRCZEhiTjluNElXemZJQnVtMUtETmcxNWRsdUw5a2UwNUxIUU1WVC1mcXBHVHdUWEdCZTBTSnhlbTY0eHN6QU9ZaGd1V1YySUJlSGNvbUVZQWVlSlpJSDRCWkE?oc=5,"Sun, 27 Jul 2025 19:23:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxQdEpJaFhickNKb0RZLV9IZi02UnZxYXBVRHdYRGNnQW92alhXNDVHeWZtUXN0dFZOV2NoXzJVNDVFMmxGd1h4QWtza1VTbGlSYTFRNlNkQl8ydDlfdHhlR19uN3NLX3ZvTG9QY1pJYXVKODBJcFF5TmVadmIxZ3VEY2l3N3c0UWlvTGNZcnRaUzI0ZW5TdFprdWxIRkxkWlFYQTdzUkE5OWdoTG4tSWpnR0FTb2R6X0ZzYlFMQlliOEp5YVRPSGoxTVZFYkpSdjMwUUpyaGFwVkIwZDIy0gHiAUFVX3lxTE50eE5zQUJUR0tfNEpOZW1NYV81X1lILVBLaFEyYnpHRHRsc0c2dFc5STU5VXdaMEdkc05hSDZYdU4yTUJqdHVLRElFY0wzbFViZVN3YWxocS13eC1xN2FYYV9RWklkUzh2cXRLN0tKYUgxTXVEbGZLSVR1N2NWMGZoM290MFlpMVRCZEhiTjluNElXemZJQnVtMUtETmcxNWRsdUw5a2UwNUxIUU1WVC1mcXBHVHdUWEdCZTBTSnhlbTY0eHN6QU9ZaGd1V1YySUJlSGNvbUVZQWVlSlpJSDRCWkE?oc=5"" target=""_blank"">Kriti Sanon To Katrina Kaif: 7 Bollywood Actors Who Built Their Own Brands</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18</font>"
"Kriti Sanon turns 35: A look at former techie's journey to Bollywood glory, Rs 100 crore empire. What are her educational credentials? - MSN",https://news.google.com/rss/articles/CBMinAJBVV95cUxPNGJQRE9BREJMY0VxWmFpQXpTbW5jLXdCRXdLVDRyOTVNaWVNUGdoWDlmSlUyOW81SlJQVEw0NFdWbUY1YTNoWUM2aVdCQ1RKekpVbkFDd05KTlh2RkR3TWQ4S09sN01tNmxJcHlMMjkxeWtsRkhqTmJDenpERkxtUHgyWkxick9JalRJbmJKUVE5Zk1qb1FKZnRmZEFCTTg2dVNObG44ZWVYYkR4aGdXQWZvUWZRWUhxdXowVWtnQ3pBZUxrQXNiQW9RSVB3VU43c3RUSWNTLU92Si1qQ2txWVNRZkpiZEhYT1FKU0gyeXIwZmRBNk0wVWdsdlpBUS15aEk1SWFIWDdvdzNITEc1cVB0Y1dxMXBOeHlIVQ?oc=5,"Sun, 27 Jul 2025 13:11:14 GMT","<a href=""https://news.google.com/rss/articles/CBMinAJBVV95cUxPNGJQRE9BREJMY0VxWmFpQXpTbW5jLXdCRXdLVDRyOTVNaWVNUGdoWDlmSlUyOW81SlJQVEw0NFdWbUY1YTNoWUM2aVdCQ1RKekpVbkFDd05KTlh2RkR3TWQ4S09sN01tNmxJcHlMMjkxeWtsRkhqTmJDenpERkxtUHgyWkxick9JalRJbmJKUVE5Zk1qb1FKZnRmZEFCTTg2dVNObG44ZWVYYkR4aGdXQWZvUWZRWUhxdXowVWtnQ3pBZUxrQXNiQW9RSVB3VU43c3RUSWNTLU92Si1qQ2txWVNRZkpiZEhYT1FKU0gyeXIwZmRBNk0wVWdsdlpBUS15aEk1SWFIWDdvdzNITEc1cVB0Y1dxMXBOeHlIVQ?oc=5"" target=""_blank"">Kriti Sanon turns 35: A look at former techie's journey to Bollywood glory, Rs 100 crore empire. What are her educational credentials?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>"
Ronth: Bleak Malayalam gem burns Bollywood at the stake with its harrowing and haunting final 20 minutes - The Indian Express,https://news.google.com/rss/articles/CBMivwFBVV95cUxONks3QjEyMlEwMXlzd0pmQVl2dF9ETm13SENXWm94UVppNk1RSm1PZDF4blZUcUFnRC1zVGVkV04zdTd1WnU2c3JvaFBiZVVxU0VQOUJOTS1NYVVTbHkyVDFpWU9tZ04ta3dpNXM4YXBHWVhWQVFrODBZcktKSmFNVXlVMGthVzgtajJhRzlDanpNSF9LeWxrMUtFLS1YZEFjRlFpWnlrUEMtUUpHUWFMSW9RRDdzY2REN3hENDk5TdIBxgFBVV95cUxNT292dFBIU0dFMDlkV29qQkRIRHl0OHZqRFhMT0MtenpHd19rWVMwUGNnNUQ4WEtRV0RJeWFONHVJbVJUMnU1OEhnQnBWaHZ5Tm1RYjRNQWhWQWd5UEx3a2dYUm03MDVEVkVFZ1lfZ2ZsUnhGZVZsWGVad1F3OEwxVUFaTjRraXUxdmYybWtXMFdFNVlBTWUwekgtSUVHVWV5SzdNTi11NFhEY3BxTVl3MlJCSk5mLWxfNTcyaXV0Z3RNcFRBNmc?oc=5,"Fri, 25 Jul 2025 13:48:00 GMT","<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxONks3QjEyMlEwMXlzd0pmQVl2dF9ETm13SENXWm94UVppNk1RSm1PZDF4blZUcUFnRC1zVGVkV04zdTd1WnU2c3JvaFBiZVVxU0VQOUJOTS1NYVVTbHkyVDFpWU9tZ04ta3dpNXM4YXBHWVhWQVFrODBZcktKSmFNVXlVMGthVzgtajJhRzlDanpNSF9LeWxrMUtFLS1YZEFjRlFpWnlrUEMtUUpHUWFMSW9RRDdzY2REN3hENDk5TdIBxgFBVV95cUxNT292dFBIU0dFMDlkV29qQkRIRHl0OHZqRFhMT0MtenpHd19rWVMwUGNnNUQ4WEtRV0RJeWFONHVJbVJUMnU1OEhnQnBWaHZ5Tm1RYjRNQWhWQWd5UEx3a2dYUm03MDVEVkVFZ1lfZ2ZsUnhGZVZsWGVad1F3OEwxVUFaTjRraXUxdmYybWtXMFdFNVlBTWUwekgtSUVHVWV5SzdNTi11NFhEY3BxTVl3MlJCSk5mLWxfNTcyaXV0Z3RNcFRBNmc?oc=5"" target=""_blank"">Ronth: Bleak Malayalam gem burns Bollywood at the stake with its harrowing and haunting final 20 minutes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>"
BMC to offer its properties for shooting to woo back Bollywood and OTT producers - Hindustan Times,https://news.google.com/rss/articles/CBMi5gFBVV95cUxNYU55LXVhZi1sdkRpOXI0b18xYjJkZmg4MWRBWHpuUUdnNGdqOXp6ZTU4UkdEcndIb3RsdW1wSm93UmFISGJfc2NqTEQ0dF8yQkR0TWdFSThXUVhoM1hrVndFbGd3U1QzWWtCRmhNa2dETUxqQVpQUGN4dnpoN2VRSzJLclhWNlVhaThEeE51bm1pN3NqYnJfTDVDYnI4azBULWtjeGRjdzBxc3BQQ2lQbXVneXZUdE9xTjM1Rm5ZWGp3Mjdva19UOFVMSGw0Q2UxdjMwN0ZZX1dtUUlNeE44aFgydUp5QQ?oc=5,"Mon, 28 Jul 2025 02:10:17 GMT","<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxNYU55LXVhZi1sdkRpOXI0b18xYjJkZmg4MWRBWHpuUUdnNGdqOXp6ZTU4UkdEcndIb3RsdW1wSm93UmFISGJfc2NqTEQ0dF8yQkR0TWdFSThXUVhoM1hrVndFbGd3U1QzWWtCRmhNa2dETUxqQVpQUGN4dnpoN2VRSzJLclhWNlVhaThEeE51bm1pN3NqYnJfTDVDYnI4azBULWtjeGRjdzBxc3BQQ2lQbXVneXZUdE9xTjM1Rm5ZWGp3Mjdva19UOFVMSGw0Q2UxdjMwN0ZZX1dtUUlNeE44aFgydUp5QQ?oc=5"" target=""_blank"">BMC to offer its properties for shooting to woo back Bollywood and OTT producers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>"
Sanjay Dutt recalls female fan leaving RS 72 crore property to him before her demise: THIS is what he did - Times of India,https://news.google.com/rss/articles/CBMiswJBVV95cUxQa29EU25GYTE2NlNTazdIRGJwcUhVYUZfTmd5ZjJwSC1DOTMxYnZTN3gzaW5fRi1lUHVTSUx2bHAwVUxhWDgtUHBGbFFOMTB0cWNPdlhQRDMwd2Y3QmVTSXI0c1ZQelhfalFmRnpJVVlBWFREckstUWNTa2t0VHdLRDk0Tjg3SEJBa0dRWm5QdlRyYWREcndhTGVmRGVneVpZelFYd3U3cTliNE1lQUVEbHZyOXcyUkVJV2RVQ1VPYjZ2NUNvd0FsSV9oWFppWlRYOWh2eGp5MDhaVzdwVkRLUlN3bFNVVGpUX1dnRFhuN1ZISDZBTUlKQ0xLV3VjbHEzdWZPOWlZSEprODZoLVpVNE5vTGc5eGdDWGRpSzNoMlQzU1pwTmxSNnZsRGNCQXlQY3Fv0gG4AkFVX3lxTE1raUpwV0p5QlRyeXNUalRiOURIX2VyNmptRFZUMTdXcklla05hX25jVGtwQWxDTHFiZkdvOGhNYWJzSHdoRFQzYXNiYTJhVWcwSEVwWWVVd0thYUFIN18zRHI2OHBSTTN0dVdPRmFNSjZvZS1Fa2pkc3BWd2N4NDVHbHcwYTBrZVlnbEk4RXotbE5fQTRGRkU2Zm1TbExMTk5FQlBpbnVXVV9ubzR2cmtfbWk1dm9PeTVIWXhfYW9MaFhqeWJnamV6Um9pRXlIdGplUVNTUFJKUnpCSEZHMVZFMVlRNjV3eGxZZG1oRUpFSjdEbFdSb1ZNNnZDN2VIb0ZWNTRySk9lOG94X1J1eHBDcHRHbS1aN1BqSU5YMDhIZkJjZDdnN2tzWHNjbEEzTC1zeDZzS1BlWA?oc=5,"Mon, 28 Jul 2025 03:33:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiswJBVV95cUxQa29EU25GYTE2NlNTazdIRGJwcUhVYUZfTmd5ZjJwSC1DOTMxYnZTN3gzaW5fRi1lUHVTSUx2bHAwVUxhWDgtUHBGbFFOMTB0cWNPdlhQRDMwd2Y3QmVTSXI0c1ZQelhfalFmRnpJVVlBWFREckstUWNTa2t0VHdLRDk0Tjg3SEJBa0dRWm5QdlRyYWREcndhTGVmRGVneVpZelFYd3U3cTliNE1lQUVEbHZyOXcyUkVJV2RVQ1VPYjZ2NUNvd0FsSV9oWFppWlRYOWh2eGp5MDhaVzdwVkRLUlN3bFNVVGpUX1dnRFhuN1ZISDZBTUlKQ0xLV3VjbHEzdWZPOWlZSEprODZoLVpVNE5vTGc5eGdDWGRpSzNoMlQzU1pwTmxSNnZsRGNCQXlQY3Fv0gG4AkFVX3lxTE1raUpwV0p5QlRyeXNUalRiOURIX2VyNmptRFZUMTdXcklla05hX25jVGtwQWxDTHFiZkdvOGhNYWJzSHdoRFQzYXNiYTJhVWcwSEVwWWVVd0thYUFIN18zRHI2OHBSTTN0dVdPRmFNSjZvZS1Fa2pkc3BWd2N4NDVHbHcwYTBrZVlnbEk4RXotbE5fQTRGRkU2Zm1TbExMTk5FQlBpbnVXVV9ubzR2cmtfbWk1dm9PeTVIWXhfYW9MaFhqeWJnamV6Um9pRXlIdGplUVNTUFJKUnpCSEZHMVZFMVlRNjV3eGxZZG1oRUpFSjdEbFdSb1ZNNnZDN2VIb0ZWNTRySk9lOG94X1J1eHBDcHRHbS1aN1BqSU5YMDhIZkJjZDdnN2tzWHNjbEEzTC1zeDZzS1BlWA?oc=5"" target=""_blank"">Sanjay Dutt recalls female fan leaving RS 72 crore property to him before her demise: THIS is what he did</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>"
"Saiyaara Box Office Collection Day 9: Mohit Suri's Film Crosses Rs 200 Crore Mark, Is Now The Second-Highest Grosser Of 2025 - NDTV",https://news.google.com/rss/articles/CBMilwJBVV95cUxQc1ZUdUp6OEhDV1U3WXluSkFsR3Bhd1hiME85M0pucVRlQlZBM1JGOHhoZkN6Y2NwTlhYZWdDUzcxQkxISVJyb3hpLXFxSEhBUFcxUzN0RUhHMDJKSTcwck9OV1YzSkZoR0NZX1RQVk9BTVJpajlneXZwQjBoaVRUeEc1anFuMjNUbkpHWWhueWJOR09jZjZGVlp4ajhlN1RZZkJJQ1V4aG5tejBJcUEzNXBBRE1HVGZhNmxRV09wLWNPdGczZFpDQ0NLaHdqWGk3SkM5cUVnRloxbkgxakhnQ1ViZW5xNzlsbWhqVU0tV3lqdkVjN1JBUGJTY1NyaWU0NktLU1FtaGljTlpuUHIxcVIxb0tqQWs?oc=5,"Sun, 27 Jul 2025 04:04:38 GMT","<a href=""https://news.google.com/rss/articles/CBMilwJBVV95cUxQc1ZUdUp6OEhDV1U3WXluSkFsR3Bhd1hiME85M0pucVRlQlZBM1JGOHhoZkN6Y2NwTlhYZWdDUzcxQkxISVJyb3hpLXFxSEhBUFcxUzN0RUhHMDJKSTcwck9OV1YzSkZoR0NZX1RQVk9BTVJpajlneXZwQjBoaVRUeEc1anFuMjNUbkpHWWhueWJOR09jZjZGVlp4ajhlN1RZZkJJQ1V4aG5tejBJcUEzNXBBRE1HVGZhNmxRV09wLWNPdGczZFpDQ0NLaHdqWGk3SkM5cUVnRloxbkgxakhnQ1ViZW5xNzlsbWhqVU0tV3lqdkVjN1JBUGJTY1NyaWU0NktLU1FtaGljTlpuUHIxcVIxb0tqQWs?oc=5"" target=""_blank"">Saiyaara Box Office Collection Day 9: Mohit Suri's Film Crosses Rs 200 Crore Mark, Is Now The Second-Highest Grosser Of 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV</font>"
"Saiyaara box office collection day 10: Ahaan Panday, Aneet Padda’s film sees another jump on second Sunday as it eyes Chhaava record, crosses Rs 300 cr worldwide - The Indian Express",https://news.google.com/rss/articles/CBMiyAJBVV95cUxNTzNOXzAzUDBBZVBtRHdKZUlsZEhjRDhrbW5RbVU1dVJQbXJtU2RhLUxQMV9EOHhObmhZUkhVenVXek9ySDBEUGR2THlfWUNxQVpZYlhXcC1rbDUwMmNtV2pFNDRlZ3dQU1EwUXdZN2ZOYXM3Zml6MFRLVGhONmlhckZVWnpxaXZzX2tOU0QyMG9IbF80b0Y0Z1NBZG5GQ05hSUFqOS01N2hEeDB6cTF6aC02eHJ4ZU1Ma1lxYTM1SnJwN0FRaTNPVzFXLWtwNWZaMFdFRHNkbzhCdW9tdFpkejJibEFYVVNEeTRBSWFZWE1xaUh3R1RYVjllZGRobC1nOWlKLXJvdmdVQTVtSTduOVdoQjFKblJ6VTNjRHRhbi1icG9jeUFmVGtuN3B3RlJ2Ymt6aGdZbHh6Tm9Hcy1pRGtaWTBWX3l40gHPAkFVX3lxTE92dDVfV0lvRFhyNlh6VlJ1QW5fVHJUMDNFa0lXQWYwakZscTVVNU5wd3ZTRUJwdVhFNnMwaThlMW1HQXFYWnJUVEdmN1NFaGs5ZmZBZHlHMTNkZi1JVjR3eERFMFdiUDZUbDRXRlpNQWkwcUtGNUw1eUFaSmVTT2xqaTBrb2xnR0o2elRoUFRfUTlTRUlXQlNySS1GNjlVSTc0YlRSaXd6amlRX2lULV9ud0l0dDk5MXZUSnRsY3I2NkdSa3R3eTNKS0FRUUIxbFpwYzQwWUNKYmg5MG44dlZhbkRqOHpjelZYaG9KaDZ0WDBXUWgzWkNSVTh1MFpadmtQT09jVXlUb2lsd2c5NERkaFY4Z0VUUG11ZjBHN1lLNlNDWkZudkotc2tqdHYtSE5PQl9jMEJQTzg1QXdHV0drWlRuZGctZDg5ZFI4MXlZ?oc=5,"Mon, 28 Jul 2025 03:42:41 GMT","<a href=""https://news.google.com/rss/articles/CBMiyAJBVV95cUxNTzNOXzAzUDBBZVBtRHdKZUlsZEhjRDhrbW5RbVU1dVJQbXJtU2RhLUxQMV9EOHhObmhZUkhVenVXek9ySDBEUGR2THlfWUNxQVpZYlhXcC1rbDUwMmNtV2pFNDRlZ3dQU1EwUXdZN2ZOYXM3Zml6MFRLVGhONmlhckZVWnpxaXZzX2tOU0QyMG9IbF80b0Y0Z1NBZG5GQ05hSUFqOS01N2hEeDB6cTF6aC02eHJ4ZU1Ma1lxYTM1SnJwN0FRaTNPVzFXLWtwNWZaMFdFRHNkbzhCdW9tdFpkejJibEFYVVNEeTRBSWFZWE1xaUh3R1RYVjllZGRobC1nOWlKLXJvdmdVQTVtSTduOVdoQjFKblJ6VTNjRHRhbi1icG9jeUFmVGtuN3B3RlJ2Ymt6aGdZbHh6Tm9Hcy1pRGtaWTBWX3l40gHPAkFVX3lxTE92dDVfV0lvRFhyNlh6VlJ1QW5fVHJUMDNFa0lXQWYwakZscTVVNU5wd3ZTRUJwdVhFNnMwaThlMW1HQXFYWnJUVEdmN1NFaGs5ZmZBZHlHMTNkZi1JVjR3eERFMFdiUDZUbDRXRlpNQWkwcUtGNUw1eUFaSmVTT2xqaTBrb2xnR0o2elRoUFRfUTlTRUlXQlNySS1GNjlVSTc0YlRSaXd6amlRX2lULV9ud0l0dDk5MXZUSnRsY3I2NkdSa3R3eTNKS0FRUUIxbFpwYzQwWUNKYmg5MG44dlZhbkRqOHpjelZYaG9KaDZ0WDBXUWgzWkNSVTh1MFpadmtQT09jVXlUb2lsd2c5NERkaFY4Z0VUUG11ZjBHN1lLNlNDWkZudkotc2tqdHYtSE5PQl9jMEJQTzg1QXdHV0drWlRuZGctZDg5ZFI4MXlZ?oc=5"" target=""_blank"">Saiyaara box office collection day 10: Ahaan Panday, Aneet Padda’s film sees another jump on second Sunday as it eyes Chhaava record, crosses Rs 300 cr worldwide</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>"
Saiyaara box office: Ahaan Panday and Aneet Padda just overtook Shah Rukh Khan's biggest romance's lifetime collection | Bollywood - Hindustan Times - Hindustan Times,https://news.google.com/rss/articles/CBMinAJBVV95cUxPOGFhM3FkbEpIU0tFMXNTczBGUDNoQjVqWG1qVnlJdDBVbDViVHNYRnoweVUwUU5HTDdMLUd6TmJXc0l4ZHR0YmtxXzJNVW4tVUVkV2JkekxfSTVaSEI5RzZ2RWUzajJ6d2l1SFItQWpwMFF5YkdicHpRRlNqMnVnWVR6eUpJZmxZSmJKU2MxcXhPRTJsVm5ZYlpyOTgtNTRDZ1pFWjVlWDNIZWxpX2d6ai1TYWpFZlAySk5zSllkczUycVp3NE5HV0owNG1YM203U3dEaTBmVFlGVDJOM29ybU9NOFFyWXh3eTBwQmZhZzhZVzZZY0JkOFRRQ2pfakVMdjFVX2RnN1VqZmh3N1g2Vy1zXzdweG8xVVZSONIBogJBVV95cUxPcEc3ZlZXMXgwdFFJQ2NfSklXQllpa0xWNjZMNEEzTDhBRkJzOE9ENXM0VXhXR0lKZkRUWVB5NVA4SG9ZYzhaN2VUcDBWV2trYWlQM3dTM2RDeWVoN05jTlZNRDl4YzhxUTZwQk01c21DWkxhd2hPUnVRd2tGZ3ZmSHlMdHM3Si1rTXh4NnNodzVqVFJWOExMaGdETV90MnI4ZUZZUFNEaUxGMVVyLVFJeUNpdmZmR3I4V2VLLW5rMjVxOEJzMDRwT1NiRWxwWndJSXdsS1daNUhuOUZSMEI1QVFTZnBlcUhUcUlJTkN5bEZtMnpaZjdpeHp5bUpkT3FxeUxjQS1CZlltVXJ2U2JXNXltWWNTYnN4Y0VodHItbm52QQ?oc=5,"Sun, 27 Jul 2025 15:55:36 GMT","<a href=""https://news.google.com/rss/articles/CBMinAJBVV95cUxPOGFhM3FkbEpIU0tFMXNTczBGUDNoQjVqWG1qVnlJdDBVbDViVHNYRnoweVUwUU5HTDdMLUd6TmJXc0l4ZHR0YmtxXzJNVW4tVUVkV2JkekxfSTVaSEI5RzZ2RWUzajJ6d2l1SFItQWpwMFF5YkdicHpRRlNqMnVnWVR6eUpJZmxZSmJKU2MxcXhPRTJsVm5ZYlpyOTgtNTRDZ1pFWjVlWDNIZWxpX2d6ai1TYWpFZlAySk5zSllkczUycVp3NE5HV0owNG1YM203U3dEaTBmVFlGVDJOM29ybU9NOFFyWXh3eTBwQmZhZzhZVzZZY0JkOFRRQ2pfakVMdjFVX2RnN1VqZmh3N1g2Vy1zXzdweG8xVVZSONIBogJBVV95cUxPcEc3ZlZXMXgwdFFJQ2NfSklXQllpa0xWNjZMNEEzTDhBRkJzOE9ENXM0VXhXR0lKZkRUWVB5NVA4SG9ZYzhaN2VUcDBWV2trYWlQM3dTM2RDeWVoN05jTlZNRDl4YzhxUTZwQk01c21DWkxhd2hPUnVRd2tGZ3ZmSHlMdHM3Si1rTXh4NnNodzVqVFJWOExMaGdETV90MnI4ZUZZUFNEaUxGMVVyLVFJeUNpdmZmR3I4V2VLLW5rMjVxOEJzMDRwT1NiRWxwWndJSXdsS1daNUhuOUZSMEI1QVFTZnBlcUhUcUlJTkN5bEZtMnpaZjdpeHp5bUpkT3FxeUxjQS1CZlltVXJ2U2JXNXltWWNTYnN4Y0VodHItbm52QQ?oc=5"" target=""_blank"">Saiyaara box office: Ahaan Panday and Aneet Padda just overtook Shah Rukh Khan's biggest romance's lifetime collection | Bollywood - Hindustan Times</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>"
These 7 most expensive Bollywood films were huge box-office flops - financialexpress.com,https://news.google.com/rss/articles/CBMixAFBVV95cUxOb0ZaaThNMTlWc2lYRVZLVjJYVTB3RkNMWV8xZ1p2SENGTmhSTXNRSno5QW92Snp0NGpjYTNPbnlMaF9SVkw0bkY4RkpqMENOTFNudzJfYjJlVDNSNUhrS2pON1lXa3h2VmVmeGx3bWM0YkU3MFFaSko4Y19xdXJ0a2pMOGVNLXpVUlQ3NURUdUh2OVFBTU82dWs2Q1FIRWp1SHBBVTFsNnpNUEdVOVVhUkJyMTFOMFltVVpvbUY4QUpvZjRC?oc=5,"Mon, 28 Jul 2025 01:48:59 GMT","<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxOb0ZaaThNMTlWc2lYRVZLVjJYVTB3RkNMWV8xZ1p2SENGTmhSTXNRSno5QW92Snp0NGpjYTNPbnlMaF9SVkw0bkY4RkpqMENOTFNudzJfYjJlVDNSNUhrS2pON1lXa3h2VmVmeGx3bWM0YkU3MFFaSko4Y19xdXJ0a2pMOGVNLXpVUlQ3NURUdUh2OVFBTU82dWs2Q1FIRWp1SHBBVTFsNnpNUEdVOVVhUkJyMTFOMFltVVpvbUY4QUpvZjRC?oc=5"" target=""_blank"">These 7 most expensive Bollywood films were huge box-office flops</a>&nbsp;&nbsp;<font color=""#6f6f6f"">financialexpress.com</font>"
