title,link,published,summary
The rise of gamification in healthcare - The Hindu,https://news.google.com/rss/articles/CBMioAFBVV95cUxNOUJlLUE3ekEyN0lTRE03WTVsY1FHeng4N2VxSk0teFY4TF9QSHRoUVlWdVBRZURMamJUWjU5X2dCa2FldnUtRzFSMm1mMmlKTS1xd1QtdGpWU0pQdmpmWXlKMmMzVWtfV01KQlRmek5ybUliT1Jsa08tWmVkSDd0eWhZRWFzT2FMSWswVXk4QmlOdXhZa1dWbHIzZThVT2pG0gGnAUFVX3lxTE9JSFgyR291bk1CanlIUUlaNFJ6SUpVdFJzRVVWRVZaeHI4SkFYUkIyTjFhWFBPUk81NWc2NjZGT0xabWozbWpMcWlPZEJybkxGc05SdXNnWTJNcmZ5VXpWTzJOMUgxQ18zU3E1R21EV19XcWE2NlFsM3FmYkVyNVJ3Wk1iOUc2NXRuSEg4S0hMTXNuSUpxVzE4LVYxelVKdlI4WjFwbXg0?oc=5,"Sun, 07 Sep 2025 07:05:00 GMT","<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxNOUJlLUE3ekEyN0lTRE03WTVsY1FHeng4N2VxSk0teFY4TF9QSHRoUVlWdVBRZURMamJUWjU5X2dCa2FldnUtRzFSMm1mMmlKTS1xd1QtdGpWU0pQdmpmWXlKMmMzVWtfV01KQlRmek5ybUliT1Jsa08tWmVkSDd0eWhZRWFzT2FMSWswVXk4QmlOdXhZa1dWbHIzZThVT2pG0gGnAUFVX3lxTE9JSFgyR291bk1CanlIUUlaNFJ6SUpVdFJzRVVWRVZaeHI4SkFYUkIyTjFhWFBPUk81NWc2NjZGT0xabWozbWpMcWlPZEJybkxGc05SdXNnWTJNcmZ5VXpWTzJOMUgxQ18zU3E1R21EV19XcWE2NlFsM3FmYkVyNVJ3Wk1iOUc2NXRuSEg4S0hMTXNuSUpxVzE4LVYxelVKdlI4WjFwbXg0?oc=5"" target=""_blank"">The rise of gamification in healthcare</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>"
West Godavari emerges top ranker in public healthcare services survey - The Times of India,https://news.google.com/rss/articles/CBMi4AFBVV95cUxPWXNla0FBWFFNdHljNmJhai1aN01Rck1OQjZNVTRrazNaZ0JScDZXdHNjUTVMeWU3WFMtWU5TSWVpZV9pTTQwX2xZVEFDQ0YteXJGcjBmWFNiNncydXZmaDlTR3l1M0pvN0J3Z09vZU1GT2t2UEtNNEFHSl8zWXlQWm1TNGJiY2dpM2d3UjYxTS05MGdZU1U0a2NUckRqTk16X0ZuTHRLT1RFd3dydjdCWjR2UkZmd0k0Nkd5MW9nZG5DdUZSUWVoREpCc1c2ckpueUtkNmI1eUdqYi05M2lRWtIB5gFBVV95cUxNWXBQSHNHRjVNZzM0dHZrd2MxX1VBNGFBdVBVMUFrR3VlY3JMYXJKSk5ZNWFWbzR2WVZVMUtYVjhtbnB0ZVhpeF9idjZfQTZGQlhxNHJwU2tYX3dCeDJWVlRrVTloVjFUWTRiM1RCZVpFbjJqa0dRWVVpNEI0WHlxaHJIckpmMlcyTHctczFuWlJ1cmlScVNMTU9QSng1bWdybldKbFBHVHZWMnZGQzhXNDBuRTJzSk1QVmJvbGN1TUYtOTVFQTljc0VYcUJfc2ZsWVBvczF0cUZTMnpwQmY1NldSeUI3QQ?oc=5,"Sun, 07 Sep 2025 06:01:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxPWXNla0FBWFFNdHljNmJhai1aN01Rck1OQjZNVTRrazNaZ0JScDZXdHNjUTVMeWU3WFMtWU5TSWVpZV9pTTQwX2xZVEFDQ0YteXJGcjBmWFNiNncydXZmaDlTR3l1M0pvN0J3Z09vZU1GT2t2UEtNNEFHSl8zWXlQWm1TNGJiY2dpM2d3UjYxTS05MGdZU1U0a2NUckRqTk16X0ZuTHRLT1RFd3dydjdCWjR2UkZmd0k0Nkd5MW9nZG5DdUZSUWVoREpCc1c2ckpueUtkNmI1eUdqYi05M2lRWtIB5gFBVV95cUxNWXBQSHNHRjVNZzM0dHZrd2MxX1VBNGFBdVBVMUFrR3VlY3JMYXJKSk5ZNWFWbzR2WVZVMUtYVjhtbnB0ZVhpeF9idjZfQTZGQlhxNHJwU2tYX3dCeDJWVlRrVTloVjFUWTRiM1RCZVpFbjJqa0dRWVVpNEI0WHlxaHJIckpmMlcyTHctczFuWlJ1cmlScVNMTU9QSng1bWdybldKbFBHVHZWMnZGQzhXNDBuRTJzSk1QVmJvbGN1TUYtOTVFQTljc0VYcUJfc2ZsWVBvczF0cUZTMnpwQmY1NldSeUI3QQ?oc=5"" target=""_blank"">West Godavari emerges top ranker in public healthcare services survey</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>"
Indian Healthcare League: Doctors from leading hospitals to bat for cancer awareness - The New Indian Express,https://news.google.com/rss/articles/CBMi0AFBVV95cUxPZnA4aUVEeG9wUWdSVy1QbWhkQXM0TGs2azA5b0NsZTNyS1FTNzQyYkhfb05RYVpJUFdCQ3hCelh1eHpNMHVlT0k3cy1XVDdGQllMdDMzdFNhMHJ3SGFSN01vM3E1RXlwc1hPVVMyeVE3U3Z5Qjg0MWh2cE0wam5EVUVLVnpCNmdHQkNxMU1Pd3psX3RXcE94bnlob0hhTjV0ZjV0Q0hBX1pLemlvZXdwTzNPc282Z21vTkRLZHN6MG9ucWpjTG5waEVlZTJnTFRV0gHeAUFVX3lxTE1ZbmxibzA1OEJmaTFCSzdpNVlwaGFOTDVxdUpid3RXUXlKVFF6eGdKcU5qNF8yOFhPcWFJN3U5cWRSSC1ScjhtMXhtc04wTVBOb3RrWVRQYllzQ3M5ODQ4VXU5OVNoQ0hQVFFwZmJvZHZocWYxbXk5a3RLQ2hocllSeTFUQUZCVjJSYmJlTWNUR3p1ZkdNeXRjLU02OG16QnNQWUV4bS1OLXhzWDlnd0VPNTlDbnp0UFJsRmFvXzJkcE5XOVV0U3pxZmptQ0JWTzA5NlQ1N2tUSGpNWHd2dw?oc=5,"Sun, 07 Sep 2025 16:32:26 GMT","<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxPZnA4aUVEeG9wUWdSVy1QbWhkQXM0TGs2azA5b0NsZTNyS1FTNzQyYkhfb05RYVpJUFdCQ3hCelh1eHpNMHVlT0k3cy1XVDdGQllMdDMzdFNhMHJ3SGFSN01vM3E1RXlwc1hPVVMyeVE3U3Z5Qjg0MWh2cE0wam5EVUVLVnpCNmdHQkNxMU1Pd3psX3RXcE94bnlob0hhTjV0ZjV0Q0hBX1pLemlvZXdwTzNPc282Z21vTkRLZHN6MG9ucWpjTG5waEVlZTJnTFRV0gHeAUFVX3lxTE1ZbmxibzA1OEJmaTFCSzdpNVlwaGFOTDVxdUpid3RXUXlKVFF6eGdKcU5qNF8yOFhPcWFJN3U5cWRSSC1ScjhtMXhtc04wTVBOb3RrWVRQYllzQ3M5ODQ4VXU5OVNoQ0hQVFFwZmJvZHZocWYxbXk5a3RLQ2hocllSeTFUQUZCVjJSYmJlTWNUR3p1ZkdNeXRjLU02OG16QnNQWUV4bS1OLXhzWDlnd0VPNTlDbnp0UFJsRmFvXzJkcE5XOVV0U3pxZmptQ0JWTzA5NlQ1N2tUSGpNWHd2dw?oc=5"" target=""_blank"">Indian Healthcare League: Doctors from leading hospitals to bat for cancer awareness</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font>"
‘Thoughtful AI Matters More Than Fast AI in Healthcare’ - Analytics India Magazine,https://news.google.com/rss/articles/CBMinAFBVV95cUxNanpWQjlJZmhhbDNKV3NYaFhEdzFLNVUtVHB0VlgwQS1zQjh6ZnBCUjVNU25zM0dIVnI1dHdUV0NFaEJzNXFaZ0hueF9ManN5Zl82dFViV3d4ZzNfZVlQSU96SlhVbUo3TEVCSkZKNjdMUFhkeHdpOGpoaU43WUVPR2N3RHI1bDJyajBfMkYyQVZueEtDU05mY2w1YU0?oc=5,"Mon, 08 Sep 2025 04:33:20 GMT","<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxNanpWQjlJZmhhbDNKV3NYaFhEdzFLNVUtVHB0VlgwQS1zQjh6ZnBCUjVNU25zM0dIVnI1dHdUV0NFaEJzNXFaZ0hueF9ManN5Zl82dFViV3d4ZzNfZVlQSU96SlhVbUo3TEVCSkZKNjdMUFhkeHdpOGpoaU43WUVPR2N3RHI1bDJyajBfMkYyQVZueEtDU05mY2w1YU0?oc=5"" target=""_blank"">‘Thoughtful AI Matters More Than Fast AI in Healthcare’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Analytics India Magazine</font>"
"Maternal, child healthcare to get boost with two 500-bed blocks - The Hans India",https://news.google.com/rss/articles/CBMitAFBVV95cUxNNGhqdWo5SGFQT3RpVHo1R1B6enFxSE5oYThNX3B2Q2dOYjN6V09uOFhWUEpWeUUtSjBPZnZFbTZKSjZJc1UwcHppVWI2ekFRZVA5U0JWRXVIMTE3MTREWmd4d0piMDlTMENmWHd0MXQ4YUpQU084czlNY0pJWDNGZmZ3dmxrR3JkSW92bGt4UzY4NTVLU0MxVWNVa0NibGQ3UWU5Q1BxUDJjV1NVYjJIYnNVMnTSAboBQVVfeXFMUHByYVpoYnlGY3d3ZkJsZmh3RVNiWjR3azlmX2xtWVhYWlIySHV1OG12cTNXOERLUnhUMS1lY0VhbVhFR0xpZlZCdDdzWUxqLWp4NkNFQlJJcWlQeFFTTTFod1F5OHQ2UkpxRnlGMWl0YjFOZnhTYWhtMjRKRzRlb0YyZkd2WktEc2tWekg2Q1FLb05kMHZoVDg4UjZ0NEhIUHY4YTFyTG42RF9LWFRtV0l5RkFiUXRvTWNB?oc=5,"Mon, 08 Sep 2025 04:09:21 GMT","<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxNNGhqdWo5SGFQT3RpVHo1R1B6enFxSE5oYThNX3B2Q2dOYjN6V09uOFhWUEpWeUUtSjBPZnZFbTZKSjZJc1UwcHppVWI2ekFRZVA5U0JWRXVIMTE3MTREWmd4d0piMDlTMENmWHd0MXQ4YUpQU084czlNY0pJWDNGZmZ3dmxrR3JkSW92bGt4UzY4NTVLU0MxVWNVa0NibGQ3UWU5Q1BxUDJjV1NVYjJIYnNVMnTSAboBQVVfeXFMUHByYVpoYnlGY3d3ZkJsZmh3RVNiWjR3azlmX2xtWVhYWlIySHV1OG12cTNXOERLUnhUMS1lY0VhbVhFR0xpZlZCdDdzWUxqLWp4NkNFQlJJcWlQeFFTTTFod1F5OHQ2UkpxRnlGMWl0YjFOZnhTYWhtMjRKRzRlb0YyZkd2WktEc2tWekg2Q1FLb05kMHZoVDg4UjZ0NEhIUHY4YTFyTG42RF9LWFRtV0l5RkFiUXRvTWNB?oc=5"" target=""_blank"">Maternal, child healthcare to get boost with two 500-bed blocks</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hans India</font>"
What rural healthcare taught me about digital transformation - cio.com,https://news.google.com/rss/articles/CBMiowFBVV95cUxOSjc1VWRPU3pTVU5yWVZ6bkJjWTdLZDc2Ymw5TWRlVG5UVWQ3NDNISzh4THUyRTRFWERKUkdDWVRDQ0loWGI1SHhRcVdWeURQQWpzLTZmUTR2WGtTRlFNX25hVnlTSzdvdFB6NWdyc19wclhrX0dNa1ptYi1Vb05SQUU2c0J0cXlJcUp4bkp0bF9zbl9kTXh1dU0zMU5MOUZzRTJZ?oc=5,"Mon, 08 Sep 2025 12:15:59 GMT","<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxOSjc1VWRPU3pTVU5yWVZ6bkJjWTdLZDc2Ymw5TWRlVG5UVWQ3NDNISzh4THUyRTRFWERKUkdDWVRDQ0loWGI1SHhRcVdWeURQQWpzLTZmUTR2WGtTRlFNX25hVnlTSzdvdFB6NWdyc19wclhrX0dNa1ptYi1Vb05SQUU2c0J0cXlJcUp4bkp0bF9zbl9kTXh1dU0zMU5MOUZzRTJZ?oc=5"" target=""_blank"">What rural healthcare taught me about digital transformation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">cio.com</font>"
Amanta Healthcare IPO listing tomorrow: Here's what the latest GMP signals - Mint,https://news.google.com/rss/articles/CBMixwFBVV95cUxPRmJPeTRZZmpEeFpPU2NsT3pqTW5sdE00Yk5udWpTd09BelFJMWdRdjZVMXJzTDE0ckNaR3VFaUF5Nm9VV0RfbWdXV0p3elAxT2dfRmhQNlZfVzVkazMtV2tvRFN6dnBuRmxyUnRtaGxUY1R6SzdUSWJfc2lUZ0MzM19WYWxkQk5FdEZxYkZ3TTVmV1dDQU40ZC1Uek5CTVo5bnJpelo2THVYOXpFUmtWNmVQam16enFENno3M0dFMGIxU0g5a0tZ0gHMAUFVX3lxTFBRSGphemU3Sm5UZHR1WFRaU0lIYUxoOGhsaC1rd2IweHVoRExJaTY0Mm5JR2lEUFFNU21xTktUZDZ6TmlSMHU4a0dSbzhIYjZZZmYzaEd2ZlVDNThfU3QxbUdENmwzM1pPc1UwYnVjX0V5T0g0OFZVTFJqNnJENmhnOTZscThKUEdOVEFqNXZ4VEEzNjVxcHZPYWZXQS10RW9NdFI5QUEtdTMyWjRhWFBjMzhoVmdOZkNGbXkwaGZvVDFiNnBLR3dwX1AzZA?oc=5,"Mon, 08 Sep 2025 10:28:20 GMT","<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxPRmJPeTRZZmpEeFpPU2NsT3pqTW5sdE00Yk5udWpTd09BelFJMWdRdjZVMXJzTDE0ckNaR3VFaUF5Nm9VV0RfbWdXV0p3elAxT2dfRmhQNlZfVzVkazMtV2tvRFN6dnBuRmxyUnRtaGxUY1R6SzdUSWJfc2lUZ0MzM19WYWxkQk5FdEZxYkZ3TTVmV1dDQU40ZC1Uek5CTVo5bnJpelo2THVYOXpFUmtWNmVQam16enFENno3M0dFMGIxU0g5a0tZ0gHMAUFVX3lxTFBRSGphemU3Sm5UZHR1WFRaU0lIYUxoOGhsaC1rd2IweHVoRExJaTY0Mm5JR2lEUFFNU21xTktUZDZ6TmlSMHU4a0dSbzhIYjZZZmYzaEd2ZlVDNThfU3QxbUdENmwzM1pPc1UwYnVjX0V5T0g0OFZVTFJqNnJENmhnOTZscThKUEdOVEFqNXZ4VEEzNjVxcHZPYWZXQS10RW9NdFI5QUEtdTMyWjRhWFBjMzhoVmdOZkNGbXkwaGZvVDFiNnBLR3dwX1AzZA?oc=5"" target=""_blank"">Amanta Healthcare IPO listing tomorrow: Here's what the latest GMP signals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>"
"Newly-listed shares Vikram Solar, Anlon Healthcare, Vikran Engineering rise up to 10%; here's why - Moneycontrol",https://news.google.com/rss/articles/CBMi7wFBVV95cUxOcXRWYklGdnBrOHRxUERtOS1pRDZjQ3pnVTVncF9VaGd3Q240cVRROFRVZVhLbXduR01kT24ta1ZpbDdJbDFhUktFZjAwODFRUEg2S2R0SWFnbktzYnhvakE0ZWlIdUt2S3RKMEp1a3JSYjFwTkk4NDNyWmwtZFJOVHRuS2pMN2dJcGNLZE1FSHZCYWpLdzgzbGRkRjVrWktIMkd3TEhMQ1dwbkx5VEJDaGlXMUZjYkotX19ZSDBaMFJmSkpUbGNoejJOTnZZeW9hN3BtbkRQV19rejE2TUxzSHRsMmp5UUg4UUpFQnBtZ9IB9AFBVV95cUxPQU9VUHNscksxOG1lZjJRR0R0dE9CSWdYaUU4amN2YVNMLXd0UjdmZTh1ZFREdFJIb1VrRXJ6NGsteS1RNFc4bW5HcXRDcnI0LTYzdHFabDJSUldfajY4RkxXNTZyVUkzaWJlNzhHcFBYdnlYZi1qQkZ2UVUxT0pRZWI5eXprQ2x6V3VPeG5NbjB3UGtheFdZRzIxcUdrQ1gzV1g4Ql9RckpfTnlLVlhsVXR3OGdfMERWVTRJaGVwZzN1d2stc2FzQTZPcm5xajBpakhfbFlXODNweHcxMnVNMzU5S1ZJZ1J2dEtqY2NBb1N0Vmg5?oc=5,"Mon, 08 Sep 2025 05:57:31 GMT","<a href=""https://news.google.com/rss/articles/CBMi7wFBVV95cUxOcXRWYklGdnBrOHRxUERtOS1pRDZjQ3pnVTVncF9VaGd3Q240cVRROFRVZVhLbXduR01kT24ta1ZpbDdJbDFhUktFZjAwODFRUEg2S2R0SWFnbktzYnhvakE0ZWlIdUt2S3RKMEp1a3JSYjFwTkk4NDNyWmwtZFJOVHRuS2pMN2dJcGNLZE1FSHZCYWpLdzgzbGRkRjVrWktIMkd3TEhMQ1dwbkx5VEJDaGlXMUZjYkotX19ZSDBaMFJmSkpUbGNoejJOTnZZeW9hN3BtbkRQV19rejE2TUxzSHRsMmp5UUg4UUpFQnBtZ9IB9AFBVV95cUxPQU9VUHNscksxOG1lZjJRR0R0dE9CSWdYaUU4amN2YVNMLXd0UjdmZTh1ZFREdFJIb1VrRXJ6NGsteS1RNFc4bW5HcXRDcnI0LTYzdHFabDJSUldfajY4RkxXNTZyVUkzaWJlNzhHcFBYdnlYZi1qQkZ2UVUxT0pRZWI5eXprQ2x6V3VPeG5NbjB3UGtheFdZRzIxcUdrQ1gzV1g4Ql9RckpfTnlLVlhsVXR3OGdfMERWVTRJaGVwZzN1d2stc2FzQTZPcm5xajBpakhfbFlXODNweHcxMnVNMzU5S1ZJZ1J2dEtqY2NBb1N0Vmg5?oc=5"" target=""_blank"">Newly-listed shares Vikram Solar, Anlon Healthcare, Vikran Engineering rise up to 10%; here's why</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol</font>"
"Inaugural Indian Healthcare League launched, Pujara graces event as chief guest - Tribune India",https://news.google.com/rss/articles/CBMivAFBVV95cUxPQzNrdENiN3BsbFlmM3U3MEdmbHNSQzVXMzc5REFWUW0xenpyOTFTekMtdUhXTDNuRS16THJfY3IyWjRJVkd6aFc5S25qcTNlMkpvejBRYlJnalNZRUt4aVNuc2dzUXdJNGNOVGhfWHBObXA3eFhhU291WERLNG5kS0pzZ2pDLWw5bllNMm5DTXVEOXBoRDR5Y3Rwc0F0UGN5V1h6cU9Ec1lzeUE1MkcyRUJ5X05zbTdTdlNnedIBwAFBVV95cUxOYTV6bm05TExuR0RueXpKMW4wNEt5bE9OZzBicV84M2M1cmFyb21GS0xsWGhJd3otcHVMUGRlay1wdVZGdi1tNXk4alJEUnhIMXNYdnpYZzN3dm5WZnJmRmZsS2hBWTZhZ1p0RGV2RHZnRG1ieWMtVmlNYkRieWdPcW01NlRJWVRpS194ZTVZdzk1ekt6WVNLbElzUWR5V3QzZWNJZlgwUF91Ui16YjNSZmttd2o5dEotQlZyZmYzSFM?oc=5,"Sun, 07 Sep 2025 12:35:14 GMT","<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxPQzNrdENiN3BsbFlmM3U3MEdmbHNSQzVXMzc5REFWUW0xenpyOTFTekMtdUhXTDNuRS16THJfY3IyWjRJVkd6aFc5S25qcTNlMkpvejBRYlJnalNZRUt4aVNuc2dzUXdJNGNOVGhfWHBObXA3eFhhU291WERLNG5kS0pzZ2pDLWw5bllNMm5DTXVEOXBoRDR5Y3Rwc0F0UGN5V1h6cU9Ec1lzeUE1MkcyRUJ5X05zbTdTdlNnedIBwAFBVV95cUxOYTV6bm05TExuR0RueXpKMW4wNEt5bE9OZzBicV84M2M1cmFyb21GS0xsWGhJd3otcHVMUGRlay1wdVZGdi1tNXk4alJEUnhIMXNYdnpYZzN3dm5WZnJmRmZsS2hBWTZhZ1p0RGV2RHZnRG1ieWMtVmlNYkRieWdPcW01NlRJWVRpS194ZTVZdzk1ekt6WVNLbElzUWR5V3QzZWNJZlgwUF91Ui16YjNSZmttd2o5dEotQlZyZmYzSFM?oc=5"" target=""_blank"">Inaugural Indian Healthcare League launched, Pujara graces event as chief guest</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tribune India</font>"
"Karnataka PPP model trains over 300 DNB doctors, strengthens specialist healthcare access - Medical Dialogues",https://news.google.com/rss/articles/CBMi2wFBVV95cUxOQXlGN05rX0VGWS1FY1Fxc3lLZnJmck5VOVdpdWxxd0JHYkV3Rm1UQVJXNjAtN1IyWWNWQ3Q2OTBmTWJmWVg3bHgwLVFkdEJOZXJqYVVkQ0xhaGJ6S2V3TkxVUkUtdTBQRmJkck53aWVyRG93X0tOYzBabzQ1ZGJLYkVqblpSLTZUNkNSMGJIcDJuWWFEQzNhTmFieU5XX2tKby1wN2JubWh2N0NZR2VYZHhMRWx4RXIzOG0xRlF4MDR6RTB2YmRtSEZTQ0JUdHFlSVdXaGhlaTI5Z3fSAeABQVVfeXFMT1U1VHNPQktOU251RXk1QjNCUEM2d1ZDT19yaTZTTEFyeklWVm15REFXTDNld3M3dGhFZUg2ZTNrNC1qS0k3SG04X2l4dVRDd2dMZVpNb0ctVDBqNXBGS2c5NlJjTFVTa2JaRnZvb2F5ZWxvd3JHX1U3YzB0UUdFSDNOVGFCWEw5R3NUZ21kanA3N2VGMGd5dzRlSEo3eWJHMERrNUFmNXJRZ3N1ZG1MMzg3VkZTdllNVVdOUUxJdi1pNmZ0RGxLM2t3MV9obTdnOVRlTDRPc2VLZ3JVVTV1STY?oc=5,"Mon, 08 Sep 2025 10:15:07 GMT","<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxOQXlGN05rX0VGWS1FY1Fxc3lLZnJmck5VOVdpdWxxd0JHYkV3Rm1UQVJXNjAtN1IyWWNWQ3Q2OTBmTWJmWVg3bHgwLVFkdEJOZXJqYVVkQ0xhaGJ6S2V3TkxVUkUtdTBQRmJkck53aWVyRG93X0tOYzBabzQ1ZGJLYkVqblpSLTZUNkNSMGJIcDJuWWFEQzNhTmFieU5XX2tKby1wN2JubWh2N0NZR2VYZHhMRWx4RXIzOG0xRlF4MDR6RTB2YmRtSEZTQ0JUdHFlSVdXaGhlaTI5Z3fSAeABQVVfeXFMT1U1VHNPQktOU251RXk1QjNCUEM2d1ZDT19yaTZTTEFyeklWVm15REFXTDNld3M3dGhFZUg2ZTNrNC1qS0k3SG04X2l4dVRDd2dMZVpNb0ctVDBqNXBGS2c5NlJjTFVTa2JaRnZvb2F5ZWxvd3JHX1U3YzB0UUdFSDNOVGFCWEw5R3NUZ21kanA3N2VGMGd5dzRlSEo3eWJHMERrNUFmNXJRZ3N1ZG1MMzg3VkZTdllNVVdOUUxJdi1pNmZ0RGxLM2t3MV9obTdnOVRlTDRPc2VLZ3JVVTV1STY?oc=5"" target=""_blank"">Karnataka PPP model trains over 300 DNB doctors, strengthens specialist healthcare access</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Medical Dialogues</font>"
