title,link,published,summary
"NASA-ISRO mission: 'NISAR satellite launch by July 30,’ Chairman V Narayanan confirms, drops update on Gaganyaan mission - Mint",https://news.google.com/rss/articles/CBMi9wFBVV95cUxOVVpJdGV2X2VFUE9PdHJVN2VBcXo0cHVSQ0RQdE56dXF2T3dTNEtxWnY4U2cySk8xWENuVElXWWlLS2Nfb0FuMjBpYllvSDFxVUFHZnYyVGlRVlhqRmpCemJKYVdCdzBzVlpaSWVxMmZ2Zlk4a2pMN29xaUZ5ZEo4WVl2MlRnX2hoV0V6b29TOU1zV1h1ekliUlVwS1BUYS1Ia0NXOVR2NV8zSzNLNlpqa09WRXVQeC11WnIxZG0wM1dWeEJpTzBvQ1dIZ0NqV2RDS0EyM0VvQWUzaEdCRlFTWWR4UVh0dnJIOEdNdUV2OFZwWHV1aHBZ0gH8AUFVX3lxTE5LWHY4NlMtR3l4aXY1QzEzY1MyRW1qRXRXLU1WcWo1cHdDZ1NwYXJrc3Z3N3Z1eHJjbXBRa2pDRk0xdEJFQzU3U3M5cFFiY1NKd3UyQzRuSFF0LUc5Nnc4cjZ2TzJQMll0V2hkWHNRU2RwV3dyZmVIQjM4NGk1MHJMc3diVTBoSUxkUG5hMXVDSDNsVm1QMGU3VDVoWHRCcjJtRVFaZXdld2RNY01PSjZtUkJIQk5hMEdLV0NKVVV5NEZJNWdFR1B5V21heWdHZC01TXg1aFI1azJPRG9LdmY3OEp2OERFR0FLekw2MmJJYUpTNmEzXy0xcHl2RQ?oc=5,"Mon, 28 Jul 2025 03:51:18 GMT","<a href=""https://news.google.com/rss/articles/CBMi9wFBVV95cUxOVVpJdGV2X2VFUE9PdHJVN2VBcXo0cHVSQ0RQdE56dXF2T3dTNEtxWnY4U2cySk8xWENuVElXWWlLS2Nfb0FuMjBpYllvSDFxVUFHZnYyVGlRVlhqRmpCemJKYVdCdzBzVlpaSWVxMmZ2Zlk4a2pMN29xaUZ5ZEo4WVl2MlRnX2hoV0V6b29TOU1zV1h1ekliUlVwS1BUYS1Ia0NXOVR2NV8zSzNLNlpqa09WRXVQeC11WnIxZG0wM1dWeEJpTzBvQ1dIZ0NqV2RDS0EyM0VvQWUzaEdCRlFTWWR4UVh0dnJIOEdNdUV2OFZwWHV1aHBZ0gH8AUFVX3lxTE5LWHY4NlMtR3l4aXY1QzEzY1MyRW1qRXRXLU1WcWo1cHdDZ1NwYXJrc3Z3N3Z1eHJjbXBRa2pDRk0xdEJFQzU3U3M5cFFiY1NKd3UyQzRuSFF0LUc5Nnc4cjZ2TzJQMll0V2hkWHNRU2RwV3dyZmVIQjM4NGk1MHJMc3diVTBoSUxkUG5hMXVDSDNsVm1QMGU3VDVoWHRCcjJtRVFaZXdld2RNY01PSjZtUkJIQk5hMEdLV0NKVVV5NEZJNWdFR1B5V21heWdHZC01TXg1aFI1azJPRG9LdmY3OEp2OERFR0FLekw2MmJJYUpTNmEzXy0xcHl2RQ?oc=5"" target=""_blank"">NASA-ISRO mission: 'NISAR satellite launch by July 30,’ Chairman V Narayanan confirms, drops update on Gaganyaan mission</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>"
Knowledge Nugget | NISAR in focus: Why is this NASA-ISRO mission relevant for UPSC Exam - The Indian Express,https://news.google.com/rss/articles/CBMi1wFBVV95cUxPVGNCbmNRVXhEQUNkZkpVVnNPOUVmUWxDb3c1c3kyUG16d1h4TlUwYzR2TXNxblpoM09wY0NadHFBNDl5djU5blg1MEVxYjdEOWIzOEd6Rk16TWJhYjJDVmxJQk9ubUhYb25PWldtaS1naXZrVU1FRnVfby1hbWFiWm9ybGFwN0JhSDlHeDRoY19wVGRUNjdWcGpqZ05HQl9YclVDZUhGLVBHV1A3ZlY4S1pteE9TcEJhU3MxRlhLTWppXzhJOHdFeTdkYUs5cGFnUFBNUi1Da9IB3gFBVV95cUxNODFvX1lrMk1IcGJTbV9DMXpwM0E2cDZ2TnNWdWtBaFQ1V3o4T2g3M2xFQVpTZDVoNWJKd0xyaFYzaGpzaEdDMXMzcDN3NGkzQk1PcXZzM3ZTdU0zc0ItMHBBdGZhWUhhYlVfd2NnV1QtLVBNTy14LWhXUUVuTDNEUmZnSWtRUThQWFhVbGR5LW5YcnpHUEZiUm9UYW5BOFN4OGxlc2RuUEh2RF9vNGp4SlZJb3lBWkZOWXEwMXlYMUdjLWlBZ0dieGQ4bGtndmJSUDByb0Y5TWVQMkFVNlE?oc=5,"Thu, 24 Jul 2025 07:21:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxPVGNCbmNRVXhEQUNkZkpVVnNPOUVmUWxDb3c1c3kyUG16d1h4TlUwYzR2TXNxblpoM09wY0NadHFBNDl5djU5blg1MEVxYjdEOWIzOEd6Rk16TWJhYjJDVmxJQk9ubUhYb25PWldtaS1naXZrVU1FRnVfby1hbWFiWm9ybGFwN0JhSDlHeDRoY19wVGRUNjdWcGpqZ05HQl9YclVDZUhGLVBHV1A3ZlY4S1pteE9TcEJhU3MxRlhLTWppXzhJOHdFeTdkYUs5cGFnUFBNUi1Da9IB3gFBVV95cUxNODFvX1lrMk1IcGJTbV9DMXpwM0E2cDZ2TnNWdWtBaFQ1V3o4T2g3M2xFQVpTZDVoNWJKd0xyaFYzaGpzaEdDMXMzcDN3NGkzQk1PcXZzM3ZTdU0zc0ItMHBBdGZhWUhhYlVfd2NnV1QtLVBNTy14LWhXUUVuTDNEUmZnSWtRUThQWFhVbGR5LW5YcnpHUEZiUm9UYW5BOFN4OGxlc2RuUEh2RF9vNGp4SlZJb3lBWkZOWXEwMXlYMUdjLWlBZ0dieGQ4bGtndmJSUDByb0Y5TWVQMkFVNlE?oc=5"" target=""_blank"">Knowledge Nugget | NISAR in focus: Why is this NASA-ISRO mission relevant for UPSC Exam</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>"
Nisar launch: How this Nasa-Isro mission will scan entire Earth in 12 days - India Today,https://news.google.com/rss/articles/CBMizAFBVV95cUxPZWFienlXT0dzN28zOF9qM1AxQlRuMFhzUHAzRW9EVDV5UVFNZEp2SUtPbk1Bcm80MklmbWJadU1yOGtXUC1xM0Y3R3J5Tm16QWh1aktUZ3RvTmpQQkk2TldSOFo1eEVxSk91N0JyZGF0TEIxV2pyWklTSU45RzFMdUJzNVhnZUN5SFFvSDhZN2pKbVVhM3ltRGVxeURwUHJiUWFtT2VLQlBqU1Fmcm1ONW1CRm94SEJ1VFh6ai1HMWRTWE9QeUFzcC1fNjPSAdIBQVVfeXFMUFFvMjctMkRqSnEtQXlBQVYySi1SXzVkNTctd1dOMVBON3BIV0lGUDNkLVJzTC0zMTVPSkhfeDRvenNyY2tjUnpBMlhNVkxrTDlPY0RaYXpGYm1TOHRtS2d3emRnV2kxdzhSUjhlNU9FaVBmRldMR1Z2dXlGRTFYX2tLeWlLY2NYdHZ1TmJRSGRxaE5FYWIzaFJ5T2ZvdnNDWFdSRHItOVdlWk1XRk9VWGxjNTIwandNVFBFREMtQjFjaUIzN2drdC16QllSeHBidDRn?oc=5,"Tue, 22 Jul 2025 06:18:52 GMT","<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxPZWFienlXT0dzN28zOF9qM1AxQlRuMFhzUHAzRW9EVDV5UVFNZEp2SUtPbk1Bcm80MklmbWJadU1yOGtXUC1xM0Y3R3J5Tm16QWh1aktUZ3RvTmpQQkk2TldSOFo1eEVxSk91N0JyZGF0TEIxV2pyWklTSU45RzFMdUJzNVhnZUN5SFFvSDhZN2pKbVVhM3ltRGVxeURwUHJiUWFtT2VLQlBqU1Fmcm1ONW1CRm94SEJ1VFh6ai1HMWRTWE9QeUFzcC1fNjPSAdIBQVVfeXFMUFFvMjctMkRqSnEtQXlBQVYySi1SXzVkNTctd1dOMVBON3BIV0lGUDNkLVJzTC0zMTVPSkhfeDRvenNyY2tjUnpBMlhNVkxrTDlPY0RaYXpGYm1TOHRtS2d3emRnV2kxdzhSUjhlNU9FaVBmRldMR1Z2dXlGRTFYX2tLeWlLY2NYdHZ1TmJRSGRxaE5FYWIzaFJ5T2ZvdnNDWFdSRHItOVdlWk1XRk9VWGxjNTIwandNVFBFREMtQjFjaUIzN2drdC16QllSeHBidDRn?oc=5"" target=""_blank"">Nisar launch: How this Nasa-Isro mission will scan entire Earth in 12 days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font>"
Nisar launch: How this Nasa-Isro mission will scan entire Earth in 12 days - MSN,https://news.google.com/rss/articles/CBMivwFBVV95cUxQZTZNMWkydEJaNDFlMWt2TlZ5c0RBSTNYTW15YjdxcUVLcnR2UzJxMlU5cks2SUhLS05fZXJWMFJlT1JVTFB1Z1dNZEVHWk82TDBHWm5wQWY5T2RVTFFNUXp6YVE0MUJfRGpsRllraENreHF1MU0zSm9ublpWZnQxVi1XMEEtS25wanZvMzVyU2EwdmRobm5qdTRqRHlta3A0aGpmeHJCem01R3hEREtJRGpQN0NKcUtZM0R3a1BkSQ?oc=5,"Tue, 22 Jul 2025 11:23:24 GMT","<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxQZTZNMWkydEJaNDFlMWt2TlZ5c0RBSTNYTW15YjdxcUVLcnR2UzJxMlU5cks2SUhLS05fZXJWMFJlT1JVTFB1Z1dNZEVHWk82TDBHWm5wQWY5T2RVTFFNUXp6YVE0MUJfRGpsRllraENreHF1MU0zSm9ublpWZnQxVi1XMEEtS25wanZvMzVyU2EwdmRobm5qdTRqRHlta3A0aGpmeHJCem01R3hEREtJRGpQN0NKcUtZM0R3a1BkSQ?oc=5"" target=""_blank"">Nisar launch: How this Nasa-Isro mission will scan entire Earth in 12 days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>"
NASA-ISRO Mission Will Map Farmland From Planting to Harvest - NASA Jet Propulsion Laboratory (JPL) (.gov),https://news.google.com/rss/articles/CBMilgFBVV95cUxPQjVyalRjQ3B0cE45Y3RlTm8wRDcyMjJlUGtSMTFqTXA3YmxMMWdWdWlBY1B5azV5NE53ZGp4VEJVeUFjMnNreXZxdVVSYlktYlFlSk5hZ3dCYVJaNkViNE9NdUVuTEl4ZnRCcVM4bjB5b1Y4X0xfUWcxOHAxS0lfdGU4SFA1Y2ZxWWY3aTBqZzQ4UkMyZnc?oc=5,"Wed, 12 Mar 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxPQjVyalRjQ3B0cE45Y3RlTm8wRDcyMjJlUGtSMTFqTXA3YmxMMWdWdWlBY1B5azV5NE53ZGp4VEJVeUFjMnNreXZxdVVSYlktYlFlSk5hZ3dCYVJaNkViNE9NdUVuTEl4ZnRCcVM4bjB5b1Y4X0xfUWcxOHAxS0lfdGU4SFA1Y2ZxWWY3aTBqZzQ4UkMyZnc?oc=5"" target=""_blank"">NASA-ISRO Mission Will Map Farmland From Planting to Harvest</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NASA Jet Propulsion Laboratory (JPL) (.gov)</font>"
ISRO mission fails as PSLV suffers third-stage anomaly - The Hans India,https://news.google.com/rss/articles/CBMisAFBVV95cUxOeEhya2xFQ2dmSVduOW9Yd2V1OXBZbk90YUd6VjMzbm82dmxJdEY0MHV3UFRYN3ZoZjFmaExDQUhIWHJINmh6UE0yWG5VV2ZTRUMyZno5bzgxZXdrUjZ5cHE0NU5RbmdTLUxhWGh3M0NabWd4MlhYVG1ETF9uNWVUNXcyZGRXcUhab3lWeGZCZDlCeHZpeVlPQmRFOUxIN3duSWlhdWhZLThDeTJhRUNOb9IBtgFBVV95cUxPU2xxa0syWm9PYktWRzY1ME5BSVRoU0Y2cFhhTWJNS21md0tHc005eFp0RngxaDhfT0FwTktodG80c3VzVVYwUnNpTnUyX3N6ZF9FdHFXRTdYQjFUSnJWSVdTQTV6dl9RakRpT0Z0LVBwVDJSVHkwbnk1NjRqQW5VeUctSDl4bzcwcUt0M21JSzlBb2tjV0ZTMkJVVk04MzljbEp3UzRQZFRPWWNpNGlrQVhuQ2JlQQ?oc=5,"Mon, 19 May 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxOeEhya2xFQ2dmSVduOW9Yd2V1OXBZbk90YUd6VjMzbm82dmxJdEY0MHV3UFRYN3ZoZjFmaExDQUhIWHJINmh6UE0yWG5VV2ZTRUMyZno5bzgxZXdrUjZ5cHE0NU5RbmdTLUxhWGh3M0NabWd4MlhYVG1ETF9uNWVUNXcyZGRXcUhab3lWeGZCZDlCeHZpeVlPQmRFOUxIN3duSWlhdWhZLThDeTJhRUNOb9IBtgFBVV95cUxPU2xxa0syWm9PYktWRzY1ME5BSVRoU0Y2cFhhTWJNS21md0tHc005eFp0RngxaDhfT0FwTktodG80c3VzVVYwUnNpTnUyX3N6ZF9FdHFXRTdYQjFUSnJWSVdTQTV6dl9RakRpT0Z0LVBwVDJSVHkwbnk1NjRqQW5VeUctSDl4bzcwcUt0M21JSzlBb2tjV0ZTMkJVVk04MzljbEp3UzRQZFRPWWNpNGlrQVhuQ2JlQQ?oc=5"" target=""_blank"">ISRO mission fails as PSLV suffers third-stage anomaly</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hans India</font>"
Yamunanagar researchers develop experiment for Isro mission - Times of India,https://news.google.com/rss/articles/CBMi0wFBVV95cUxOdDdLSDZnWjE0aG1fWnEzNzc4WTR5eEtvck0zMTVUMnV1TWRoQk4wNGd6ZTFiWVpoa2pSUzBIYjFweTVSTl9Da0txNllUU2xOaVdUeWp6U1JJX1hCZVp5ak04WkNRV052cjFpcS1VN3BtY2ZpRTg3Z18yTWNVajA0MHFxQlNyMHBDNlF0MWJYSGVKeHhzelpQdDMtU3FBbVRKX1c2SEtoMFZZdEtJMFlqZnJBTWVXZmtoc083MWtOZU5aX3JJcjg1REpRU3Zub0JYRVgw0gHYAUFVX3lxTE1TMElPSkxwWDN2UGhCUkttaEJSNGJGR3NWT1lWOERhRFpUTUJqeHdyaC1aSnNhX3RHUGxOeTJtNm10Yi1UWDlmbHY2NTZHSG41ZXRRV3hURFQ2QUdwWDJZUXZ2dG5LUlc5VUNMYWFJV08zSGVqajdLV2JzTU8yZEdUdHZHNmM2X19kdHJCMUZjaElmajYtRmZLU3pvanFhUUYyekZWZ3RkRUNXRE8tbE45ZFNGVTRIMk1fYlkzcGFhTUVXaUlKTnpsWW9iRnZScHhNblhmZmQ1Vg?oc=5,"Fri, 27 Dec 2024 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxOdDdLSDZnWjE0aG1fWnEzNzc4WTR5eEtvck0zMTVUMnV1TWRoQk4wNGd6ZTFiWVpoa2pSUzBIYjFweTVSTl9Da0txNllUU2xOaVdUeWp6U1JJX1hCZVp5ak04WkNRV052cjFpcS1VN3BtY2ZpRTg3Z18yTWNVajA0MHFxQlNyMHBDNlF0MWJYSGVKeHhzelpQdDMtU3FBbVRKX1c2SEtoMFZZdEtJMFlqZnJBTWVXZmtoc083MWtOZU5aX3JJcjg1REpRU3Zub0JYRVgw0gHYAUFVX3lxTE1TMElPSkxwWDN2UGhCUkttaEJSNGJGR3NWT1lWOERhRFpUTUJqeHdyaC1aSnNhX3RHUGxOeTJtNm10Yi1UWDlmbHY2NTZHSG41ZXRRV3hURFQ2QUdwWDJZUXZ2dG5LUlc5VUNMYWFJV08zSGVqajdLV2JzTU8yZEdUdHZHNmM2X19kdHJCMUZjaElmajYtRmZLU3pvanFhUUYyekZWZ3RkRUNXRE8tbE45ZFNGVTRIMk1fYlkzcGFhTUVXaUlKTnpsWW9iRnZScHhNblhmZmQ1Vg?oc=5"" target=""_blank"">Yamunanagar researchers develop experiment for Isro mission</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>"
Explainer: ISRO’s mission possible: Debris-free space - Tribune India,https://news.google.com/rss/articles/CBMilgFBVV95cUxPbVlNWlJObUZ1Z1o0eFRfNjFHdTJHWnkxRHl2bExWUDAzQ05WdVEwSGwxcktrOUFnWlZTakFQbnE1WERKcG91alJuTloweW5IVF85QU9zN3dha19hUVpIYVdKMGFlRzl1X08td1ZESHQ1QnVTZTFnaXhFaGVkZjFETU90UzNEa1VBUDVjQjlxLXVHRWJnZUHSAZoBQVVfeXFMTVdGS3ZNMWRuRzRpS2I5N3BwckdwTzh3TXA1YU5iWjltaUdqM1ZTMTVyelNXV3dKaW9ZVzg4dXByYWVySWJYcTFaNWxGU2FWdjBfUThnMGhjQUprZGNVNzlqdDI2S0VJWTgxZWtTcE1DaFJYeTBtRGZFdWNtRFdGN3hxa19aYlNxS3JxT0VWaXNJd1lHRjhHRmRfQQ?oc=5,"Tue, 08 Apr 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxPbVlNWlJObUZ1Z1o0eFRfNjFHdTJHWnkxRHl2bExWUDAzQ05WdVEwSGwxcktrOUFnWlZTakFQbnE1WERKcG91alJuTloweW5IVF85QU9zN3dha19hUVpIYVdKMGFlRzl1X08td1ZESHQ1QnVTZTFnaXhFaGVkZjFETU90UzNEa1VBUDVjQjlxLXVHRWJnZUHSAZoBQVVfeXFMTVdGS3ZNMWRuRzRpS2I5N3BwckdwTzh3TXA1YU5iWjltaUdqM1ZTMTVyelNXV3dKaW9ZVzg4dXByYWVySWJYcTFaNWxGU2FWdjBfUThnMGhjQUprZGNVNzlqdDI2S0VJWTgxZWtTcE1DaFJYeTBtRGZFdWNtRFdGN3hxa19aYlNxS3JxT0VWaXNJd1lHRjhHRmRfQQ?oc=5"" target=""_blank"">Explainer: ISRO’s mission possible: Debris-free space</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tribune India</font>"
NASA-ISRO Mission: How Earth Satellite NISAR will see the Earth? - Jagran Josh,https://news.google.com/rss/articles/CBMi2AFBVV95cUxPdGNYQmlKQWZiVWtWeWdoTGstZ0pFNXlCUEhHNHlZYmNFVXRlN3ltWkJ3OTFlWXFkcUNoTFlHV3BwSzJOQXcycVZ0c0hIaWswelJ3TlpVa2V4bWNPQm5Wcm5zaDNyc3cwMUg2QnZYVWRlN3pLWjItZlpnaTZFVDFEZnh3RFlZS0kwck1WRzk4cEhOV01GZGVJbkhUeF9hWGEyeVRVbldYM3p0TlJCVGd2Wi1aaVlhb3JBVVVWZXJqRXp1NlhGckpYanFlbWZqenl0WWJPVjN6bUE?oc=5,"Fri, 24 Jan 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxPdGNYQmlKQWZiVWtWeWdoTGstZ0pFNXlCUEhHNHlZYmNFVXRlN3ltWkJ3OTFlWXFkcUNoTFlHV3BwSzJOQXcycVZ0c0hIaWswelJ3TlpVa2V4bWNPQm5Wcm5zaDNyc3cwMUg2QnZYVWRlN3pLWjItZlpnaTZFVDFEZnh3RFlZS0kwck1WRzk4cEhOV01GZGVJbkhUeF9hWGEyeVRVbldYM3p0TlJCVGd2Wi1aaVlhb3JBVVVWZXJqRXp1NlhGckpYanFlbWZqenl0WWJPVjN6bUE?oc=5"" target=""_blank"">NASA-ISRO Mission: How Earth Satellite NISAR will see the Earth?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran Josh</font>"
"Isro mission succeeds, 2 satellites dock in space in 'historic moment' - Business Standard",https://news.google.com/rss/articles/CBMizAFBVV95cUxQLW1hTC1oTy1DT2l5b2lpUWpURTd3WlBSMWF6WmFfbHpELWRPYnFrSmpVd2RxTTBoN0NGMkxrTDY2VG9CZVI0WUhkcUFSSV9ONjdkVU1kZWloS1VwTU0wbFhHM1FrQjY5Vl9ILURTVnpzZnY1MVdjWFpVTXdzeVFwWUJMUkZ4U3YxNk9keGI2SERYU19QNGIyT3diSmZZSGx4TzVCQ09uTTd3ZUlSOWZFc2JsTENlaHZLbll3Nml5QVR3OHhtV01NRGVITmfSAdIBQVVfeXFMTXZUT3RlcHRZbkxNMGsxUUNndE5WNzdKTmw2cGpUYVNidzFGUXRkX1ctY3ZvVXJwVEV4R3lNMldwSHRtc0EtUmZ2T01SOF9WMlZsR2EwX0ZWeUZYcFFoVFFDRC11Q2toSUJUTTB2ZWgxNF9saV9nX0dPZkNLM1VQdURueTNRYkQ0d2p5STJnT3BZV3JqQV9ZNElHTFR3MUh6T3ZEeVpyUV9qcElsdW9jVWFvVmpQczJBYXVIeUZNc0Y3bzR4cWpnUUVveTMtQU1KeV9B?oc=5,"Thu, 16 Jan 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxQLW1hTC1oTy1DT2l5b2lpUWpURTd3WlBSMWF6WmFfbHpELWRPYnFrSmpVd2RxTTBoN0NGMkxrTDY2VG9CZVI0WUhkcUFSSV9ONjdkVU1kZWloS1VwTU0wbFhHM1FrQjY5Vl9ILURTVnpzZnY1MVdjWFpVTXdzeVFwWUJMUkZ4U3YxNk9keGI2SERYU19QNGIyT3diSmZZSGx4TzVCQ09uTTd3ZUlSOWZFc2JsTENlaHZLbll3Nml5QVR3OHhtV01NRGVITmfSAdIBQVVfeXFMTXZUT3RlcHRZbkxNMGsxUUNndE5WNzdKTmw2cGpUYVNidzFGUXRkX1ctY3ZvVXJwVEV4R3lNMldwSHRtc0EtUmZ2T01SOF9WMlZsR2EwX0ZWeUZYcFFoVFFDRC11Q2toSUJUTTB2ZWgxNF9saV9nX0dPZkNLM1VQdURueTNRYkQ0d2p5STJnT3BZV3JqQV9ZNElHTFR3MUh6T3ZEeVpyUV9qcElsdW9jVWFvVmpQczJBYXVIeUZNc0Y3bzR4cWpnUUVveTMtQU1KeV9B?oc=5"" target=""_blank"">Isro mission succeeds, 2 satellites dock in space in 'historic moment'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>"
