title,link,published,summary
5 Indian Budget Bikes With Over 30bhp Power - Times Now,https://news.google.com/rss/articles/CBMirwFBVV95cUxNZFN3RHVlNW1NZFlRSDdLOExYZjdEa1Ffb0ZZZUlhSHZEcFRqVm1UdlB5cVZCdm9FWGxDeXhhYWc0T19JRmduOUVNRWV1N29DUERGOG8xSzVfMy1qNFhLYk1LbG40bDhGaVlEUGVsWnhoUWsyS3BGZDFOSG9jVzZmcVpYbS05WXA2VXJ2M0l1ODhYd0Q2SGJCR1l3Sk5qRHE2U3dlVUhTNjc1ZWxqeGtn0gG0AUFVX3lxTFAtU2FxWUxvOHFsXzZjbHhTdFB3MFI1Q01PdmJkTFFoTEtMcWZQT000VVhKcUw2akxhbV82S3FNY0c1bl9XUGpGek9yLWtmaGFIaDJ4UTJBdVAyWjBFUEtkVVozejVXVEhxMnJvZlFKZWxEV1FHb09yVEt6YlFaYmdoeTgzZy14ekNGZS1lSU9DQ0hpdThnTHpVMzYwUFJmQTJPTnkxc1kzVENsZGZUa05MZ2tNNA?oc=5,"Tue, 08 Jul 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxNZFN3RHVlNW1NZFlRSDdLOExYZjdEa1Ffb0ZZZUlhSHZEcFRqVm1UdlB5cVZCdm9FWGxDeXhhYWc0T19JRmduOUVNRWV1N29DUERGOG8xSzVfMy1qNFhLYk1LbG40bDhGaVlEUGVsWnhoUWsyS3BGZDFOSG9jVzZmcVpYbS05WXA2VXJ2M0l1ODhYd0Q2SGJCR1l3Sk5qRHE2U3dlVUhTNjc1ZWxqeGtn0gG0AUFVX3lxTFAtU2FxWUxvOHFsXzZjbHhTdFB3MFI1Q01PdmJkTFFoTEtMcWZQT000VVhKcUw2akxhbV82S3FNY0c1bl9XUGpGek9yLWtmaGFIaDJ4UTJBdVAyWjBFUEtkVVozejVXVEhxMnJvZlFKZWxEV1FHb09yVEt6YlFaYmdoeTgzZy14ekNGZS1lSU9DQ0hpdThnTHpVMzYwUFJmQTJPTnkxc1kzVENsZGZUa05MZ2tNNA?oc=5"" target=""_blank"">5 Indian Budget Bikes With Over 30bhp Power</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Now</font>"
Indian budget launches Nuclear Energy Mission - World Nuclear News,https://news.google.com/rss/articles/CBMikwFBVV95cUxOR1ZaM3h4TWY1YkU5OGxBTmdqV19EOXQ4Qzl5TFM4Q3RJazhxSEJmRGRvdEhyMXVQOXRhY3VRTVVaQnRYSWo2TnprLXdtc2ZuZ3Z5aHRiNTNKQkwwd1huZWlqdXNxYUQ4R01GLWRudzZCYVF4bmpwMHBVVHFZalRNQ0VpOVF3NjAxenJRdTFHTVZtdEk?oc=5,"Mon, 03 Feb 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxOR1ZaM3h4TWY1YkU5OGxBTmdqV19EOXQ4Qzl5TFM4Q3RJazhxSEJmRGRvdEhyMXVQOXRhY3VRTVVaQnRYSWo2TnprLXdtc2ZuZ3Z5aHRiNTNKQkwwd1huZWlqdXNxYUQ4R01GLWRudzZCYVF4bmpwMHBVVHFZalRNQ0VpOVF3NjAxenJRdTFHTVZtdEk?oc=5"" target=""_blank"">Indian budget launches Nuclear Energy Mission</a>&nbsp;&nbsp;<font color=""#6f6f6f"">World Nuclear News</font>"
Indian budget offers boost to domestic PV manufacturing - PV Tech,https://news.google.com/rss/articles/CBMihwFBVV95cUxQazJra3lfWnIwZHlQcHZXXzMzVXlQcnBDYWxBZ0xhZ01WRUI0VXVhVTVQU1VsNXoyVU03WkFXNzF1aEtqQVBaWG1ncndTOURWUDJZMDM3Q3ZLdENOZndiWkNPRkZxczdXandSSWRzbFgtQWJ0NVdWVnlIMkRrWFVoX0l4bWlFMXc?oc=5,"Mon, 03 Feb 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMihwFBVV95cUxQazJra3lfWnIwZHlQcHZXXzMzVXlQcnBDYWxBZ0xhZ01WRUI0VXVhVTVQU1VsNXoyVU03WkFXNzF1aEtqQVBaWG1ncndTOURWUDJZMDM3Q3ZLdENOZndiWkNPRkZxczdXandSSWRzbFgtQWJ0NVdWVnlIMkRrWFVoX0l4bWlFMXc?oc=5"" target=""_blank"">Indian budget offers boost to domestic PV manufacturing</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PV Tech</font>"
Budget 2025: Can the Indian Budget be presented on a Saturday? - The Economic Times,https://news.google.com/rss/articles/CBMi1wFBVV95cUxOZlozN0h0UHRidHRkdk1jTGhyeGdCSDVjclk1bGJNbjJCdmNHUHZkbmVVeFRMRy1fNFBHQndFYjFjMGViaGx3alV6RF9RMVN6SHBVSlRvX080Q2FSY191a3llWDd3ZmpuU25kYjVtdjZWVWlBY3o0TEtPeXdDVmpyc1kyVi11UWxXWThLUWFqQUN6OGdYMUFrdHlfNkFMb3djQWtMaDBPZ3N0bEVYaW9BYUxhUFlCaDBuVl9fZmlDNVlXZFFQcjFVeHhISXJDS0lPREJScW5qUdIB3AFBVV95cUxOdEpIS19oLWZqUTJlcmxrT3k1VWlqTHJDeDhsZE9lQUFaSHR2NTdpcWFyZ0V3VUdldHA0dzZIamo4cEJFX2owb09DME1sN3JlMjNJN2ZxcFBtWVBBYXZiVEEyWnNaY1VZVXBrMlNOeEdNdmZwS3lMV1V5ZlBtN1RYbUw0aTYzVWhEMTFFR1RRcFV6azVRd2FuWXVmS2lyQWVadVRrTzZkaVZxTU9RMGVXNWM2cTFhNTBqb0ZNMlBpRHZWcThYVl9qNDQyVDF2dkhocWFrRDNWenFBaHA0?oc=5,"Mon, 09 Dec 2024 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxOZlozN0h0UHRidHRkdk1jTGhyeGdCSDVjclk1bGJNbjJCdmNHUHZkbmVVeFRMRy1fNFBHQndFYjFjMGViaGx3alV6RF9RMVN6SHBVSlRvX080Q2FSY191a3llWDd3ZmpuU25kYjVtdjZWVWlBY3o0TEtPeXdDVmpyc1kyVi11UWxXWThLUWFqQUN6OGdYMUFrdHlfNkFMb3djQWtMaDBPZ3N0bEVYaW9BYUxhUFlCaDBuVl9fZmlDNVlXZFFQcjFVeHhISXJDS0lPREJScW5qUdIB3AFBVV95cUxOdEpIS19oLWZqUTJlcmxrT3k1VWlqTHJDeDhsZE9lQUFaSHR2NTdpcWFyZ0V3VUdldHA0dzZIamo4cEJFX2owb09DME1sN3JlMjNJN2ZxcFBtWVBBYXZiVEEyWnNaY1VZVXBrMlNOeEdNdmZwS3lMV1V5ZlBtN1RYbUw0aTYzVWhEMTFFR1RRcFV6azVRd2FuWXVmS2lyQWVadVRrTzZkaVZxTU9RMGVXNWM2cTFhNTBqb0ZNMlBpRHZWcThYVl9qNDQyVDF2dkhocWFrRDNWenFBaHA0?oc=5"" target=""_blank"">Budget 2025: Can the Indian Budget be presented on a Saturday?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>"
Rail spending capped in cautious Indian budget | News - Railway Gazette International,https://news.google.com/rss/articles/CBMinwFBVV95cUxPQVhvbWluLVJmRDRWVlVZd1pQR2JsWUoxSVBWNnZYX0huSmhjQjBJUy1sTjhEa05iR1liMFEzdDlzODZnU0l2N2dQLS13LVBIVGNramRqOUJzTEtFWlZWQ0xjVllVcHBZU1oySTJPRzJmaDBYR0c1dVROUVAyRlhyU3JleW4zdXMxRG9Ra3JpVzFUSExYQmtoRFRBaWVmaGM?oc=5,"Tue, 04 Feb 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxPQVhvbWluLVJmRDRWVlVZd1pQR2JsWUoxSVBWNnZYX0huSmhjQjBJUy1sTjhEa05iR1liMFEzdDlzODZnU0l2N2dQLS13LVBIVGNramRqOUJzTEtFWlZWQ0xjVllVcHBZU1oySTJPRzJmaDBYR0c1dVROUVAyRlhyU3JleW4zdXMxRG9Ra3JpVzFUSExYQmtoRFRBaWVmaGM?oc=5"" target=""_blank"">Rail spending capped in cautious Indian budget | News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Railway Gazette International</font>"
Mental Health in the Indian Budget 2025 - Rising Kashmir,https://news.google.com/rss/articles/CBMidEFVX3lxTE9oQndZRGJRZzhnVGRsVklxZ3FTUzRFd25DVk1YdFhfSUFPa2JCN0JBT24wYmlSWGV3bzdyVGVXby1qTUZKWEZFWEZteW9rMkNleWlJY0UwS211aDFKd29hOEpnV3h5WTBtQklwTmZrWDNBTTVx?oc=5,"Tue, 04 Feb 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMidEFVX3lxTE9oQndZRGJRZzhnVGRsVklxZ3FTUzRFd25DVk1YdFhfSUFPa2JCN0JBT24wYmlSWGV3bzdyVGVXby1qTUZKWEZFWEZteW9rMkNleWlJY0UwS211aDFKd29hOEpnV3h5WTBtQklwTmZrWDNBTTVx?oc=5"" target=""_blank"">Mental Health in the Indian Budget 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Rising Kashmir</font>"
Union budget 2025: Interesting facts about Indian budget kids must know - Times of India,https://news.google.com/rss/articles/CBMi9wFBVV95cUxOT0NxSjl2dTlNcHNxOUlTMHF4VUpid2NMMlVDbEdhOXB2WHBNRUVTR1RpUGVjUUZxQU8yNDJMTTF4OGR1bTBULU53SmV0aG83SVJLN3U1SElYd0ZobzUyeVV3Uks0MUhyYjBxS290Y1hPbHVWUnpONy1lUzBTY2NSRm1LMHlPVTc4ZFJMUWxlN2xyZW9HOEpRUzFMNTkta01qT3ZTcXZZcFFibjNtWVVTbXZjTUs0SHo1RnZ3TGdNR0dxTkpNdTdFS2VhV25QaFFfOG5DMVNVMGdWNnE1TGt6enBadUFoSHNUQUhtMVlxdUtseTl2MnIw0gH3AUFVX3lxTE5PQ3FKOXZ1OU1wc3E5SVMwcXhVSmJ3Y0wyVUNsR2E5cHZYcE1FRVNHVGlQZWNRRnFBTzI0MkxNMXg4ZHVtMFQtTndKZXRobzdJUks3dTVISVh3RmhvNTJ5VXdSSzQxSHJiMHFLb3RjWE9sdVZSek43LWVTMFNjY1JGbUsweU9VNzhkUkxRbGU3bHJlb0c4SlFTMUw1OS1rTWpPdlNxdllwUWJuM21ZVVNtdmNNSzRIejVGdndMZ01HR3FOSk11N0VLZWFXblBoUV84bkMxU1UwZ1Y2cTVMa3p6cFp1QWhIc1RBSG0xWXF1S2x5OXYycjA?oc=5,"Sat, 01 Feb 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi9wFBVV95cUxOT0NxSjl2dTlNcHNxOUlTMHF4VUpid2NMMlVDbEdhOXB2WHBNRUVTR1RpUGVjUUZxQU8yNDJMTTF4OGR1bTBULU53SmV0aG83SVJLN3U1SElYd0ZobzUyeVV3Uks0MUhyYjBxS290Y1hPbHVWUnpONy1lUzBTY2NSRm1LMHlPVTc4ZFJMUWxlN2xyZW9HOEpRUzFMNTkta01qT3ZTcXZZcFFibjNtWVVTbXZjTUs0SHo1RnZ3TGdNR0dxTkpNdTdFS2VhV25QaFFfOG5DMVNVMGdWNnE1TGt6enBadUFoSHNUQUhtMVlxdUtseTl2MnIw0gH3AUFVX3lxTE5PQ3FKOXZ1OU1wc3E5SVMwcXhVSmJ3Y0wyVUNsR2E5cHZYcE1FRVNHVGlQZWNRRnFBTzI0MkxNMXg4ZHVtMFQtTndKZXRobzdJUks3dTVISVh3RmhvNTJ5VXdSSzQxSHJiMHFLb3RjWE9sdVZSek43LWVTMFNjY1JGbUsweU9VNzhkUkxRbGU3bHJlb0c4SlFTMUw1OS1rTWpPdlNxdllwUWJuM21ZVVNtdmNNSzRIejVGdndMZ01HR3FOSk11N0VLZWFXblBoUV84bkMxU1UwZ1Y2cTVMa3p6cFp1QWhIc1RBSG0xWXF1S2x5OXYycjA?oc=5"" target=""_blank"">Union budget 2025: Interesting facts about Indian budget kids must know</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>"
IITs and expanding medical training prioritised in Indian budget - Times Higher Education,https://news.google.com/rss/articles/CBMipgFBVV95cUxQTkRhbUpKaVo2dV9sS2FZTWZWYmd5UXBMNUt0SWpaVEJHT3VsV1B6M254MzhhQkVVa0MzTG9qVndMRW1VWEltX3dMeVZPZTlUNnJRNDMzNkdvanIxelN3THhwZnBEUXVKS1F1NGJMMmI4eHlVNHNLOE5nR1JMVlNZeTR6UGZGRnhTN0ZtbW9ncDVlWFVxYTZ5ektBdElqZWsyOXItNHp3?oc=5,"Mon, 03 Feb 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxQTkRhbUpKaVo2dV9sS2FZTWZWYmd5UXBMNUt0SWpaVEJHT3VsV1B6M254MzhhQkVVa0MzTG9qVndMRW1VWEltX3dMeVZPZTlUNnJRNDMzNkdvanIxelN3THhwZnBEUXVKS1F1NGJMMmI4eHlVNHNLOE5nR1JMVlNZeTR6UGZGRnhTN0ZtbW9ncDVlWFVxYTZ5ektBdElqZWsyOXItNHp3?oc=5"" target=""_blank"">IITs and expanding medical training prioritised in Indian budget</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Higher Education</font>"
Indian Budget 2025 | From Paper To Digital: The Evolution Of Budget - NDTV,https://news.google.com/rss/articles/CBMioAFBVV95cUxPOXhKbllVTThtYzVVUWp6eDNtTENZLS1VMFRKaTNPSEM5MktWZVdTaVdyVlNSU3hpX1gxTTFNLUtQVEVzc3Jka3dFYzZ5UER4Wm85SWZIU21fRVN5VFptSkc2aU5SNzZtWjZhWmhOS055bzE4djFEeHdvcVJkY3ctOUthakt4U1B0b1FQeEpTWDVpTHV4MGoxQXlDNDZXWkdG?oc=5,"Thu, 30 Jan 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxPOXhKbllVTThtYzVVUWp6eDNtTENZLS1VMFRKaTNPSEM5MktWZVdTaVdyVlNSU3hpX1gxTTFNLUtQVEVzc3Jka3dFYzZ5UER4Wm85SWZIU21fRVN5VFptSkc2aU5SNzZtWjZhWmhOS055bzE4djFEeHdvcVJkY3ctOUthakt4U1B0b1FQeEpTWDVpTHV4MGoxQXlDNDZXWkdG?oc=5"" target=""_blank"">Indian Budget 2025 | From Paper To Digital: The Evolution Of Budget</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV</font>"
Indian budget 2025: Infrastructure remains a priority - Construction Briefing,https://news.google.com/rss/articles/CBMirwFBVV95cUxOc3VqQmZUcmJlb3hsNkRZcXp2UUppOUZLa0xqU2JiN3c5T20tVmVNcTV0SFZsS0dzeHk1SWkwamV2dVBfYVd1d1dUdUY4Qmpzb2tEOEsxcTZ2Tlg1SVRUNFp2VDdRNFNlUlFZd3dKcDJ3QVQ5OG5mcmxIdUwtQlBVLUx3bjc3eTJqV1NPY1ZkMmZRTUEycHktXzBNZ0xDYloyRXhpVFpUMFl3RjdfWnBB?oc=5,"Mon, 03 Feb 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxOc3VqQmZUcmJlb3hsNkRZcXp2UUppOUZLa0xqU2JiN3c5T20tVmVNcTV0SFZsS0dzeHk1SWkwamV2dVBfYVd1d1dUdUY4Qmpzb2tEOEsxcTZ2Tlg1SVRUNFp2VDdRNFNlUlFZd3dKcDJ3QVQ5OG5mcmxIdUwtQlBVLUx3bjc3eTJqV1NPY1ZkMmZRTUEycHktXzBNZ0xDYloyRXhpVFpUMFl3RjdfWnBB?oc=5"" target=""_blank"">Indian budget 2025: Infrastructure remains a priority</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Construction Briefing</font>"
