title,link,published,summary
International Olympic Committee sets up working group to protect women's sports - BBC,https://news.google.com/rss/articles/CBMiZ0FVX3lxTFBPVHRqVHRaT3VCdGt1TmxjdWhBX1U5ZHF0SjlnU2RQalRpLWt1UnJHeUdlcWNTV3hvREdNVGRNbEZVUFRkYUJtT0FjMk1RS3BmVFFIeTBwVlN0cUJiQUtYRWo1bFk3ekU?oc=5,"Fri, 05 Sep 2025 18:38:25 GMT","<a href=""https://news.google.com/rss/articles/CBMiZ0FVX3lxTFBPVHRqVHRaT3VCdGt1TmxjdWhBX1U5ZHF0SjlnU2RQalRpLWt1UnJHeUdlcWNTV3hvREdNVGRNbEZVUFRkYUJtT0FjMk1RS3BmVFFIeTBwVlN0cUJiQUtYRWo1bFk3ekU?oc=5"" target=""_blank"">International Olympic Committee sets up working group to protect women's sports</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BBC</font>"
Streameast shutdown: What legal dangers do users face when streaming illegal sports? Explained - Mint,https://news.google.com/rss/articles/CBMi3AFBVV95cUxQMzcxaV8yMkpXOGJiZVN2eXV0aXFWOUt5eGthOXEwWURkWlZIRjU2T0IyU0syakowYVZhRVNJd0hHb05DUEc1VTB0QTFVNU9MZ1V6bmJiX3A3eDFuUzJTTW9MNW1nYVZGR3B6RUN0aC1pdnBaX3RlckNwOUtpU0puc2xacTNvMXV3LVduZldTN05LM2RWdFo5bWJWMVYzNHhBQUl5MlZjX2hkTEJTQmtDdHM4dnFpNkhyMVNxdGpabm0zVGl0S2xNN193bEJfcFZNUnNSRHgwR29aOWd60gHiAUFVX3lxTFBhUGQyakpNb0hLak1JeEstdUc2RVlDNXd6Tks4cG1kTWxiYjdBNGl0dlladjRMUzQtUmRKUXJVbUVHOG1PdENYNWM5Z1JDZ2FMUVFHLW1VSlNaX1J5Nl8wY0RIaE83Q2tBRXdTUDFtYXNDX3duNE9HRVdoVzllcW1yMXAxQzNXWlB0WTFxb2sxRXRZcWJLTXViRDBXNlEtYWNncFZzMEVBS0xVLWRGVms2WlRzeFhjMk1DTFVsaWJrT3cyM0JmWktSd3ZXRjVXYlRnQXJTZXpRZE5PYjU4TGplMHc?oc=5,"Sun, 07 Sep 2025 20:23:09 GMT","<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxQMzcxaV8yMkpXOGJiZVN2eXV0aXFWOUt5eGthOXEwWURkWlZIRjU2T0IyU0syakowYVZhRVNJd0hHb05DUEc1VTB0QTFVNU9MZ1V6bmJiX3A3eDFuUzJTTW9MNW1nYVZGR3B6RUN0aC1pdnBaX3RlckNwOUtpU0puc2xacTNvMXV3LVduZldTN05LM2RWdFo5bWJWMVYzNHhBQUl5MlZjX2hkTEJTQmtDdHM4dnFpNkhyMVNxdGpabm0zVGl0S2xNN193bEJfcFZNUnNSRHgwR29aOWd60gHiAUFVX3lxTFBhUGQyakpNb0hLak1JeEstdUc2RVlDNXd6Tks4cG1kTWxiYjdBNGl0dlladjRMUzQtUmRKUXJVbUVHOG1PdENYNWM5Z1JDZ2FMUVFHLW1VSlNaX1J5Nl8wY0RIaE83Q2tBRXdTUDFtYXNDX3duNE9HRVdoVzllcW1yMXAxQzNXWlB0WTFxb2sxRXRZcWJLTXViRDBXNlEtYWNncFZzMEVBS0xVLWRGVms2WlRzeFhjMk1DTFVsaWJrT3cyM0JmWktSd3ZXRjVXYlRnQXJTZXpRZE5PYjU4TGplMHc?oc=5"" target=""_blank"">Streameast shutdown: What legal dangers do users face when streaming illegal sports? Explained</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>"
'Treated me like a kid': Chris Gayle reveals painful IPL exit from Punjab Kings; says he packed his bags - The Times of India,https://news.google.com/rss/articles/CBMisgJBVV95cUxNTnhxem1yZE4wdkFnMHVvazlFTVN5T1ZLSUprckhNMDhNeldTU2JMYWR3SkJPV0NGcEhhUmU3VFRIb0dKc2NvajhfbEJmQTItOFVGWjlOdGZCRFVucS1sQk5TczEtRDE1and4UE9pTTBodFhFR0pYVnZRQTVnSGFHYVNOdHQ2NEN1dDdMaDB0aFJFSkZCZWJlQTBwTnExQUE1aE80aWpLNGV3ZEQ1UjE0ZUkwOTlGNDlfQjF1WV9PTG1ZSkZ6SlRQRnRYLXE2ekc5S2ZiX3dHOXp0MWRGeHA5YXJqY2xPTlFRREQ2NHFoaFI4NkhUOEhUNW84Y0JXYkk2enI4RkZ0X0RzblFYRmU4UVQxeDVOWXQ3dDdVOUMzNDByaklVcE95VVFvblBPVWJaLVHSAbcCQVVfeXFMTnU3Y081THlKdGdhaER0V1M4SFRScFZ2T2N0S1JsREhXZ3NnTzM3U2ZPYm00Z1NCdDRrVnIwbDJBWDVaaXVXNmFKTmR6VFNWU3Z1ZGwwSWNXZ1pTVW1YYkJNODZnMEVOM3Y0cVVEWjJMMWlIcVVWUmhyMHViaEM4WEFFaWkwYXhYaGlYZUQ1TWdOZ09IZ0VKV1RNV3lJMGVZdEttdHJtX25BZlgwclNybDdrZVZqc1lkZmRpWDcyWU5TV1B6XzkxdjdDU1lRMldhQ1hPQ0dFMmxhOGZ1YUZRYklPeHJ2Y2RtNGhNYTdYNVQ1YnZtSWt2dzJfRm1JUUJBTzNCeDhOOHM1c3hBVEhRR3RYSFBoYU80ajlZdTBzMGNJczBEaVJxSE1XTWNkcEtTSTFtd3Y5UzA?oc=5,"Mon, 08 Sep 2025 10:04:00 GMT","<a href=""https://news.google.com/rss/articles/CBMisgJBVV95cUxNTnhxem1yZE4wdkFnMHVvazlFTVN5T1ZLSUprckhNMDhNeldTU2JMYWR3SkJPV0NGcEhhUmU3VFRIb0dKc2NvajhfbEJmQTItOFVGWjlOdGZCRFVucS1sQk5TczEtRDE1and4UE9pTTBodFhFR0pYVnZRQTVnSGFHYVNOdHQ2NEN1dDdMaDB0aFJFSkZCZWJlQTBwTnExQUE1aE80aWpLNGV3ZEQ1UjE0ZUkwOTlGNDlfQjF1WV9PTG1ZSkZ6SlRQRnRYLXE2ekc5S2ZiX3dHOXp0MWRGeHA5YXJqY2xPTlFRREQ2NHFoaFI4NkhUOEhUNW84Y0JXYkk2enI4RkZ0X0RzblFYRmU4UVQxeDVOWXQ3dDdVOUMzNDByaklVcE95VVFvblBPVWJaLVHSAbcCQVVfeXFMTnU3Y081THlKdGdhaER0V1M4SFRScFZ2T2N0S1JsREhXZ3NnTzM3U2ZPYm00Z1NCdDRrVnIwbDJBWDVaaXVXNmFKTmR6VFNWU3Z1ZGwwSWNXZ1pTVW1YYkJNODZnMEVOM3Y0cVVEWjJMMWlIcVVWUmhyMHViaEM4WEFFaWkwYXhYaGlYZUQ1TWdOZ09IZ0VKV1RNV3lJMGVZdEttdHJtX25BZlgwclNybDdrZVZqc1lkZmRpWDcyWU5TV1B6XzkxdjdDU1lRMldhQ1hPQ0dFMmxhOGZ1YUZRYklPeHJ2Y2RtNGhNYTdYNVQ1YnZtSWt2dzJfRm1JUUJBTzNCeDhOOHM1c3hBVEhRR3RYSFBoYU80ajlZdTBzMGNJczBEaVJxSE1XTWNkcEtTSTFtd3Y5UzA?oc=5"" target=""_blank"">'Treated me like a kid': Chris Gayle reveals painful IPL exit from Punjab Kings; says he packed his bags</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>"
"England's ODI issues after another series defeat: Fifth bowler, too much cricket and not enough 50-over action - Sky Sports",https://news.google.com/rss/articles/CBMi8wFBVV95cUxQS0RoOWFVLVQwamF0NjdVb3BTdWpvOVVFN0NmZFprVzg3SWY5WEp5ODZfNGdmYVlrV3R3LTR5V04tOUhRcGRrTWk5ajYtOFM4T3lYZlpPMjI0SWZ2QU94NXktNFpRTlpyaVpJUS1Bd0FZQnRVb2h0a3o0NFhYMmxYcFBvZGtCeWJzT3Y0c0hYcm5odGRTZExOUFF1OWFpamRkdlNMQXg1aWhfQVBuS0xTVWdKVUtmelNlNFFQbmxFakY5aHZOcWlfRnBPV3JRM0NTOUxNaU5QLVdyWXAxUkhtUnJrX3NCc1NxU0dneTJ2RU1GTlXSAfgBQVVfeXFMUG1LSFdJaEczTGNPVV9idHc3UUh2ZzlCc3BfYXlid09SWEMwc2M2OXplRy10bmR5QVZOVTBXSEtEbW1GY0hpc1piVkg0UTZNYlBUM2VDdklsTFpJTGFQV2lydXYzUHlqbWIzZVEyOWxTQjMyaDRyeDBMeDdhdXZaWnM5OENJNWZ1TTdaTGphZm5fN1F3VlJ6eFpMWDhmMzAzcmV4VThIbWdCTnQ1TTU5RkduQmtwdDdFUDdISEo3TmhGbl9MaFRfRjUxMmdjLXMyRkUyZDFlNW5LLUJaTjBCRDZGajZENGhRa2RWalVlSE5ITi0yWnUtVDA?oc=5,"Mon, 08 Sep 2025 12:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi8wFBVV95cUxQS0RoOWFVLVQwamF0NjdVb3BTdWpvOVVFN0NmZFprVzg3SWY5WEp5ODZfNGdmYVlrV3R3LTR5V04tOUhRcGRrTWk5ajYtOFM4T3lYZlpPMjI0SWZ2QU94NXktNFpRTlpyaVpJUS1Bd0FZQnRVb2h0a3o0NFhYMmxYcFBvZGtCeWJzT3Y0c0hYcm5odGRTZExOUFF1OWFpamRkdlNMQXg1aWhfQVBuS0xTVWdKVUtmelNlNFFQbmxFakY5aHZOcWlfRnBPV3JRM0NTOUxNaU5QLVdyWXAxUkhtUnJrX3NCc1NxU0dneTJ2RU1GTlXSAfgBQVVfeXFMUG1LSFdJaEczTGNPVV9idHc3UUh2ZzlCc3BfYXlid09SWEMwc2M2OXplRy10bmR5QVZOVTBXSEtEbW1GY0hpc1piVkg0UTZNYlBUM2VDdklsTFpJTGFQV2lydXYzUHlqbWIzZVEyOWxTQjMyaDRyeDBMeDdhdXZaWnM5OENJNWZ1TTdaTGphZm5fN1F3VlJ6eFpMWDhmMzAzcmV4VThIbWdCTnQ1TTU5RkduQmtwdDdFUDdISEo3TmhGbl9MaFRfRjUxMmdjLXMyRkUyZDFlNW5LLUJaTjBCRDZGajZENGhRa2RWalVlSE5ITi0yWnUtVDA?oc=5"" target=""_blank"">England's ODI issues after another series defeat: Fifth bowler, too much cricket and not enough 50-over action</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Sky Sports</font>"
"School Assembly News Headlines (Sept 08): Top National, World, Business, Sports, And Education Updates - NDTV",https://news.google.com/rss/articles/CBMizwFBVV95cUxNQjZ0c0RMTjRjQ1NDeUpySWdXdmdNbm5HZ2NPRV9aRWNGcEI5emh6QnZWVHhQV0VRM0g5bWtXYXVZWnZSTnBOZHBUeGxVdTlUdDdkakVtOHAzYllKb0hFeDBaYzNmLWJWX1FCVEZkeDBVS0l4LURod1BFUldHSU54VGpyRHVKVF82cnhuVVFDMW40Ykh1YW9qTVE5emZzRmxiNlJhbXFKNkQ1ZDBsYkk5UmRsSm5EZ29CaUdPc1FocTMxOVpfSVItM3I5TnA2eGvSAdcBQVVfeXFMTnVBNllxZ3FDUmZnQ0Q2Z0UxX0stOUVldlpNc2JMU2s4SXN6XzdPV1A0aU40NGpzclNwWFZSdk42SGl4SFZRY05KV2xkTFBPRnNzaEJBOFpYZThKX1l1ajhtSjhBNElZbGRHZE45ODlfSU9rWnE2VElGTVhfTFhmQlc1aE1TM01ETXJ5N2dNeTlQTmJYUmJwZ2pHa2NuQW9MUUwzd04xdmRhX2thUDBmMmZvTW1oTXlWczlHa1hoemZINHYzUkV2b3NJbHJLdkxCaHU1MmtRVTA?oc=5,"Mon, 08 Sep 2025 01:57:52 GMT","<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxNQjZ0c0RMTjRjQ1NDeUpySWdXdmdNbm5HZ2NPRV9aRWNGcEI5emh6QnZWVHhQV0VRM0g5bWtXYXVZWnZSTnBOZHBUeGxVdTlUdDdkakVtOHAzYllKb0hFeDBaYzNmLWJWX1FCVEZkeDBVS0l4LURod1BFUldHSU54VGpyRHVKVF82cnhuVVFDMW40Ykh1YW9qTVE5emZzRmxiNlJhbXFKNkQ1ZDBsYkk5UmRsSm5EZ29CaUdPc1FocTMxOVpfSVItM3I5TnA2eGvSAdcBQVVfeXFMTnVBNllxZ3FDUmZnQ0Q2Z0UxX0stOUVldlpNc2JMU2s4SXN6XzdPV1A0aU40NGpzclNwWFZSdk42SGl4SFZRY05KV2xkTFBPRnNzaEJBOFpYZThKX1l1ajhtSjhBNElZbGRHZE45ODlfSU9rWnE2VElGTVhfTFhmQlc1aE1TM01ETXJ5N2dNeTlQTmJYUmJwZ2pHa2NuQW9MUUwzd04xdmRhX2thUDBmMmZvTW1oTXlWczlHa1hoemZINHYzUkV2b3NJbHJLdkxCaHU1MmtRVTA?oc=5"" target=""_blank"">School Assembly News Headlines (Sept 08): Top National, World, Business, Sports, And Education Updates</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV</font>"
"Star Sports teases 'No. 18 returns' to dominate the Aussies, but it may not be Virat Kohli after all | Cricket - Hindustan Times",https://news.google.com/rss/articles/CBMi7AFBVV95cUxOWWZJcy0tM3I1NzU4dkhyV2NwQ1ZLd2lHM21rVzhrWFVreUpKZVZmNUljRzM1VGFlNXZkTHkxLWNrMFVOYm4xMEZUT3RsUU41RnJ5S0xGUVdNSDBlYzViSEZxVnRRbnFHOTdESVV4X09Fek9EdzBNQUt4TnB5QnBLYVZoMktQR2VKM2t1ejhaeE10VnRqOTJYRUl3S3pNYlZZTEUxaDlxZGdlVjRfblNJX2hrSkE3amRRcEJrQ0lKMmlBSWlwejBFekpyeGJpTmNILWFjM21PaFJvX09MRmM0SnBjV3pmZ2hPcE9lR9IB8gFBVV95cUxQTlgxNmN1WGNwcDJ3b0JhLWdKRnpBNGVWaEFIYVlIaGNtaWR3NEIxY2V4NzR4VmtvTlJXRnpZMzJSZURrLUJQNDRJNnN1ZFFwRDEtQXloRmV6VG03X0JDc3pZeE5jTzVxSHBmTDhXYXAyMEFJYzVSMkNwcEduN1o4cEdTOWZ2Z0kzZnJjTHo0QURQM3FBa09CVlYtMjQ2MktZckxYeGZZWTJZMmhTd0w3V3lxQzA1X0xBeDhtWnFBNGRrenYxZGRHWHBYQnVWd2tDSEdRclROY2p2SXdJY2hrUVlZU3UtX1F6VFJMZWxQci1CUQ?oc=5,"Mon, 08 Sep 2025 06:35:45 GMT","<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxOWWZJcy0tM3I1NzU4dkhyV2NwQ1ZLd2lHM21rVzhrWFVreUpKZVZmNUljRzM1VGFlNXZkTHkxLWNrMFVOYm4xMEZUT3RsUU41RnJ5S0xGUVdNSDBlYzViSEZxVnRRbnFHOTdESVV4X09Fek9EdzBNQUt4TnB5QnBLYVZoMktQR2VKM2t1ejhaeE10VnRqOTJYRUl3S3pNYlZZTEUxaDlxZGdlVjRfblNJX2hrSkE3amRRcEJrQ0lKMmlBSWlwejBFekpyeGJpTmNILWFjM21PaFJvX09MRmM0SnBjV3pmZ2hPcE9lR9IB8gFBVV95cUxQTlgxNmN1WGNwcDJ3b0JhLWdKRnpBNGVWaEFIYVlIaGNtaWR3NEIxY2V4NzR4VmtvTlJXRnpZMzJSZURrLUJQNDRJNnN1ZFFwRDEtQXloRmV6VG03X0JDc3pZeE5jTzVxSHBmTDhXYXAyMEFJYzVSMkNwcEduN1o4cEdTOWZ2Z0kzZnJjTHo0QURQM3FBa09CVlYtMjQ2MktZckxYeGZZWTJZMmhTd0w3V3lxQzA1X0xBeDhtWnFBNGRrenYxZGRHWHBYQnVWd2tDSEdRclROY2p2SXdJY2hrUVlZU3UtX1F6VFJMZWxQci1CUQ?oc=5"" target=""_blank"">Star Sports teases 'No. 18 returns' to dominate the Aussies, but it may not be Virat Kohli after all | Cricket</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>"
"India beat Singapore 12-0 to top Pool B at Asia Cup hockey (W); Archery and Boxing World Championships continue: Indian Sports Live, Sep 08 - ESPN India",https://news.google.com/rss/articles/CBMi3gFBVV95cUxPY2pDNUVJYXUwV2hLc2RnZXZSWDk2MUFyNEwzWjZSMktpM25oWm5oSk5zR0c5Zmt3V2ZRSG4zdkp4V2l2bm1Jc0duRjhWMG5JdkFGNTVETk9ZWXE4SWJqb0UzYkNlZUQxM2RHS0R1U1YzTVBMODFOQUV3SWpZOURCbDVGZjhiOW5BNEdRVHI2WnF3dmwyVnM2bVVZbGN0VVpCUFJNQzVkUzNrODE2NG9BUmpiek53dmM2d2g3UWdZR29nYk5sa1Z4OUJycHoyN1cxQUVxOW1pekhjTEF2V0E?oc=5,"Mon, 08 Sep 2025 02:50:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxPY2pDNUVJYXUwV2hLc2RnZXZSWDk2MUFyNEwzWjZSMktpM25oWm5oSk5zR0c5Zmt3V2ZRSG4zdkp4V2l2bm1Jc0duRjhWMG5JdkFGNTVETk9ZWXE4SWJqb0UzYkNlZUQxM2RHS0R1U1YzTVBMODFOQUV3SWpZOURCbDVGZjhiOW5BNEdRVHI2WnF3dmwyVnM2bVVZbGN0VVpCUFJNQzVkUzNrODE2NG9BUmpiek53dmM2d2g3UWdZR29nYk5sa1Z4OUJycHoyN1cxQUVxOW1pekhjTEF2V0E?oc=5"" target=""_blank"">India beat Singapore 12-0 to top Pool B at Asia Cup hockey (W); Archery and Boxing World Championships continue: Indian Sports Live, Sep 08</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ESPN India</font>"
Indian schools need to play big part in country's sporting revolution: Vishal TK - India Today,https://news.google.com/rss/articles/CBMiwwFBVV95cUxPdkxwNGxpQS10U19OYlRWY0hBSUFRSWV3MnI3SXdtWVBUa3ZhZmxXM0NrQ3pCNFhoVHJtbUFBalpmcGdvTzh1dEN2OFBKbVdZV3RjUXdUc0VoMzBPV21SbHhxcTFfTDBPNGI2RE9GcTF3cHN5SU1XeG16SmoyT003elJibVlKckxndDRQUXV6Nmppa3BJN2g1Ym1xWWhiNTgzZHFsVWk4RXVONEQ5X0IyaEpTNGZ6TUhFczNuWFAtN1lsbkHSAcgBQVVfeXFMUG4xVm82eHZNYjhZdGJjUmJnbTNUUFZJSXprNi1ETEFJOF9Ubzl3SGQtMlI2TEIzTHVJQ0FoS0lPckxQLXpiemVPX3BieGtqM040ZWUtc3N5LTVjTFFBOUx4YXNneGI4N1Fzd01JbnpxblgwdkMtSjZSUTdaSzZQZ3NldXUyWnVZc3JBb1BiajVUQ2dWLTJQaE9VYVJsWXlNNkpFOGRSZ1BmazF4OHY3dThObnJGXzFkckhLOEo1b0pCam5oa0lpc2k?oc=5,"Mon, 08 Sep 2025 10:35:16 GMT","<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxPdkxwNGxpQS10U19OYlRWY0hBSUFRSWV3MnI3SXdtWVBUa3ZhZmxXM0NrQ3pCNFhoVHJtbUFBalpmcGdvTzh1dEN2OFBKbVdZV3RjUXdUc0VoMzBPV21SbHhxcTFfTDBPNGI2RE9GcTF3cHN5SU1XeG16SmoyT003elJibVlKckxndDRQUXV6Nmppa3BJN2g1Ym1xWWhiNTgzZHFsVWk4RXVONEQ5X0IyaEpTNGZ6TUhFczNuWFAtN1lsbkHSAcgBQVVfeXFMUG4xVm82eHZNYjhZdGJjUmJnbTNUUFZJSXprNi1ETEFJOF9Ubzl3SGQtMlI2TEIzTHVJQ0FoS0lPckxQLXpiemVPX3BieGtqM040ZWUtc3N5LTVjTFFBOUx4YXNneGI4N1Fzd01JbnpxblgwdkMtSjZSUTdaSzZQZ3NldXUyWnVZc3JBb1BiajVUQ2dWLTJQaE9VYVJsWXlNNkpFOGRSZ1BmazF4OHY3dThObnJGXzFkckhLOEo1b0pCam5oa0lpc2k?oc=5"" target=""_blank"">Indian schools need to play big part in country's sporting revolution: Vishal TK</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font>"
Shivam Lohakare Smashes Neeraj Chopra's Javelin Throw Record; Olympian Lauds Youngster - News18,https://news.google.com/rss/articles/CBMizAFBVV95cUxNM3QzWUZCU0NUY0FyY3RRdTVDZkJwV25WUVFCMzJjaUJKZGtHRm8wd1BGZHdFT3k4STZGczNQeVc4T1RWU2w2ZFR2bmlXUXNuMlhqUktuUEJDM1RyRmkyQWNUTXhQZHRlZllIZHVkZ2FmWEF2c1NzTFBsZmFTNmh6VkN5dTJtSHU2czAwTzJIcm14bUVLTjl3eHBObnZtWVNPTEVfTTVVZFMyRzJPT0FNVG54VzVRWkhLczh4WDE3cjhVN0NqRGhCVW5tYkXSAdIBQVVfeXFMT25yaW0tazd1aEo3dzlLSTEtMllINXRFNEo2R09YN0tWbi1CeEk1SEx6ZXJNU3ljc3RSeWF1UlZLdEQ3SVRpSzZsT01yc1QxOUlwbUhYa2I4T1R6cEZ5ZE50a0ZTY2dSNEpFSi1zLUVBbWxvUnVZWEdyWHpaUjVDejd0OGZZaGE1blIyYzhScHlMbjRnbnlHaFpTT05feDJvNnhCYzlCRFhQVEltWURfdkpJYmZoRG92d04yS3lIX2dsZC1fZjBVNFdnV0RqandhTTln?oc=5,"Mon, 08 Sep 2025 10:20:17 GMT","<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxNM3QzWUZCU0NUY0FyY3RRdTVDZkJwV25WUVFCMzJjaUJKZGtHRm8wd1BGZHdFT3k4STZGczNQeVc4T1RWU2w2ZFR2bmlXUXNuMlhqUktuUEJDM1RyRmkyQWNUTXhQZHRlZllIZHVkZ2FmWEF2c1NzTFBsZmFTNmh6VkN5dTJtSHU2czAwTzJIcm14bUVLTjl3eHBObnZtWVNPTEVfTTVVZFMyRzJPT0FNVG54VzVRWkhLczh4WDE3cjhVN0NqRGhCVW5tYkXSAdIBQVVfeXFMT25yaW0tazd1aEo3dzlLSTEtMllINXRFNEo2R09YN0tWbi1CeEk1SEx6ZXJNU3ljc3RSeWF1UlZLdEQ3SVRpSzZsT01yc1QxOUlwbUhYa2I4T1R6cEZ5ZE50a0ZTY2dSNEpFSi1zLUVBbWxvUnVZWEdyWHpaUjVDejd0OGZZaGE1blIyYzhScHlMbjRnbnlHaFpTT05feDJvNnhCYzlCRFhQVEltWURfdkpJYmZoRG92d04yS3lIX2dsZC1fZjBVNFdnV0RqandhTTln?oc=5"" target=""_blank"">Shivam Lohakare Smashes Neeraj Chopra's Javelin Throw Record; Olympian Lauds Youngster</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18</font>"
Xinhua sports photos of the week - Xinhua,https://news.google.com/rss/articles/CBMie0FVX3lxTE1FcThrZE4wS2JoQXRHcmVQcFd1VVN4WnJyd2NReUhnNWVYdTI5bVRSUWp2NGZPeXZkOFdhcWVvOE94Vm9SS21BTGVvY2JMSTItdDJCeEZCNFB0dVFTZEdtLU4wcGl0eHo1RTBiaWNxUDVMVE1SZkZqd3ZXaw?oc=5,"Mon, 08 Sep 2025 11:48:16 GMT","<a href=""https://news.google.com/rss/articles/CBMie0FVX3lxTE1FcThrZE4wS2JoQXRHcmVQcFd1VVN4WnJyd2NReUhnNWVYdTI5bVRSUWp2NGZPeXZkOFdhcWVvOE94Vm9SS21BTGVvY2JMSTItdDJCeEZCNFB0dVFTZEdtLU4wcGl0eHo1RTBiaWNxUDVMVE1SZkZqd3ZXaw?oc=5"" target=""_blank"">Xinhua sports photos of the week</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Xinhua</font>"
