title,link,published,summary
"Dow surges 2,900 points, S&P 500 posts biggest gain since 2008 on Trump tariff reversal: Live updates - CNBC",https://news.google.com/rss/articles/CBMieEFVX3lxTFBYV052V2lLMlpaLWtOS0dmdVZ3Q0N5eTBTOWJsUmtFZnRoQ0ZrcnB3TmQtaUt0RW85OGxYR2Y4bHN1OWt1STVTcnl1T1I2cmt0UzVjWXJHd0tVN2tZQlNBX0FLNUNBdGphVy1NYkdHVF9hRDZwWTlBdtIBfkFVX3lxTE9ySHNPTFRQMmthTVlJakw5ME5JYjlfWndHUmpjSC1nWDJvSVdxeml0b1FMYnBBOC01OXl1QVBwZHNxR1FOVUl4bnBWQW5aSktuQk5NQkZCa3NIV2NEbzFpZy0wWHpJVjI4aFo1NWVBU0c2c29mUGE5U0lCbHBDQQ?oc=5,"Tue, 08 Apr 2025 22:08:32 GMT","<a href=""https://news.google.com/rss/articles/CBMieEFVX3lxTFBYV052V2lLMlpaLWtOS0dmdVZ3Q0N5eTBTOWJsUmtFZnRoQ0ZrcnB3TmQtaUt0RW85OGxYR2Y4bHN1OWt1STVTcnl1T1I2cmt0UzVjWXJHd0tVN2tZQlNBX0FLNUNBdGphVy1NYkdHVF9hRDZwWTlBdtIBfkFVX3lxTE9ySHNPTFRQMmthTVlJakw5ME5JYjlfWndHUmpjSC1nWDJvSVdxeml0b1FMYnBBOC01OXl1QVBwZHNxR1FOVUl4bnBWQW5aSktuQk5NQkZCa3NIV2NEbzFpZy0wWHpJVjI4aFo1NWVBU0c2c29mUGE5U0lCbHBDQQ?oc=5"" target=""_blank"">Dow surges 2,900 points, S&amp;P 500 posts biggest gain since 2008 on Trump tariff reversal: Live updates</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC</font>"
"Dow surges over 1000 points as US, China agree to temporary tariff cuts - Highlights - Market News - financialexpress.com",https://news.google.com/rss/articles/CBMilAJBVV95cUxNSlM1UjdiV1d4NktkSFM2VG9IdVpVYlFKLWpEbFhLX2tzRndFaVJmSzVmSnhGZWIzaHRBc282bFR6SW9hUFdEaElHdlJaN2NEUDJia3VET2Q3Q3RodVRnQWljeF9YTjNaWXN6X0cyYmxBRkdMdWR0MlluMlNBY1ViV19VdC10S2c3cWVKdEJkR3k3dWJGdFFOWk53RTBaRDFqaTljcGlrdnVBT1lPZDR3VzFaWC1ZeXNkcUF0WjZ5VWJXWFNJR1dmM1FqR0EtM1k0OXdiVDc1ZHg4SDBiUGw3NFlybEE4ek8xOGY4NnhkZFZ0aGNXZ0J4REwyb1RXcFlySk5yVlhjVWktanZxTk9GRXRqRHU?oc=5,"Mon, 12 May 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMilAJBVV95cUxNSlM1UjdiV1d4NktkSFM2VG9IdVpVYlFKLWpEbFhLX2tzRndFaVJmSzVmSnhGZWIzaHRBc282bFR6SW9hUFdEaElHdlJaN2NEUDJia3VET2Q3Q3RodVRnQWljeF9YTjNaWXN6X0cyYmxBRkdMdWR0MlluMlNBY1ViV19VdC10S2c3cWVKdEJkR3k3dWJGdFFOWk53RTBaRDFqaTljcGlrdnVBT1lPZDR3VzFaWC1ZeXNkcUF0WjZ5VWJXWFNJR1dmM1FqR0EtM1k0OXdiVDc1ZHg4SDBiUGw3NFlybEE4ek8xOGY4NnhkZFZ0aGNXZ0J4REwyb1RXcFlySk5yVlhjVWktanZxTk9GRXRqRHU?oc=5"" target=""_blank"">Dow surges over 1000 points as US, China agree to temporary tariff cuts - Highlights - Market News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">financialexpress.com</font>"
Sensex tanks over 600 points: 3 reasons why stock market is falling today - India Today,https://news.google.com/rss/articles/CBMiggJBVV95cUxOak5TQ0xjS203WjgyOVhXaTYwdlhDa0hIWUt5VXowY0QxckttQjRvbm5wY0hoOVU0cWNwNUdEeko5djlVVEloc0tZOFNaT0hWU0NwcWVfVF9jT3h0THJaVkl5V1lEdDM3LWNNTVVKLWxLOUZoYzJxNFgyN2VhNnlybmM2QnBiTHFhNzBUQ3FlM24xaVM5M0NYQVprOWJHdjRyZW1qb3dZdTNabFlBaFNBUkFzR0hOMkFyOF9XQ2VpVGtwSG1QY3pvUGREbkNfNE9xcnI2c1JHaXF0REgydjZNYkZ4MmJ1aFVPNk1rRHVDODNES3ZTMzI4TUJ5VDdNZ0FoN1HSAYcCQVVfeXFMTXdLSlhuRmdoTkI0cWNUdmZRTWE5OUc1eUNxQWo3Qm5rRHRMeHNRVFhwbWZRZW5iNDVSZjhPSGFUckYyZ1FxX0xtV3kwU193X0VWdGxuVkw4SXp1Z25QZGJsV1pRaTVwSzZxVWpORW94NUY0SmozeEdYMElQU19GVVBCYUlJTXdUZUtlcER0aTkxQUR3TE9vbGJJQ2pjTm9hZVk4YjN5SDc2YlhfcDhvR3ZzSzN4dzNBMXhZVDVOLU95OGV1NlhLdFM5YUEtVjQxa2dtam5NMkhZMzFueWdfTVpqelY4Z1V0SFdseEJvV3JVTy11N2dxdnNoSFdvaG5QOWx2cDgwNDg?oc=5,"Mon, 10 Feb 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiggJBVV95cUxOak5TQ0xjS203WjgyOVhXaTYwdlhDa0hIWUt5VXowY0QxckttQjRvbm5wY0hoOVU0cWNwNUdEeko5djlVVEloc0tZOFNaT0hWU0NwcWVfVF9jT3h0THJaVkl5V1lEdDM3LWNNTVVKLWxLOUZoYzJxNFgyN2VhNnlybmM2QnBiTHFhNzBUQ3FlM24xaVM5M0NYQVprOWJHdjRyZW1qb3dZdTNabFlBaFNBUkFzR0hOMkFyOF9XQ2VpVGtwSG1QY3pvUGREbkNfNE9xcnI2c1JHaXF0REgydjZNYkZ4MmJ1aFVPNk1rRHVDODNES3ZTMzI4TUJ5VDdNZ0FoN1HSAYcCQVVfeXFMTXdLSlhuRmdoTkI0cWNUdmZRTWE5OUc1eUNxQWo3Qm5rRHRMeHNRVFhwbWZRZW5iNDVSZjhPSGFUckYyZ1FxX0xtV3kwU193X0VWdGxuVkw4SXp1Z25QZGJsV1pRaTVwSzZxVWpORW94NUY0SmozeEdYMElQU19GVVBCYUlJTXdUZUtlcER0aTkxQUR3TE9vbGJJQ2pjTm9hZVk4YjN5SDc2YlhfcDhvR3ZzSzN4dzNBMXhZVDVOLU95OGV1NlhLdFM5YUEtVjQxa2dtam5NMkhZMzFueWdfTVpqelY4Z1V0SFdseEJvV3JVTy11N2dxdnNoSFdvaG5QOWx2cDgwNDg?oc=5"" target=""_blank"">Sensex tanks over 600 points: 3 reasons why stock market is falling today</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font>"
Alphabet and AI stocks nudge Wall Street to more records - LancasterOnline,https://news.google.com/rss/articles/CBMi7AFBVV95cUxNaGFnV3dFVkMxb0tHbE9OemJfWDFaYXBBb2hTYmxuU0lrZzU1bFp2SXBaTGQzcm5wR1EwaWY3MzRCUFc0dHpCbWlsdWROUXVTZ1VsUWxYcEdndllEa3ZrbXpEQ0dyZGtNRlZQckZ6ZWI0Zm5jRWZ3bE5Jd0RjdXJVZXJMTEN0ZDgwR3ptODE4bFFzX1Z5cl8wQW5QRlFwTjU3bWZtNnc1NnlndFFFV2pqdHJDaldxNXFGMm5ST242LXhDQnBKSFU3eTBGSHA3cEh1bVB2TGxTdFAzX3FVMFhQNndhM3Mzbl9QZGhfQw?oc=5,"Thu, 24 Jul 2025 20:24:33 GMT","<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxNaGFnV3dFVkMxb0tHbE9OemJfWDFaYXBBb2hTYmxuU0lrZzU1bFp2SXBaTGQzcm5wR1EwaWY3MzRCUFc0dHpCbWlsdWROUXVTZ1VsUWxYcEdndllEa3ZrbXpEQ0dyZGtNRlZQckZ6ZWI0Zm5jRWZ3bE5Jd0RjdXJVZXJMTEN0ZDgwR3ptODE4bFFzX1Z5cl8wQW5QRlFwTjU3bWZtNnc1NnlndFFFV2pqdHJDaldxNXFGMm5ST242LXhDQnBKSFU3eTBGSHA3cEh1bVB2TGxTdFAzX3FVMFhQNndhM3Mzbl9QZGhfQw?oc=5"" target=""_blank"">Alphabet and AI stocks nudge Wall Street to more records</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LancasterOnline</font>"
US stocks coast toward the finish of a record-setting week - LancasterOnline,https://news.google.com/rss/articles/CBMimgJBVV95cUxPUUlRcElvZ0YwQlFxS3pfcExhak1oQ3M0U3dyY2pxa2g0ZkY0VU96anpGSUdwSGpreDVxQkZFV2hYUmk3bDFwTmZhTHlGQldSaXhpN2gzSTVSTExFUC1yNHlnZ1ZwOHROazk3c0ctcjFKTUZtS1pfMy0yR2tHUFh6X29mcF93SG93elNMWDBzVkpMQmozek5zam8tT2pFaURTdndwZWRmYzRYbVpZSC1id255dW03aGdzVUhCd0JFandSb28tRURMckRldzE5TUhsVkZFX1pKVW1uR2hTb3hrcE1vLWN5Y1Z4b2xscDJQd1Rib0ltZGVwSG53SkFOOW9XVDJ5cElvMGtWNkdKNXRlM29oeXp3MmxpZkE?oc=5,"Fri, 25 Jul 2025 12:57:11 GMT","<a href=""https://news.google.com/rss/articles/CBMimgJBVV95cUxPUUlRcElvZ0YwQlFxS3pfcExhak1oQ3M0U3dyY2pxa2g0ZkY0VU96anpGSUdwSGpreDVxQkZFV2hYUmk3bDFwTmZhTHlGQldSaXhpN2gzSTVSTExFUC1yNHlnZ1ZwOHROazk3c0ctcjFKTUZtS1pfMy0yR2tHUFh6X29mcF93SG93elNMWDBzVkpMQmozek5zam8tT2pFaURTdndwZWRmYzRYbVpZSC1id255dW03aGdzVUhCd0JFandSb28tRURMckRldzE5TUhsVkZFX1pKVW1uR2hTb3hrcE1vLWN5Y1Z4b2xscDJQd1Rib0ltZGVwSG53SkFOOW9XVDJ5cElvMGtWNkdKNXRlM29oeXp3MmxpZkE?oc=5"" target=""_blank"">US stocks coast toward the finish of a record-setting week</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LancasterOnline</font>"
"Share Market Highlights: Markets end at record highs! Nifty near 25,400, Sensex gains over 1400 points; Auto and Media shines - financialexpress.com",https://news.google.com/rss/articles/CBMiygFBVV95cUxOUHBqdEZDT1o2SzRjcDFCejBSZ1JDRFpMSkdzTVk4Y2dPLVJjTkRiNjJRODY3My1KYXFJSy1BeFJUaWxWOVprNUZVZEZhQ2l1VGNLM2FIZ2FSQTJrRXlhSTQ5MWVRUHhoeFJCMVE3U0FaMWNjTnRRVXhvSmhCR0dneE5tdS1xS3E5dmhhU0hZLU9JYWtXRTZFbVBsc05KMFQySjFsZDc0WXJZM3UydTB3QmRKVzlhM25pYWludUFBUGk1TmtlQmVXV0dR?oc=5,"Thu, 12 Sep 2024 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxOUHBqdEZDT1o2SzRjcDFCejBSZ1JDRFpMSkdzTVk4Y2dPLVJjTkRiNjJRODY3My1KYXFJSy1BeFJUaWxWOVprNUZVZEZhQ2l1VGNLM2FIZ2FSQTJrRXlhSTQ5MWVRUHhoeFJCMVE3U0FaMWNjTnRRVXhvSmhCR0dneE5tdS1xS3E5dmhhU0hZLU9JYWtXRTZFbVBsc05KMFQySjFsZDc0WXJZM3UydTB3QmRKVzlhM25pYWludUFBUGk1TmtlQmVXV0dR?oc=5"" target=""_blank"">Share Market Highlights: Markets end at record highs! Nifty near 25,400, Sensex gains over 1400 points; Auto and Media shines</a>&nbsp;&nbsp;<font color=""#6f6f6f"">financialexpress.com</font>"
Wall Street hovers near records in premarket trading as attention turns to next week's busy schedule - LancasterOnline,https://news.google.com/rss/articles/CBMikAJBVV95cUxOeDlJY2tKd1JTeU9oeGpDU092LUExV0NpRWwzYzdDLXVaRVlQQ0pwanU3Yi1uOWxmZG0tTTBFQ1dfTWFsUlktM2hwOTNWOXBPRkE4N2tGelNCeVdTMFV6Nk13ZnB5YkRyVFV4cTFQMWlsSzJ4MzItVHljZHdzRHEwQ3lHdVpDUF84NGZWQlNXeHRkYmdDWHFZQWQtRExGc25hamplOUJpeExXZG5BblZYeDFrekczT1cxeUJ1ZXZ0VDlzYWhGc0tRUDA1bF85bU51Rk9tb25ZQVlZQkVEbGhXOERnRi1ncy1pQ21uMGk1WWFuaFJrZmU2WWp1X01sMVlrR0xVV3Fqb3NwUno0eWVxTw?oc=5,"Fri, 25 Jul 2025 06:35:48 GMT","<a href=""https://news.google.com/rss/articles/CBMikAJBVV95cUxOeDlJY2tKd1JTeU9oeGpDU092LUExV0NpRWwzYzdDLXVaRVlQQ0pwanU3Yi1uOWxmZG0tTTBFQ1dfTWFsUlktM2hwOTNWOXBPRkE4N2tGelNCeVdTMFV6Nk13ZnB5YkRyVFV4cTFQMWlsSzJ4MzItVHljZHdzRHEwQ3lHdVpDUF84NGZWQlNXeHRkYmdDWHFZQWQtRExGc25hamplOUJpeExXZG5BblZYeDFrekczT1cxeUJ1ZXZ0VDlzYWhGc0tRUDA1bF85bU51Rk9tb25ZQVlZQkVEbGhXOERnRi1ncy1pQ21uMGk1WWFuaFJrZmU2WWp1X01sMVlrR0xVV3Fqb3NwUno0eWVxTw?oc=5"" target=""_blank"">Wall Street hovers near records in premarket trading as attention turns to next week's busy schedule</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LancasterOnline</font>"
Wall Street's winning week ends with more records for US stocks - LancasterOnline,https://news.google.com/rss/articles/CBMi9AFBVV95cUxPb2VkSl9tTWhacVN0SHNvYmdsNHFNeXNIVzVwTGg3Q2pUNm54WFQxcVBITnhqeXpJeHhmNlp2T3ZPWHdSOXY4NTBCTDdUZWlyQVlQNlViYjM5SU0xMmtBTU5YNkI2Qk1pOGtEbzl6WHM3UFkwN083ekVPOHcxaEhTX1JOSl9Na2NCSWtsYnR2aFNTcTMzR0dndGg0NERKN3JNV0pPS2N1ZUs0TVI2N2tJUzc5YTB0czQ0Qk94X0FjcUpVSDNaYk5Fa3Naa2lTcDJxdk8wQ3RqeVFKY2F3bk9tclR3R2hUdkVBSGMxYnNrelREa3RH?oc=5,"Fri, 25 Jul 2025 20:25:49 GMT","<a href=""https://news.google.com/rss/articles/CBMi9AFBVV95cUxPb2VkSl9tTWhacVN0SHNvYmdsNHFNeXNIVzVwTGg3Q2pUNm54WFQxcVBITnhqeXpJeHhmNlp2T3ZPWHdSOXY4NTBCTDdUZWlyQVlQNlViYjM5SU0xMmtBTU5YNkI2Qk1pOGtEbzl6WHM3UFkwN083ekVPOHcxaEhTX1JOSl9Na2NCSWtsYnR2aFNTcTMzR0dndGg0NERKN3JNV0pPS2N1ZUs0TVI2N2tJUzc5YTB0czQ0Qk94X0FjcUpVSDNaYk5Fa3Naa2lTcDJxdk8wQ3RqeVFKY2F3bk9tclR3R2hUdkVBSGMxYnNrelREa3RH?oc=5"" target=""_blank"">Wall Street's winning week ends with more records for US stocks</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LancasterOnline</font>"
US stocks tick toward another record following a US-Japan trade deal - LancasterOnline,https://news.google.com/rss/articles/CBMi_wFBVV95cUxNRFE2ak5NaWdIUkVZejlhakJsZkV1X0VYUEVuaU9uUUozMmlFd0NJRU5pRFVIeFptdFVqVlpFdUZscmFjbzRlLVZJWnJ6QlRveVZYMXI5cHQ5MVdNV0ZNanRnZmREX2ZmUEl0MGRBUUlLYXl6VmJnVDlxZnZIWGdseXlPbEtuTUlqekRtcldoQ2ZhcU9ZSDByWlZIT1BBc0UwSndMLUdGT2s5eG5pc21YSUpzRFBTRFlna3JNWlFvX054a09FMWFMVHdQVmxKMUVkbGQtS2hlWGhZUVFUU1hJY2ZlNkVTVzZEdEtZcGhSM2JvY0p2ZDg4YXhfMUI1VTg?oc=5,"Wed, 23 Jul 2025 13:01:49 GMT","<a href=""https://news.google.com/rss/articles/CBMi_wFBVV95cUxNRFE2ak5NaWdIUkVZejlhakJsZkV1X0VYUEVuaU9uUUozMmlFd0NJRU5pRFVIeFptdFVqVlpFdUZscmFjbzRlLVZJWnJ6QlRveVZYMXI5cHQ5MVdNV0ZNanRnZmREX2ZmUEl0MGRBUUlLYXl6VmJnVDlxZnZIWGdseXlPbEtuTUlqekRtcldoQ2ZhcU9ZSDByWlZIT1BBc0UwSndMLUdGT2s5eG5pc21YSUpzRFBTRFlna3JNWlFvX054a09FMWFMVHdQVmxKMUVkbGQtS2hlWGhZUVFUU1hJY2ZlNkVTVzZEdEtZcGhSM2JvY0p2ZDg4YXhfMUI1VTg?oc=5"" target=""_blank"">US stocks tick toward another record following a US-Japan trade deal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LancasterOnline</font>"
US stocks hit more records following US-Japan trade deal - LancasterOnline,https://news.google.com/rss/articles/CBMi7AFBVV95cUxOV3YxU3B4YjlxS0xhcVFsajlzWEQtWFFRT0dVX3VFUnNpNUxnZmVHOEpGQ2NEdjNCRlRINWgwQTR6TFpuSmpqMnYxZUR5S1Y4YXFrQVJkeVlhLUcyMi15T3BOQjRGQldySHc3WFozRWxDUklhYThMY2k1ZEdNRkFmTXhtYVZ3TzVNRGlVT2dOb0xfTkVQbmRFRFpFQU9tTHQxdDh5VFhweWRiOGhTX3pVcmRmbzFzaUd4Rjk5WXhqRGI2cm42dU1Fbk9SVnh1UEh6VlF3cmFBSXNNMjFncTlzcHlLU1BXRU9UY1JaQQ?oc=5,"Wed, 23 Jul 2025 20:26:15 GMT","<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxOV3YxU3B4YjlxS0xhcVFsajlzWEQtWFFRT0dVX3VFUnNpNUxnZmVHOEpGQ2NEdjNCRlRINWgwQTR6TFpuSmpqMnYxZUR5S1Y4YXFrQVJkeVlhLUcyMi15T3BOQjRGQldySHc3WFozRWxDUklhYThMY2k1ZEdNRkFmTXhtYVZ3TzVNRGlVT2dOb0xfTkVQbmRFRFpFQU9tTHQxdDh5VFhweWRiOGhTX3pVcmRmbzFzaUd4Rjk5WXhqRGI2cm42dU1Fbk9SVnh1UEh6VlF3cmFBSXNNMjFncTlzcHlLU1BXRU9UY1JaQQ?oc=5"" target=""_blank"">US stocks hit more records following US-Japan trade deal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LancasterOnline</font>"
