title,link,published,summary
‘Godfather of AI’ says the technology will create massive unemployment and send profits soaring — ‘that is the capitalist system’ - yahoo.com,https://news.google.com/rss/articles/CBMijwFBVV95cUxNTVRYQ0JnbW5fMVpQWFpjYlFrTmh0UFlYTlZfUTNKc0R6TE5xSGJQeTQwLVRpTE5Zb0RQXzBiQm1DWnFDQjJiVzBhWkNWSmFjTWVWMEJlMGtFbGhSbGlaeXBObGRoT1dPazk4b2NFNUdBUTBkZW9HSHI0NHQ1UzlpU1FNbVdFazVnaEJxQUducw?oc=5,"Sat, 06 Sep 2025 19:27:40 GMT","<a href=""https://news.google.com/rss/articles/CBMijwFBVV95cUxNTVRYQ0JnbW5fMVpQWFpjYlFrTmh0UFlYTlZfUTNKc0R6TE5xSGJQeTQwLVRpTE5Zb0RQXzBiQm1DWnFDQjJiVzBhWkNWSmFjTWVWMEJlMGtFbGhSbGlaeXBObGRoT1dPazk4b2NFNUdBUTBkZW9HSHI0NHQ1UzlpU1FNbVdFazVnaEJxQUducw?oc=5"" target=""_blank"">‘Godfather of AI’ says the technology will create massive unemployment and send profits soaring — ‘that is the capitalist system’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">yahoo.com</font>"
Tesla makes a 'quite change' in definition of its key technology after Elon Musk's $1 trillion pay packag - The Times of India,https://news.google.com/rss/articles/CBMikwJBVV95cUxORWdBaFVGMU1aejNLNmU3a3oza0o3QjBqVVludWxlN2pCNUVtcVJEX0hxT2V0MnpySm96QTctazR6N2c2VUoyNXNqaGIzVzNPUXhMWEV0Wk1WNXl3bG5BWkJBZlp5ejdmV210VjlXYzYyYVY3M0pma3hha1REQlRLX2dyclk5alRrUDI3bkZ6bzZTQUdCaF82SlY4NmFVRmUySmR5MFpoRDhoRkU4ZDFURHBiT2tkOHFaYWZaMHoyS25oZm1DVVFEOGlRTXd6V3NONkw0blZJUU5PUjN1ZzlfODVvMEdNd0tIbjRtQmRlT0pvX2F6dE5VTVFVYV9Kbml5MS0xLU5KQkx3ZDhYdUVKUDN3TdIBmAJBVV95cUxNb2lGRXZFX1hvZWJPeTNZWi1MUkZ0ZXFmUmFTNmI0N1N1U0ppVUVjajlHRVg4QWtBd1EyMVJjb2c0cVRCc184Y2p3TEUtNWdjazRyMmVUdGZJTHh3SnZKWlFXNGZQeVlQRGpQVnlJWVJxUHllUm5mczBXdWZTcVFkNWhWVmpvVHpKcGt0dHJJbk5jM1VITUdPaVY1LWFDcmluRWExa0dueHlzZEo1Vmk0Um5Zdkt0bExXa2ZpcDdxcXNoZTNyczBHMnNrdWZBcmxuVG5YU3BBcVNUNmFwNjZac01lMXNhYm1TNjVSZDIxTFVQT1NMX29MTG41NUo2MTJjWlpyR01SYXZoSjVTaWl4a3B4U2ZIVHk3?oc=5,"Mon, 08 Sep 2025 10:31:00 GMT","<a href=""https://news.google.com/rss/articles/CBMikwJBVV95cUxORWdBaFVGMU1aejNLNmU3a3oza0o3QjBqVVludWxlN2pCNUVtcVJEX0hxT2V0MnpySm96QTctazR6N2c2VUoyNXNqaGIzVzNPUXhMWEV0Wk1WNXl3bG5BWkJBZlp5ejdmV210VjlXYzYyYVY3M0pma3hha1REQlRLX2dyclk5alRrUDI3bkZ6bzZTQUdCaF82SlY4NmFVRmUySmR5MFpoRDhoRkU4ZDFURHBiT2tkOHFaYWZaMHoyS25oZm1DVVFEOGlRTXd6V3NONkw0blZJUU5PUjN1ZzlfODVvMEdNd0tIbjRtQmRlT0pvX2F6dE5VTVFVYV9Kbml5MS0xLU5KQkx3ZDhYdUVKUDN3TdIBmAJBVV95cUxNb2lGRXZFX1hvZWJPeTNZWi1MUkZ0ZXFmUmFTNmI0N1N1U0ppVUVjajlHRVg4QWtBd1EyMVJjb2c0cVRCc184Y2p3TEUtNWdjazRyMmVUdGZJTHh3SnZKWlFXNGZQeVlQRGpQVnlJWVJxUHllUm5mczBXdWZTcVFkNWhWVmpvVHpKcGt0dHJJbk5jM1VITUdPaVY1LWFDcmluRWExa0dueHlzZEo1Vmk0Um5Zdkt0bExXa2ZpcDdxcXNoZTNyczBHMnNrdWZBcmxuVG5YU3BBcVNUNmFwNjZac01lMXNhYm1TNjVSZDIxTFVQT1NMX29MTG41NUo2MTJjWlpyR01SYXZoSjVTaWl4a3B4U2ZIVHk3?oc=5"" target=""_blank"">Tesla makes a 'quite change' in definition of its key technology after Elon Musk's $1 trillion pay packag</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>"
Anthropic CEO repeats his AI warning on jobs that had created 'outrage' and sparked debate across technol - The Times of India,https://news.google.com/rss/articles/CBMipAJBVV95cUxNZVhqNUZtWl80S0hlVFc5Qkc4NEhSXzZkYjRXNngxOF9UV05MMThhZG9VLW81V19odHFNd204ZEV0QnZfVGRBbVQ3SEd1NElTQzJpX282NzRULXhqYVhONUo2bmhOVTFQWUtBVTdVanR3WTdNd1R0TGw2M09TU1d0NkUwRDQ0VHYtYURHOU9pRTA3V1VqdE9ILW1GRVRKVTlwYlp2bS1kNUZ3SGFUUzJGaGt2dDdtZk13c1hfVldrTUc5QTVKYXpuQk01UzNOaC1OTnRUTzVkMmhTcWE5NDEwQzhiTXdFUEh6WDZiWm8zdXB1QmE1T3NBMDR4WFZhTnlWdWhhRlR3cTJSU1JyT2RlU0lXSURmNjRSWXJ4MV95U1pBNHhW0gGqAkFVX3lxTE9QZ0ZPZXoyZE84ZEcxanZtal9GOTlHZjVUWFVqQWlMbXJWM1lNWHpPdVdpRDd5OGN5Z2pJVEZGNWl3VEt0WlVvMUg0Xy12a0NuOGlialppX1hmMWdOaThiSkQ2cWowNTc0dUVZZ1JUV2ZiM2hvTnI1Y0pHRmQ3YUU2dkQ3MDgtNjJyNDFKZzR1UTkzcHREb1YtS2NEQjB5QWVXU1k5eHpXeE9pMzlOejhTc0tlaDgtSEFlVzN5U0puQkFHaFRobVhyUmZLblZjb3pLX1ZVWGRScGJxREs5VF9zNF9FczZxYXhHOHFQSTdQV00tM0xMQXlVZ0tQZVRvdldvT2hQY3k5WTRFRWN4cmZmNlVzVDZicGhDZmd0TllURDQtWnpRS0RUaWc?oc=5,"Mon, 08 Sep 2025 12:24:00 GMT","<a href=""https://news.google.com/rss/articles/CBMipAJBVV95cUxNZVhqNUZtWl80S0hlVFc5Qkc4NEhSXzZkYjRXNngxOF9UV05MMThhZG9VLW81V19odHFNd204ZEV0QnZfVGRBbVQ3SEd1NElTQzJpX282NzRULXhqYVhONUo2bmhOVTFQWUtBVTdVanR3WTdNd1R0TGw2M09TU1d0NkUwRDQ0VHYtYURHOU9pRTA3V1VqdE9ILW1GRVRKVTlwYlp2bS1kNUZ3SGFUUzJGaGt2dDdtZk13c1hfVldrTUc5QTVKYXpuQk01UzNOaC1OTnRUTzVkMmhTcWE5NDEwQzhiTXdFUEh6WDZiWm8zdXB1QmE1T3NBMDR4WFZhTnlWdWhhRlR3cTJSU1JyT2RlU0lXSURmNjRSWXJ4MV95U1pBNHhW0gGqAkFVX3lxTE9QZ0ZPZXoyZE84ZEcxanZtal9GOTlHZjVUWFVqQWlMbXJWM1lNWHpPdVdpRDd5OGN5Z2pJVEZGNWl3VEt0WlVvMUg0Xy12a0NuOGlialppX1hmMWdOaThiSkQ2cWowNTc0dUVZZ1JUV2ZiM2hvTnI1Y0pHRmQ3YUU2dkQ3MDgtNjJyNDFKZzR1UTkzcHREb1YtS2NEQjB5QWVXU1k5eHpXeE9pMzlOejhTc0tlaDgtSEFlVzN5U0puQkFHaFRobVhyUmZLblZjb3pLX1ZVWGRScGJxREs5VF9zNF9FczZxYXhHOHFQSTdQV00tM0xMQXlVZ0tQZVRvdldvT2hQY3k5WTRFRWN4cmZmNlVzVDZicGhDZmd0TllURDQtWnpRS0RUaWc?oc=5"" target=""_blank"">Anthropic CEO repeats his AI warning on jobs that had created 'outrage' and sparked debate across technol</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>"
AI on Track: How technology is transforming Indian Railways - financialexpress.com,https://news.google.com/rss/articles/CBMiugFBVV95cUxNQ0g4eGVoeXlkQ1dxLTMta0oyQk1pVTVnVzFxOE42S0p4QkVZQ2pycVY3NzR3UzRVNmZjbnlqU1cxc05yaFVlWkQ2TWExUk5qX0JxRXZkTHNXSzdtZkY0WUJJLWtqN1R6WkVvdGc1MDZ6cTVpbmdMbUpQTWFyNjJHLVhTTDMtc3lON20yOEE5b1JSTHZ0ckp5NjBpWEYxWGMwcDFUdmtUUENSRzNScmlUTTViQUxaemZZLVE?oc=5,"Sat, 06 Sep 2025 14:48:21 GMT","<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxNQ0g4eGVoeXlkQ1dxLTMta0oyQk1pVTVnVzFxOE42S0p4QkVZQ2pycVY3NzR3UzRVNmZjbnlqU1cxc05yaFVlWkQ2TWExUk5qX0JxRXZkTHNXSzdtZkY0WUJJLWtqN1R6WkVvdGc1MDZ6cTVpbmdMbUpQTWFyNjJHLVhTTDMtc3lON20yOEE5b1JSTHZ0ckp5NjBpWEYxWGMwcDFUdmtUUENSRzNScmlUTTViQUxaemZZLVE?oc=5"" target=""_blank"">AI on Track: How technology is transforming Indian Railways</a>&nbsp;&nbsp;<font color=""#6f6f6f"">financialexpress.com</font>"
These are the top five energy technology trends of 2025 - The World Economic Forum,https://news.google.com/rss/articles/CBMiiwFBVV95cUxQdnM5V19oM2NQSFZsVXRHRHh0MzdxZ1djY1UxMVlwZkFxTXU5dURDZWpNdmJtcWFWTjBXdHcxc3JhemNMcDZ4aVRScUJ1Y2tial9uQVlaYzBHMG9yVl9EX1pxWnhSUjZlZ2M4R2RIdjZyb3lXenNXMlQxa2RNVWxXTTVjbk55T0JuZ1FB?oc=5,"Mon, 08 Sep 2025 10:46:53 GMT","<a href=""https://news.google.com/rss/articles/CBMiiwFBVV95cUxQdnM5V19oM2NQSFZsVXRHRHh0MzdxZ1djY1UxMVlwZkFxTXU5dURDZWpNdmJtcWFWTjBXdHcxc3JhemNMcDZ4aVRScUJ1Y2tial9uQVlaYzBHMG9yVl9EX1pxWnhSUjZlZ2M4R2RIdjZyb3lXenNXMlQxa2RNVWxXTTVjbk55T0JuZ1FB?oc=5"" target=""_blank"">These are the top five energy technology trends of 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The World Economic Forum</font>"
India Unveils 15-Year Technology and Capability Roadmap for Navy - navalnews.com,https://news.google.com/rss/articles/CBMirwFBVV95cUxNTmpsdGF2NHBld24zV0RKcTJwVUZZalhhZGVzQWg1RlRlWC1WTHRyMThIQjlpRTJDNi01Z3hhOFZ4SDcyUU1PTEJmd1NrTVV4aFJRMENHWmVFOWpwUFVBd2dFci1vSHZSbWlIZWJ1dFVtUnUtTVhPeTZ2bkJiWEVFZXlQemI5bVRtM003RHhxWDltVmhibUVsM2p1TDA4NGxzN2Zkdlp3anUxYS04U2Vn?oc=5,"Mon, 08 Sep 2025 06:24:12 GMT","<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxNTmpsdGF2NHBld24zV0RKcTJwVUZZalhhZGVzQWg1RlRlWC1WTHRyMThIQjlpRTJDNi01Z3hhOFZ4SDcyUU1PTEJmd1NrTVV4aFJRMENHWmVFOWpwUFVBd2dFci1vSHZSbWlIZWJ1dFVtUnUtTVhPeTZ2bkJiWEVFZXlQemI5bVRtM003RHhxWDltVmhibUVsM2p1TDA4NGxzN2Zkdlp3anUxYS04U2Vn?oc=5"" target=""_blank"">India Unveils 15-Year Technology and Capability Roadmap for Navy</a>&nbsp;&nbsp;<font color=""#6f6f6f"">navalnews.com</font>"
"New technology, innovation conclave to ‘replace’ Science Congress to be held in November - The Hindu",https://news.google.com/rss/articles/CBMi4AFBVV95cUxOWEM1d3FrU2NRSGZSdC03ZWJhaGswMzZFNGc3TlN4cVdyVlFSU1o2clZVZlQ3V2VSNmp0YXYzREpQcEpQdnpESTZvVXlZMnJ1T1FUclc0VTctUGZ0UTM0bTd2dkVSbzVqeEVFeXdKVFhrYXVaOFNsUkp1eWRqd2ZxOGZWOUlBVWRmRVB1ZjJ2dlBacF8tLWhHUGxxSFFUXzNEWGFDM2VBby1yd1pNN1prbkFoWGpXNlpmRm5YTHRjTXhwMUplNHd0TXFRTnVQVkE2NjhSOTBqN0ktQjhZeHplYdIB5wFBVV95cUxQWGw3dW9BLUVwWXZoVGc0eVVfRTMyV0w1cGkyMkdMN2QyLXdkNlROSWxRMkNOSnhDbmJPenRYeTVPcEstN1B6LUlfazRaNlUwdl91N3JEcGFBQUotRWxycHp2Q294SHhaTXlvaENNTmh0MnFsQVBBdmVPUy13TzdPNmdOM2Y1MjIxR2kyTWhSZnpVcjVPbFByUlJRTnVjS1Y4c3Nvc0FCeWw4azNVdVU5Rk5EQ1hnZEN1NnNXSnRFcVJvY1NQMHctWWQ4WE1LMUw3VEZISXZfSWpUVTFGTWlFd3VGZ3RQU28?oc=5,"Fri, 05 Sep 2025 17:19:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxOWEM1d3FrU2NRSGZSdC03ZWJhaGswMzZFNGc3TlN4cVdyVlFSU1o2clZVZlQ3V2VSNmp0YXYzREpQcEpQdnpESTZvVXlZMnJ1T1FUclc0VTctUGZ0UTM0bTd2dkVSbzVqeEVFeXdKVFhrYXVaOFNsUkp1eWRqd2ZxOGZWOUlBVWRmRVB1ZjJ2dlBacF8tLWhHUGxxSFFUXzNEWGFDM2VBby1yd1pNN1prbkFoWGpXNlpmRm5YTHRjTXhwMUplNHd0TXFRTnVQVkE2NjhSOTBqN0ktQjhZeHplYdIB5wFBVV95cUxQWGw3dW9BLUVwWXZoVGc0eVVfRTMyV0w1cGkyMkdMN2QyLXdkNlROSWxRMkNOSnhDbmJPenRYeTVPcEstN1B6LUlfazRaNlUwdl91N3JEcGFBQUotRWxycHp2Q294SHhaTXlvaENNTmh0MnFsQVBBdmVPUy13TzdPNmdOM2Y1MjIxR2kyTWhSZnpVcjVPbFByUlJRTnVjS1Y4c3Nvc0FCeWw4azNVdVU5Rk5EQ1hnZEN1NnNXSnRFcVJvY1NQMHctWWQ4WE1LMUw3VEZISXZfSWpUVTFGTWlFd3VGZ3RQU28?oc=5"" target=""_blank"">New technology, innovation conclave to ‘replace’ Science Congress to be held in November</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>"
Disney Technology Summer 2026 Internships Applications are Coming! - Disney.com,https://news.google.com/rss/articles/CBMi0gFBVV95cUxQMDhiemZBdGVySzl3M2RtTUhKVmJ3Qm1DejNnSE9hLXlUd0JrUUNtRF85YXhIcUNSTVd4ZWpFcUotVmNlWmtTTkl3dGFGdE9hS1NJcHZQWUlJbGFRV0JYVVFlRlFlN0xrQlhOVkJqb1JSdjZoTmkyRThXOC1pTW5QM1A0VmlrRFo2ZFlNTW56Y3pEblU5N0ItQU80S1NfOWl4LURKRjZyYlNicjBYVk5EcE41OTJqcXJqNlNlYlBBTEo3LTlpR0s5QjMxN3RfQWNMSUE?oc=5,"Fri, 05 Sep 2025 14:35:06 GMT","<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxQMDhiemZBdGVySzl3M2RtTUhKVmJ3Qm1DejNnSE9hLXlUd0JrUUNtRF85YXhIcUNSTVd4ZWpFcUotVmNlWmtTTkl3dGFGdE9hS1NJcHZQWUlJbGFRV0JYVVFlRlFlN0xrQlhOVkJqb1JSdjZoTmkyRThXOC1pTW5QM1A0VmlrRFo2ZFlNTW56Y3pEblU5N0ItQU80S1NfOWl4LURKRjZyYlNicjBYVk5EcE41OTJqcXJqNlNlYlBBTEo3LTlpR0s5QjMxN3RfQWNMSUE?oc=5"" target=""_blank"">Disney Technology Summer 2026 Internships Applications are Coming!</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Disney.com</font>"
Rimac Technology Unveils New Solid-State Battery Tech and Next-Generation e-Axles at IAA Mobility - Rimac Newsroom,https://news.google.com/rss/articles/CBMi2wFBVV95cUxPUC1MOHBQa0JZUHpMTTU1djRnY3ZUSWN4dGsySWUtVGgxd05fQkh0UC1XOGt4UWYxTC1McTd2NG1nOS1ES2lEYlRzbEVVQ3VnT2VmeVM2cmxIOHczazgwSDZzdHpOS2dEcURjT2hLRm91UVN6NTNhN00taHhTVVBWNEVYcXVUcU9YenJ1TDBLdFZDTmZnLWstOF9ZWlRJN3NOYjJMSm5rdlhvZEsxcF9kUHd0V0ZRNk15SElGMXZvS3NyNU52b0NxSFM4dk91dVhyNEhGVzQtUzRFcXM?oc=5,"Mon, 08 Sep 2025 06:20:18 GMT","<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxPUC1MOHBQa0JZUHpMTTU1djRnY3ZUSWN4dGsySWUtVGgxd05fQkh0UC1XOGt4UWYxTC1McTd2NG1nOS1ES2lEYlRzbEVVQ3VnT2VmeVM2cmxIOHczazgwSDZzdHpOS2dEcURjT2hLRm91UVN6NTNhN00taHhTVVBWNEVYcXVUcU9YenJ1TDBLdFZDTmZnLWstOF9ZWlRJN3NOYjJMSm5rdlhvZEsxcF9kUHd0V0ZRNk15SElGMXZvS3NyNU52b0NxSFM4dk91dVhyNEhGVzQtUzRFcXM?oc=5"" target=""_blank"">Rimac Technology Unveils New Solid-State Battery Tech and Next-Generation e-Axles at IAA Mobility</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Rimac Newsroom</font>"
Indian laws “light years behind” evolving technology: Supreme Court Justice Manmohan - Bar and Bench,https://news.google.com/rss/articles/CBMitAFBVV95cUxPU2hRY1d4RmRXVGI4eXpHWGlCdGpKalFKVUd2NFF0RUVmaG13S0RYRm8tNm9fXzRXOHE3UXVodTlJTklPOEJxWUZ6aFZEdExVSXJ3cjAtV2lSTjVLRmM4cHdjUzlnREFBbEg0STJXa2pKNXJBQ2dXSGxrckhiZkNmaTByeVdFVWt4NDEtMWNzNktqZHpiWkRiNjFUZndhQTBRd0ZYRndwUVJ0c0w1TU9pTXhUanTSAcIBQVVfeXFMT3dseWN0bEQ4TnlnZEF6QVp3WmZqdEY1YlVwdDNyS1RxUjFncl9fWEJlUjhNa1JBWjMxQ2VSSU1XenF5cFpPdjN3aUY4NjZWSG5ERWp4VDM2eEQ5bkoyZzZzMU1jTzhjZzVyN2h3RGlSZ2ZuMVN0TnQxRjJmZXRWeHBNY19rcGZ2OEJENWlMSG44N2U2MXJRYlJpamhIZXRuVVFXcEM1NFdaMWFsM3B0akFWTmJVZnZXVFJVUVVoZkJPNnc?oc=5,"Mon, 08 Sep 2025 03:41:50 GMT","<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxPU2hRY1d4RmRXVGI4eXpHWGlCdGpKalFKVUd2NFF0RUVmaG13S0RYRm8tNm9fXzRXOHE3UXVodTlJTklPOEJxWUZ6aFZEdExVSXJ3cjAtV2lSTjVLRmM4cHdjUzlnREFBbEg0STJXa2pKNXJBQ2dXSGxrckhiZkNmaTByeVdFVWt4NDEtMWNzNktqZHpiWkRiNjFUZndhQTBRd0ZYRndwUVJ0c0w1TU9pTXhUanTSAcIBQVVfeXFMT3dseWN0bEQ4TnlnZEF6QVp3WmZqdEY1YlVwdDNyS1RxUjFncl9fWEJlUjhNa1JBWjMxQ2VSSU1XenF5cFpPdjN3aUY4NjZWSG5ERWp4VDM2eEQ5bkoyZzZzMU1jTzhjZzVyN2h3RGlSZ2ZuMVN0TnQxRjJmZXRWeHBNY19rcGZ2OEJENWlMSG44N2U2MXJRYlJpamhIZXRuVVFXcEM1NFdaMWFsM3B0akFWTmJVZnZXVFJVUVVoZkJPNnc?oc=5"" target=""_blank"">Indian laws “light years behind” evolving technology: Supreme Court Justice Manmohan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bar and Bench</font>"
