video_id,author,comment,published_at,like_count
M_NgZhrWSrA,@pramodpatil6041,Bengal files ko accha review nhi diya. But inka dega,2025-09-08T15:05:09Z,0
M_NgZhrWSrA,@zozzgaming001,It's good that's why it's looking goood😂,2025-09-08T15:04:11Z,0
M_NgZhrWSrA,@narendrasahuin,Ssr,2025-09-08T15:01:48Z,0
M_NgZhrWSrA,@sourabhkumar2696,Ba***ds badal bik gya😂😂,2025-09-08T15:01:06Z,0
M_NgZhrWSrA,@deviledit6860,Almost 20 are dead on Frist day the road is full of blood we wants international support pls spread this news killing kid who is on school dress in against huhuman right,2025-09-08T15:00:07Z,0
M_NgZhrWSrA,@deviledit6860,Bro pls spread news about what happening on Nepal .police literally killed 14 year old kid who was on school dress .the video is so disturbing that not even movie like Marco and animal failed Infront that video literally inside part of. Arin is out of head😢😢,2025-09-08T14:58:06Z,0
M_NgZhrWSrA,@MOHAJON7,Badal Badmas-,2025-09-08T14:57:20Z,0
M_NgZhrWSrA,@HK11897,Season 2 mai Man of culture ka bhi cameo agar shayad yeah video SRK pass pohach gaya too. 😅😅😅😅,2025-09-08T14:57:10Z,0
M_NgZhrWSrA,@neerajmeena8362,Nepotism ki baat alag h lekin trailer shi h,2025-09-08T14:55:23Z,0
M_NgZhrWSrA,@Shahjad........,"Normal speed ❌
See 2X speed ✅",2025-09-08T14:54:02Z,1
M_NgZhrWSrA,@VanshSharma-fj5pq,BALLADS h wo!!!!!!!!!!,2025-09-08T14:53:19Z,0
M_NgZhrWSrA,@Marwari6498,Badal be like - paisa hi Paisa hoga,2025-09-08T14:52:40Z,0
M_NgZhrWSrA,@Shreeee21-10,Bhai mere ko to must trailer,2025-09-08T14:51:38Z,0
M_NgZhrWSrA,@Rahgir_0,Trailers is really good ❤,2025-09-08T14:50:29Z,0
M_NgZhrWSrA,@Dr_animation,achhi movie ka galat review deta he aur kharab ka bura,2025-09-08T14:50:25Z,1
24gtlXJWRUs,@vishwajeet531,❤❤,2025-09-07T11:45:09Z,0
24gtlXJWRUs,@JyotiJain-k5j,Drunk 😂,2025-09-07T09:38:13Z,0
24gtlXJWRUs,@ayesha.raheman23,"Ye log jitna sidha dikhati hai, utna sidha hai nahi. So in logo ki sidhapan mein mat parna .",2025-09-07T07:36:58Z,0
24gtlXJWRUs,@Rebelchic-qt,Ite pese hone k bawjud kyu ese kpde?,2025-09-05T11:15:02Z,0
24gtlXJWRUs,@avrilfernandes1824,"As if after this, the ambanis will give us crores😅",2025-09-04T20:27:59Z,1
24gtlXJWRUs,@PriyaK-cu1fz,Money cant buy class,2025-09-04T19:39:53Z,0
24gtlXJWRUs,@ashutoshawasthi1876,Recharge price badhne wala hai 😂😂😂😂😂😂😂,2025-09-04T19:39:30Z,1
24gtlXJWRUs,@neetuajaydeep947,Woh uska kam hai unki saksha krna,2025-09-04T12:48:38Z,0
24gtlXJWRUs,@ghar_ka_khaaana,Agar woh pregnant hoti to nita ambani usko truck pe chadhne hi nahi deti,2025-09-04T06:30:59Z,0
24gtlXJWRUs,@fathimaabdulrahim6356,"Even a normal woman or a heroine will be protected like this and if anybody trips, the person standing next will definitely help",2025-09-04T06:21:17Z,0
24gtlXJWRUs,@NRS........,"Its a pity.. despite the money, the husband doesnt have it in him to protect or escort his wife..that right also they have to oursource!",2025-09-03T14:41:06Z,1
24gtlXJWRUs,@dipalitrivedi7690,Behaving like psycho,2025-09-03T10:49:45Z,0
24gtlXJWRUs,@VijayaRamachandran-t4o,The Sikh hodyguad is handsome 😅😊,2025-09-03T10:42:47Z,3
24gtlXJWRUs,@nidhihow7742,and? who tfk cares?,2025-09-03T07:42:11Z,0
24gtlXJWRUs,@pranjalsharma5613,Gaanjaa piti he kya ye😊,2025-09-02T17:36:01Z,0
0XSj8XBc8vM,@MakebetaMuhammadAli,"🎉😂😮😢😊😅😊gujh
.bvc,",2025-09-06T11:57:39Z,0
0XSj8XBc8vM,@fareenkhan4106,😂😂,2025-08-31T10:03:24Z,0
0XSj8XBc8vM,@raoasif9341,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,2025-08-30T10:33:30Z,0
0XSj8XBc8vM,@SawastikVerma,Support me 🙏🙏 please,2025-08-30T01:52:52Z,0
0XSj8XBc8vM,@SawastikVerma,❤❤❤,2025-08-30T01:52:42Z,0
0XSj8XBc8vM,@Sirkeshyadav-w9c,😰😰😰,2025-08-29T10:27:35Z,0
0XSj8XBc8vM,@GurvinderSingh-i2j,Hiiii❤😂❤❤❤❤,2025-08-29T07:30:57Z,0
0XSj8XBc8vM,@RupaSarkar-ur5bj,😢😢😢😊😊😊,2025-08-27T03:17:24Z,1
0XSj8XBc8vM,@SahebDas-i4k,Hiiii ❤😂❤❤❤❤,2025-08-26T08:09:32Z,3
0XSj8XBc8vM,@SahebDas-i4k,Good ❤❤❤❤❤🎉🎉🎉🎉,2025-08-26T08:08:27Z,1
0XSj8XBc8vM,@MuskanSheikh-l7v,❤❤❤❤❤❤❤❤,2025-08-25T12:33:48Z,0
0XSj8XBc8vM,@HadiyamajiduJulekha,মাকসুদা,2025-08-23T13:55:50Z,0
0XSj8XBc8vM,@HadiyamajiduJulekha,নাপালাজুামা,2025-08-23T13:55:27Z,0
0XSj8XBc8vM,@S_1_24_Live,😢😢😢😢😢❤,2025-08-18T08:36:45Z,0
0XSj8XBc8vM,@ShohaibSay,🥺ir,2025-08-17T16:02:17Z,0
D3rfedA8maU,@brahmanshubham7061,Sb ek taraf or SRK ek Taraf 🔥,2025-09-08T15:01:50Z,0
D3rfedA8maU,@MohammadAlireaction-f4o,Faad Diya bhai Bollywood ko faad Diya,2025-09-08T14:18:20Z,0
D3rfedA8maU,@bikramkumardas740,King Khan SRK 😎👑❤️,2025-09-08T14:15:41Z,1
D3rfedA8maU,@washinur.22,Srk ❤,2025-09-08T14:09:07Z,0
D3rfedA8maU,@nehacraftsideas9532,Hdh,2025-09-08T14:08:26Z,0
D3rfedA8maU,@narayanpatel368,😅.,2025-09-08T14:01:04Z,0
D3rfedA8maU,@Jatinkumar-nw7kw,"Jo jo Bollywood mein Hua or ho rha hai ,woh sab Aryan ne kreeb se dekha hai ,wohi sab aab dikhaega",2025-09-08T13:59:02Z,0
D3rfedA8maU,@Jatinkumar-nw7kw,Srk❤ hyped up,2025-09-08T13:56:08Z,0
D3rfedA8maU,@SoulSync-Fs82,Hyped up for king 👑👑👑,2025-09-08T13:47:13Z,0
D3rfedA8maU,@PiyushKumar-fo6qr,Nishanchi trailer reaction,2025-09-08T13:45:59Z,0
D3rfedA8maU,@MdMister-o6j,Tabahi hone wali hai,2025-09-08T13:42:51Z,0
D3rfedA8maU,@gyom.gg1,"Hey my indian friend's and. Brother's sister's we Nepali people need your guys help . Recently our so called curropted people are doing to worse with us they first band all these apps including Insta , YouTube, what's app as well to stop our voice then we Genz started protest from today but police gun shooted to the student's and almost 25 students are dead they were all I'n school collage uniform 😢and many channels Ani and others they are misleading information saying protest for banning app we don't care about baning app but we need corruptionless country please help us",2025-09-08T13:42:19Z,1
D3rfedA8maU,@MuhammadSaimZia,Excited for Arjun Kapoor 😂😂😂😂😅😅😅😅,2025-09-08T13:42:10Z,1
D3rfedA8maU,@MdMister-o6j,Arjun bhi hai😢,2025-09-08T13:40:29Z,0
D3rfedA8maU,@devadvlog,Ghante ka badshah 😂,2025-09-08T13:32:25Z,1
zCdKsfd2m94,@ShivamKewat-v2m,😅😅😅😅😅😅,2025-09-02T13:00:16Z,0
zCdKsfd2m94,@Apurbakshorts,😢😢😢😢,2025-08-18T10:40:15Z,0
zCdKsfd2m94,@JinnaJoddar-os7vm,❤❤❤❤❤❤,2025-08-09T10:27:09Z,0
zCdKsfd2m94,@ShakkeelShaa,😢😢😢😢❤❤,2025-07-11T08:23:24Z,1
zCdKsfd2m94,@jaishreeanddinesh,❤🎉नमस्ते,2025-07-10T15:00:42Z,0
zCdKsfd2m94,@LaxmanRaikwar-w2e,❤❤😢😢,2025-06-28T13:52:06Z,2
zCdKsfd2m94,@जागेश्वरकजले,300000,2025-04-28T14:28:29Z,2
zCdKsfd2m94,@MalaKhandale-w4q,Hemlata ❤😢. Dimple,2025-04-16T15:52:40Z,14
zCdKsfd2m94,@Aribapithi,😊😊😊😊😊😊😊😊😊,2025-03-26T05:18:04Z,11
zCdKsfd2m94,@Aribapithi,😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮,2025-03-26T05:17:57Z,0
zCdKsfd2m94,@RamSurat-y4b,ji😊,2025-03-04T03:51:13Z,3
zCdKsfd2m94,@Chhatrapalsingh-f9h,🤮🤮🤮🤢🥵🤬,2025-02-28T03:49:09Z,0
zCdKsfd2m94,@NituNitu-o9m,Mm,2025-02-24T06:45:26Z,2
zCdKsfd2m94,@AnilVishavkarma-gg7lc,❤❤❤❤❤❤❤❤❤😂❤,2025-02-23T09:34:39Z,10
zCdKsfd2m94,@shadfathima6486,😂😂😂😂😂😂😂😀w😀q😂qqqq😂😂q😂😀😀😂w😀😁😁,2025-02-23T09:20:20Z,0
