video_id,author,comment,published_at,like_count
sMAOLsih4jY,@venkateshkommu-t4z,"I think india should focus on science and technology more than religion stuff,",2025-07-25T08:21:27Z,0
sMAOLsih4jY,@AmarAnisha-t2i,This is aura,2025-07-21T15:34:10Z,0
sMAOLsih4jY,@JOESANDY-g8x,Goosebumps,2025-07-21T07:43:22Z,0
sMAOLsih4jY,@thiagomarcelino6396,Parabéns  a todos foi  incrível 🎉🎉🎉,2025-07-19T00:18:57Z,0
sMAOLsih4jY,@odiaallgk3504,"Pehle Se venkateswara temple jana tha ISRO chairman sir Ko 

Lagta hai baad main Yaad aya",2025-07-15T14:08:24Z,0
sMAOLsih4jY,@AngRobin-s4q,😂😂😂😂😂😂😂😂,2025-07-06T02:34:31Z,0
sMAOLsih4jY,@santhosht6706,❤❤❤❤,2025-07-04T09:25:37Z,0
sMAOLsih4jY,@induraj1657,सर ऐसे कयु डरें ऐसे आप को किसी ने धमकाया 😢,2025-07-03T12:57:03Z,0
sMAOLsih4jY,@induraj1657,😭,2025-07-03T12:53:36Z,0
sMAOLsih4jY,@urwashivyas7258,I Proud Indian ISRO,2025-07-03T01:46:47Z,0
sMAOLsih4jY,@Ambujpandey53,Am proud am Indian ❤❤❤❤,2025-07-02T04:37:57Z,0
sMAOLsih4jY,@cyber_Yaan0,"*respect knowledge 💀☠️*
*respect education ⚡*
*respect skills 🫡*",2025-07-01T06:58:35Z,2
sMAOLsih4jY,@Pravinkumarmahto8,Ruh khada ho gya ...Jai Bharat Mata ❤🎉😊 Puri Duniya ne Parcham lahrayega Bharat 🇮🇳,2025-07-01T03:40:01Z,1
