video_id,author,comment,published_at,like_count
Q1S3bXzNBCs,@lord_kakashi-gaming,🎉❤❤,2025-06-29T08:52:23Z,0
Q1S3bXzNBCs,@ArshiyaContractor,❤❤,2025-06-05T17:32:35Z,0
Q1S3bXzNBCs,@PoetlyGacha,🍕,2025-05-28T19:38:20Z,0
Q1S3bXzNBCs,@PoetlyGacha,Ooo nice!,2025-05-28T15:22:58Z,1
Q1S3bXzNBCs,@Gamerixtion,Too much chemicals everywhere lol😂,2025-05-01T01:48:41Z,0
Q1S3bXzNBCs,@itsmeash-d6i,in india you can get that for 2 $,2025-04-17T15:16:51Z,0
Q1S3bXzNBCs,@Dreamy_p3rs0n,chai for 1.50 DOLLARS??? U CAN GET IT FOR CENTS IN INDIA LIKE 10RUPEES.,2025-04-05T15:07:06Z,0
Q1S3bXzNBCs,@SivaranjaniB-o1u,Did you eat the chana masala on it's own like girl it with something else 🤣,2025-03-16T09:46:20Z,1
Q1S3bXzNBCs,@Iconic_Pandaa,"“Jalebi Baby”
Iconic 👏",2024-12-16T01:04:51Z,35
Q1S3bXzNBCs,@iamcoolernow2253,In india masala Chai is like 20 rupees u paid like 80,2024-12-14T09:53:07Z,1
Q1S3bXzNBCs,@6loodmoonrising,Aww you could've gone to a gurudwara and gotten a full meal for free! But I guess that kinda defeata the point of the challenge,2024-12-13T21:47:44Z,0
Q1S3bXzNBCs,@TocaBerryWorld,Guys I'm so happy she said Lakshmi right also I'm indian,2024-12-13T13:02:51Z,0
Q1S3bXzNBCs,@potterprishaJain-t1f,"Thanks so much for doing diwali im really proud of you !!!!!!! 
It was awesome seeing all these 5$ lunches ( if you ever come a 5$ challenge should be pretty simple as 5dollars canadian equal to ig almost 100 rupees correct me if im wrong )",2024-12-11T18:22:31Z,0
Q1S3bXzNBCs,@sdus6004,Ty,2024-11-29T17:21:13Z,0
Q1S3bXzNBCs,@vintagelife9539,Could you do one for eid?🧕,2024-11-25T05:57:58Z,0
-ANjtUiYbZ8,@AbhiandNiyu,"How do you say, I LOVE INDIA in your mother tongue? Comment below. (Don't forget to mention the language too!)",2023-02-01T13:28:19Z,2301
-ANjtUiYbZ8,@MPG1284,Es moti ko samne hatao over acting ki dukan 🤦,2025-07-04T09:28:26Z,0
-ANjtUiYbZ8,@dauwaakram4064,Yes you are right more tax will help to boost the countries development... it's only possible when the per capita income is better than other countries like as you said.😊,2025-06-30T15:11:28Z,0
-ANjtUiYbZ8,@AmbikaDbk,❤❤❤❤❤❤,2025-06-09T15:22:09Z,0
-ANjtUiYbZ8,@GamerkanhaKumar,What about gst we  all pay GST GST is a tax,2025-05-24T04:45:41Z,1
-ANjtUiYbZ8,@RATHORE_K18,"Accept it or cry 
Max to max 50% paise ka kam krti hai any govt b it bjp or congress 

50% goes into  their bloodline saving",2025-05-06T11:02:34Z,0
-ANjtUiYbZ8,@viksitbharatcountdown,"kuch samaj ni aata tumari video dekh k, poor content delivery.",2025-04-23T14:35:53Z,1
-ANjtUiYbZ8,@ningyoh3490,"Why do they transfer souther wealth to the useless north states who do not do any work except dirty politics nothing they give for their own people and eat all the money , extracted from southern flourishing states , ban the tax transfer lest each state manage on their own work and eat on your own , if you can.nothing should go to center who plays politics with bihar and telangana.",2025-02-08T11:45:29Z,0
-ANjtUiYbZ8,@ramsaikia1995,Real LEGENDS are trying to UNDERSTAND 🚩,2025-02-03T10:31:58Z,0
-ANjtUiYbZ8,@maulik4440,"Superb video ... i and my partner  have learned a lot from this budget video and i want you to continue this type of financial subject in next videos.
Keep it up.",2025-02-02T18:28:06Z,0
-ANjtUiYbZ8,@SunitaKhairnar-d2u,🧡Maharashtra,2025-02-02T17:07:15Z,0
-ANjtUiYbZ8,@RakeshbhaiRajput_._70,Thank you so much 😊,2025-01-20T12:18:35Z,1
-ANjtUiYbZ8,@seshasatyasridharkumarchin4915,"Excellent Video, Thanks a lot to both of you and your team🙏🙏",2024-12-27T04:28:22Z,0
-ANjtUiYbZ8,@fk1790,Bahut boring lga 😢,2024-12-21T18:47:48Z,2
-ANjtUiYbZ8,@AmoPipiblogs,🙏🤜🏼👍,2024-11-17T16:14:53Z,0
gEcMCY9PzhU,@hemantsavant8496,Kanoji kay chalalay😂😂😂😂😂😂,2025-02-17T15:37:00Z,2
gEcMCY9PzhU,@a.sampark,"Tax bachiti mude samajaat ase/chichore prakar wadtil. 😅
Chichore ha shabd barobar/suitable aahe na😢",2025-02-14T12:08:53Z,0
gEcMCY9PzhU,@Awara_0416,स्वानंद.... तुझी पण रील होतेय viral.... मंदिर वही बनायेंगे....  Next Time काळजी घे बोलताना 😊,2025-02-13T20:10:59Z,0
gEcMCY9PzhU,@aniket-pisal-ap,Ase videos banvun tumi content nahi..... Berojgar mulana disrespect kartay.......vichar kara😢,2025-02-09T14:55:02Z,0
gEcMCY9PzhU,@rohanlomte2768,"Aata hech bhagaych hot😅
Kahi kara 
He tochnar thumala😂",2025-02-07T20:25:07Z,1
gEcMCY9PzhU,@MinotiBhandare,Maphalarwale uncle 1ch no.👌👌😂😂👍🏻,2025-02-07T16:06:42Z,4
gEcMCY9PzhU,@vidyachinchavle3197,😂,2025-02-07T12:09:48Z,0
gEcMCY9PzhU,@Harshada-k9f,"No matter what is budget  ,money an all😂😂 
bro chilling his own 😅 with happiness",2025-02-07T07:22:18Z,0
gEcMCY9PzhU,@swalekar7532,फालतुगिरी 👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻,2025-02-05T07:49:34Z,0
gEcMCY9PzhU,@samikshakale2901,👏👏👏🤣,2025-02-05T07:23:17Z,0
gEcMCY9PzhU,@MarathiGardener,Indian tax neither be created not be destroyed it changes from one form to another form..😂😂😂,2025-02-04T17:41:23Z,30
gEcMCY9PzhU,@urvijadhav3098,Sathye saheb jorat ahet...He is just amazing,2025-02-04T11:01:46Z,0
gEcMCY9PzhU,@Rs_quad53,Nimmo Tai Like That . 😂😂😂,2025-02-04T07:12:04Z,0
gEcMCY9PzhU,@Markit91,आणि 5 रुपयाच्या बिस्किट वर 5 टक्के gst वाह दीदी 🎉🎉,2025-02-03T14:20:41Z,2
