video_id,author,comment,published_at,like_count
rtZVFMxQISA,@singhanup7462,Rahul Gandhi only,2024-05-21T05:16:46Z,1
rtZVFMxQISA,@AshokKumar-te2vv,Modi jese bahut aaye Gaye understand English bolane wali,2024-05-13T06:13:43Z,0
rtZVFMxQISA,@AshokKumar-te2vv,I have much talent modi kab kaya hai,2024-05-13T06:11:48Z,0
rtZVFMxQISA,@AshokKumar-te2vv,Kitne hi number Kam delete beta modi ko sasan nahi duga,2024-05-13T06:10:21Z,0
rtZVFMxQISA,@Mnoh54,"CNN seemed to be a bought modi media..don't spread the lies..and coming to Modi's rally by force doesn't necessarily mean that I am voting for BJP😂😂😂😂😂..only the voting button will clear all those Modi's lies and his political career..If you want to know more about unemployment,inflation,social security,women empowerment,secularism and more,you better go and ask those millions of educated unemployed youth fighting for their rights demanding employment opportunities..India were but not longer  the 5th largest economy since 2014.Peace out.",2024-05-08T19:49:23Z,0
rtZVFMxQISA,@Jyotinisha-PANDA,Rahul gandi ❤❤❤❤❤❤❤❤❤❤❤,2024-05-08T06:24:51Z,1
rtZVFMxQISA,@Lem_jamir,Vote for congress,2024-05-08T03:36:24Z,1
rtZVFMxQISA,@rurigaming2034,India Becoming largest economy by increasing all the price in double thank you bhp.. petrol from 60 to 100 above n so on wht else...think India,2024-05-06T01:55:48Z,2
rtZVFMxQISA,@ObserveNotify,"Why this time, all indian citizens are not willing to go for election voting? They say it's same EVM like last time election, that will 100% loot and rob their votes.",2024-05-03T10:25:12Z,0
rtZVFMxQISA,@sireeshab3721,Bjp 370 seats praying for 400 seats,2024-04-27T11:49:43Z,0
rtZVFMxQISA,@_gurjar_118,"Aaj m kuchh nhi bolunga kon jeetega kon harega 😂
I know who will win and will comment on 4 june 😂
Logo ko tut te hue dekhunga 😂😅",2024-04-27T01:45:10Z,4
rtZVFMxQISA,@MrSanirul_,Rahul Gandhi next pm,2024-04-26T18:37:24Z,1
rtZVFMxQISA,@DeepakKumar-ib6uz,bjp😅😅😅,2024-04-26T18:09:12Z,0
rtZVFMxQISA,@AX33335,"BJP HANDS DOWN! and if Congress wins, i will delete my comment for sure..Mark my Words!",2024-04-26T16:24:25Z,0
rtZVFMxQISA,@fahadmushtaq799,Congress ❤🎉,2024-04-26T14:26:01Z,11
wMa3N5wCuNc,@AziaTabsam,❤,2024-06-19T16:27:31Z,0
wMa3N5wCuNc,@neerajyadavbijroni9237,सटीक जानकारी देने के लिए आपका आभार,2024-05-24T03:32:49Z,0
wMa3N5wCuNc,@manojbharati2183,Voting k bad turant ginti honi chahiye vot ki,2024-05-23T11:49:41Z,0
wMa3N5wCuNc,@sarojkumari858,कुल लोकसभा सीट 543 है या 544। आपके द्वारा सात चरण में 544 बताया गया है जबकि gk में 543 बता रहा है।,2024-05-19T08:53:40Z,3
wMa3N5wCuNc,@Ethicalservices,Why result takes so much time?,2024-05-10T07:15:28Z,0
wMa3N5wCuNc,@krishanlal8535,"*🇮🇳पीएम तो राहुल बनेंगे पंरतु 3 महीने से पहले सरकार आपसी फूट से गिर जायेगी जागरूक लोग ""यीशू मसीह के आगे"" एकता के लिए दुआ करें आमीन 🙏*",2024-05-08T01:28:14Z,0
wMa3N5wCuNc,@ThriveRemedy,Rahul,2024-05-02T16:24:18Z,0
wMa3N5wCuNc,@sumitrashroff5477,When which date election will be in mumbai,2024-04-26T15:56:27Z,2
wMa3N5wCuNc,@sumitrashroff5477,When  will be  election in mumbai,2024-04-26T14:53:31Z,2
wMa3N5wCuNc,@mrashokpaul2371,Bi  this EC fare election without violance is possible EC selected by ruling govt.not supreme court ❤,2024-04-18T03:15:59Z,0
wMa3N5wCuNc,@sanjaykumarpatra6843,Thanks,2024-04-11T07:53:04Z,0
wMa3N5wCuNc,@Saroj-uz6pb,Vote for modi,2024-04-02T09:54:08Z,0
wMa3N5wCuNc,@Rupondebrupon123,Modi jay jay shri Ram,2024-03-21T03:35:53Z,0
wMa3N5wCuNc,@exsecular464,Puri jankari to deta be chomu,2024-03-18T09:09:39Z,0
wMa3N5wCuNc,@mohdamin41,Next pm Rahul gandhi best ❤,2024-03-17T08:31:16Z,2
FIzTutXgnu8,@JaichandSharma-k8i,Bhrm mt failed.,2025-07-27T07:21:51Z,0
FIzTutXgnu8,@mjanardhanarao7499,2029 are you potuluri veera brhamendra swamy. Do you know kala gnanam to tell the future.  Don't bluffing public please,2025-07-26T10:47:09Z,0
FIzTutXgnu8,@s.ktiwary8350,Beta khayali pulao banao or pappu ko khilao,2025-07-26T07:31:10Z,1
FIzTutXgnu8,@somnathdas4531,ভোগাস,2025-07-25T06:56:20Z,0
FIzTutXgnu8,@rameshraina4858,Best joke,2025-07-25T06:20:43Z,0
