video_id,author,comment,published_at,like_count
rNcMFBHikKc,@szpilman-l8i,Football 💀,2025-09-07T11:07:04Z,0
rNcMFBHikKc,@Stevieboi7912,"Foot ball with 
A mannequin foot",2025-09-06T18:58:09Z,0
rNcMFBHikKc,@anneliesdebondt4283,"In Dutch: when you punch someone, you give someone a ""boks"" and the sport is called ""boksen""",2025-09-06T13:19:39Z,1
rNcMFBHikKc,@XavierVarela-i2i,Yo dude perfect i have your water bottle and it freaking amazing dude!,2025-09-06T02:58:36Z,0
rNcMFBHikKc,@kmed1994,"Stop playing with food while people are starving in africa and gaza and sudan... Have some morals and dignity, this is disgusting",2025-09-05T16:57:15Z,0
rNcMFBHikKc,@YTB_More,the boxing one looks fun ngl,2025-09-05T14:51:04Z,3
rNcMFBHikKc,@H4R1547,Basketball but where's the ball,2025-09-05T14:06:48Z,0
rNcMFBHikKc,@thechadcastofafe2227,Cricket,2025-09-05T04:20:32Z,0
rNcMFBHikKc,@coolhandluke2979,Aww man my pickle broke :) That's gotta be a meme,2025-09-05T01:56:03Z,0
rNcMFBHikKc,@AbstractAdawg,Soccer???,2025-09-04T22:13:03Z,0
rNcMFBHikKc,@Brady.2fye,Basketball is technically basketball a it’s a ball going into a basket,2025-09-04T22:11:25Z,0
rNcMFBHikKc,@Jeremiah-i8l7p,That's cool,2025-09-04T11:17:09Z,0
rNcMFBHikKc,@cardinalyear,I'd love to see cricket 🏏🦗😂,2025-09-04T00:38:02Z,0
rNcMFBHikKc,@bcgodwin8311,LAME!,2025-09-04T00:24:30Z,0
rNcMFBHikKc,@bcgodwin8311,Lameie lamerson,2025-09-04T00:23:33Z,0
9bv0rBDxVrY,@ashu_gaming-sf,😂,2025-09-07T10:34:55Z,0
9bv0rBDxVrY,@bacondonutlol,Legends that knew these,2025-09-06T23:42:02Z,0
9bv0rBDxVrY,@Rajudhawade-x8j,Nice ❤,2025-09-02T20:11:27Z,0
9bv0rBDxVrY,@Tonyorigum,This amazing,2025-09-01T23:40:09Z,0
9bv0rBDxVrY,@CATANDMAYAGHOSTS258LAMBORG-z7q,Don't insult us,2025-09-01T03:04:31Z,0
9bv0rBDxVrY,@すりょ,Ball breaker😢,2025-08-28T11:29:21Z,0
9bv0rBDxVrY,@agugugagasigma,yağlı direk 🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷,2025-08-26T19:08:45Z,0
9bv0rBDxVrY,@seanhenry1,Why did the commentator sound the the omnidroid from the incredibles,2025-08-24T09:24:01Z,0
9bv0rBDxVrY,@Recep861,"Yagli direk ❌

Yağlı direk ✔️",2025-08-23T09:31:24Z,0
9bv0rBDxVrY,@me.nameis.samuel-y6b,"""THE SPEED IS CRAZY!"" **flips painfully into the waterthen hits the snow  and nearly drowns** ""awh!"" was so funny i can't stop laughing 🤣",2025-08-22T03:45:14Z,1
9bv0rBDxVrY,@Myrealifedit,Oh wow that’s very dangerous,2025-08-19T22:17:59Z,0
9bv0rBDxVrY,@amamsingh7290,❤❤❤❤❤❤❤❤,2025-08-17T14:28:48Z,0
9bv0rBDxVrY,@aviwepama8286,😂😂😂😂😂😂😂😂😂😂,2025-08-17T09:03:25Z,0
9bv0rBDxVrY,@vxral_Axren,Extreme capture the flag’s pain😭😭😭😭 falling on the pole balls first,2025-08-16T05:49:40Z,0
9bv0rBDxVrY,@Booskie511,First Clip= Hump the pole,2025-08-14T19:57:13Z,1
JNYz4YdOgFk,@pr-joy55,https://youtube.com/shorts/hg3uIYN7ypk?si=jmmvzLk0d_2Tyq6R,2025-09-07T18:46:46Z,0
JNYz4YdOgFk,@paulinekaye4119,Fantastic running. Congratulations.,2025-09-02T20:23:41Z,0
JNYz4YdOgFk,@ULATPANAHONNGAYON16,Go for the gold,2025-09-01T02:21:29Z,0
JNYz4YdOgFk,@Sports_D_world,strong,2025-09-01T00:40:05Z,0
JNYz4YdOgFk,@timelineradiosports,🔥🔥🔥https://youtu.be/8P7CJDOgBmo?si=bzLigH8vUBm58zga,2025-08-24T09:00:55Z,0
JNYz4YdOgFk,@princekoffiofsalem9444,Thank you black Brits,2025-08-19T21:25:55Z,0
JNYz4YdOgFk,@djelalniyazi4090,she ez bombing it,2025-08-18T20:27:08Z,0
JNYz4YdOgFk,@dantom2429,Atleast the short Swiss girl didnt fall this time.,2025-08-13T21:20:17Z,0
JNYz4YdOgFk,@KellyDoualla,Impressive 🎉I now believe it's just my beginning.,2025-08-12T01:48:05Z,0
JNYz4YdOgFk,@JessicaRitchie-o1o,Pure talent. No words,2025-07-26T23:05:59Z,0
JNYz4YdOgFk,@barendvanderlinde2530,"Size matters, not only speed.",2025-07-20T06:33:08Z,0
JNYz4YdOgFk,@championsports-v1y,"Hi,

I Hope that you will be fine.

I  am from Pakistan and we have a manufacturer unit in Pakistan. 
We manufacture all types of products according to the customers requirement like active wear fitness wear gym wear street wear yoga wear legging wear and sports wear in high quality fabric etc....

We gave high quality products at low prices. 

If you have any inquiry let me know please.",2025-07-18T17:56:47Z,0
JNYz4YdOgFk,@Joseph-h4d7z,Greater Britain !,2025-07-17T03:17:18Z,1
JNYz4YdOgFk,@AlbertMamhofa,Is great Britain for sure?,2025-07-10T16:46:32Z,0
JNYz4YdOgFk,@GuillermoLeiton-w7s,BELLAS ❤❤❤ VENGAN LAS 2 PARA COSTA RICA ❤❤❤,2025-07-06T19:13:23Z,0
1af7esCt-Yc,@XavierMcCoy-p2t,I love you,2025-09-08T00:41:05Z,0
1af7esCt-Yc,@bench_225lbs,Huh,2025-09-06T06:32:42Z,0
1af7esCt-Yc,@justincase7848,Sometimes the Americans are the top runners but mess up the hand overs. It's great to see this.,2025-09-05T05:38:48Z,0
1af7esCt-Yc,@commandershepard1944,The strength of the glue on her wig is more impressive.,2025-09-04T20:35:11Z,0
1af7esCt-Yc,@commandershepard1944,The strength of the glue on her wig is more impressive.,2025-09-04T20:34:56Z,0
1af7esCt-Yc,@SakshamJaggi,❤❤,2025-09-02T16:09:02Z,0
1af7esCt-Yc,@HippingOff,👏👏👏👏👏👏👏👏👏👏👏,2025-09-02T08:13:31Z,0
1af7esCt-Yc,@Sports_D_world,I still get chills watching this all these months later.,2025-09-01T12:53:45Z,0
1af7esCt-Yc,@WesleyFitzgerald-k6r,"The average man, ain't catching no black chick, if she get rollin first😮",2025-08-31T06:41:47Z,0
1af7esCt-Yc,@budabuda3617,"Girl #1 F22 raptor 
Girl# 2 f35",2025-08-29T23:16:44Z,0
1af7esCt-Yc,@Luv5Rings1896,🔥🔥🔥,2025-08-27T03:18:10Z,0
1af7esCt-Yc,@newstoons1290,❤❤,2025-08-26T10:58:54Z,0
1af7esCt-Yc,@timelineradiosports,https://youtu.be/8P7CJDOgBmo?si=bzLigH8vUBm58zga 🔥🔥🔥,2025-08-24T08:58:07Z,0
1af7esCt-Yc,@heidikraatz4199,Who is this!!! I want to see the whole race,2025-08-23T01:26:28Z,0
1af7esCt-Yc,@DuyLợiPhạm-w5o,The production quality is clear and easy to follow I learned a lot from it.,2025-08-22T23:32:35Z,0
oSIDK_qMxqM,@stuartrobinson2456,"i was in the restaurant at the ground , heres what the compare and Lou mccari basically  said "" burnley are going to make it difficult for us , they are always a tough nut to crack , its not about the performance today, its about getting over then line and taking the points""",2025-09-07T16:21:49Z,0
oSIDK_qMxqM,@stuartrobinson2456,"MASSIVE HOME WIN OVER ER ER ER ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, burnley",2025-09-07T16:15:02Z,0
oSIDK_qMxqM,@ChancellorGorkon,"Amorim is weak because he plays players out of position and refuses to do common sense thing and switch to a back four. At least until you have what you want. In order to play 3 at the back you have to have excellent wingbacks with balance in midfield. Amad is not a wingback and Dorgu has no brain. Dalot is an average defender, but at least he can play as wingback. It'll end up costing Amorim his job.",2025-09-07T15:05:48Z,0
oSIDK_qMxqM,@arilchoi,"Currently Manchester United is so terrible, defeated burnley 3-2, and they has celebrate like win the FA cup Final !",2025-09-07T04:23:52Z,0
oSIDK_qMxqM,@Aeilaeill,Change the goalkeeper immediately.i have spoken.,2025-09-06T23:48:49Z,1
oSIDK_qMxqM,@muhammadary689,Siapapun lawannya kemenangan layak di rayakan🎉,2025-09-06T16:07:49Z,0
oSIDK_qMxqM,@ElliotOliver-u9q,I love my club Manchester United ❤❤,2025-09-06T13:32:31Z,0
oSIDK_qMxqM,@EnforceTheSport,Much needed win for United🔥🔥🔥,2025-09-05T20:00:27Z,0
oSIDK_qMxqM,@MusimbizeRitahChallenger,We need blessings in our team (Manchester United) this season 🎉🎉,2025-09-05T15:05:56Z,1
oSIDK_qMxqM,@bernardnguruve735,It isn't a victory to be proud of...,2025-09-05T14:39:23Z,0
oSIDK_qMxqM,@AbbyLoycia,that's why watching MU till the end is important,2025-09-05T11:59:24Z,0
oSIDK_qMxqM,@hassantariq4460,"dont ever think you are alone😢.
you are a tiny team who is youth today and and dont ever think you are playing walk to walking football because this was not done by me and forgiveness is part of what the girl thinks of me and you😢.",2025-09-04T18:55:49Z,0
oSIDK_qMxqM,@ichalhakim188,Lol😂😂😂😂😂,2025-09-04T16:05:35Z,1
oSIDK_qMxqM,@omarye3212,Commentator screams whenever man Utd scores... Definitely a fan,2025-09-04T12:35:00Z,2
oSIDK_qMxqM,@sfisomsholozi,Lyle Foster,2025-09-04T11:27:22Z,0
VgqwYnhpcxM,@adilhussein8138,Brave girl ❤,2025-09-08T15:02:19Z,0
VgqwYnhpcxM,@rudrakshapedurpatte3973,My heart is crying,2025-09-08T14:54:59Z,0
VgqwYnhpcxM,@leodemetrius,😢 ❤. Linda e forte!,2025-09-08T14:35:27Z,0
VgqwYnhpcxM,@EbiJerry,முகமது நபியின் காம லீலைகள் ஏராளம் 😂😂அவைகள் சொல்லி முடியாது 😂,2025-09-08T14:25:01Z,0
VgqwYnhpcxM,@deepaksonawne9884,👑,2025-09-08T13:55:52Z,0
VgqwYnhpcxM,@RichCow-xe1bz,Wonderful,2025-09-08T13:52:54Z,0
VgqwYnhpcxM,@ЛенурАкимов-щ2д,У неё самые красивые глазки,2025-09-08T13:37:29Z,1
VgqwYnhpcxM,@McIlvaine11,Como aguanta la niña...eso duele..se mantiene firme,2025-09-08T13:31:28Z,0
VgqwYnhpcxM,@Amir-m9v8m,ooooh boy,2025-09-08T13:23:53Z,0
VgqwYnhpcxM,@balazskereki1027,👏👏👏👏👏,2025-09-08T12:48:59Z,0
VgqwYnhpcxM,@tunoo-r9r,❤❤❤❤❤❤❤,2025-09-08T12:11:02Z,0
VgqwYnhpcxM,@Yan-Hipo78,Hats off🎩⬇️ to her professionalism.. she behaved incredibly well for being hit with full force by a tennis ball🎾... huge thumbs up👍👍👍,2025-09-08T11:41:32Z,2
VgqwYnhpcxM,@chandraanggrawidjaya9953,"Gue terharu melihatnya,anak itu berkaca kaca....😢",2025-09-08T11:14:20Z,1
VgqwYnhpcxM,@GurlalSingh-g5i,Oh no. Nice girl 😢,2025-09-08T10:58:59Z,0
VgqwYnhpcxM,@anonymous-yo4qs,I see too many young kids in this pain and incident I’m sure we can come up with a better solution,2025-09-08T10:56:11Z,0
5rtUBGbhVpg,@FelixEsportsYT,Admin may be indian,2025-09-08T07:05:51Z,0
5rtUBGbhVpg,@Indianbybirth1947,Can someone please let me know the name of the bgm?,2025-09-04T16:49:21Z,0
5rtUBGbhVpg,@نبیل-333,Arshad nadeem Destroyed Neeraj's😂😂😂,2025-08-26T05:49:21Z,0
5rtUBGbhVpg,@jameschamberlain5817,My favourite thrower at this present time. He has so much potential. I genuinely think he's capable of beating the current WR.,2025-08-23T14:28:23Z,0
5rtUBGbhVpg,@Cricket_Rampage,Arshid Nadeem 92.97m,2025-08-23T10:48:42Z,0
5rtUBGbhVpg,@vinuroses4u,1500 comment yay,2025-08-23T08:16:36Z,0
5rtUBGbhVpg,@AhmadMalik493,😂😂😂😂 arshad Nadeem,2025-08-22T07:26:31Z,0
