video_id,author,comment,published_at,like_count
tp-7LPsvkVg,@RAUSHANKUMAR-hp7hc,Paras difence,2025-07-28T08:55:19Z,0
tp-7LPsvkVg,@OliverZata,"AI Stocks are pretty unstable at the moment, but if you do the right math, you should be just fine. Bloomberg and other finance media have been recording cases of folks gaining over 250k just in a matter of weeks/couple months, so I think there are a lot of wealth transfer in this downtime if you know where to look.",2025-07-28T08:54:48Z,138
tp-7LPsvkVg,@nevillokapi3617,LOVE AND PEACE ♥️💙♥️💙🇺🇸🇺🇸🇺🇸🤲💙♥️💙🙏🙏🇺🇸🙏,2025-07-28T07:54:47Z,0
tp-7LPsvkVg,@Akshay99nn,Option chain me intraday ka price 5× Kam hota he kya,2025-07-28T06:20:12Z,0
tp-7LPsvkVg,@irshadalam9827,My prediction is soon TATA will lose its glory..,2025-07-28T04:30:23Z,0
tp-7LPsvkVg,@irshadalam9827,Jis tarah se aaj TATA behal hai Ratan TATA ke jaane ke baad... Mujhe to dar hai is desh ka kya hoga Modi ji ke jane ke baad... Bhai isko koi amrit jal pila kar rakho.. 200 saal kam se kam rahna chahye,2025-07-28T04:29:25Z,0
tp-7LPsvkVg,@News_to_News24,Hiii,2025-07-28T04:00:44Z,0
tp-7LPsvkVg,@PriyaRathore-l9f,👍,2025-07-28T03:39:17Z,0
tp-7LPsvkVg,@factsbydev91312,IEX aaj top pe jayega firse,2025-07-28T03:32:43Z,0
tp-7LPsvkVg,@dilipd1415,"आज veeruji ke levels nahi hai ? Pl veeruji, what happened sir?",2025-07-28T03:03:49Z,0
tp-7LPsvkVg,@MShivaPrashad,Aaj Hi Up Move Ayegi Fir Bhi Retailer Apni Down Position Ko Hold Karega Aur Raat Mei Deal US India Tabhi Katega Retailer Badiya Se Hamesha Ki Tarah 😁🙏,2025-07-28T02:38:12Z,0
wUwfgpsKhrY,@mukundbhilwadikar4655,1.25%,2025-07-25T22:37:58Z,0
wUwfgpsKhrY,@ibochau5,4.26% down😂😂😂😂,2025-07-25T20:14:56Z,0
wUwfgpsKhrY,@ritishavasani1147,"Hi 
We are doing phisical share to demate",2025-07-25T20:02:26Z,0
wUwfgpsKhrY,@ankush1959,Lal ho gaya 😂,2025-07-25T19:58:04Z,0
wUwfgpsKhrY,@kpgupta297,Actullay शेयर मार्केट FII और DII के लिए है रिटेल इन्वेस्टर तो भगवान भरोसे रहता है। रिटेलर एक दिन कमाता है और ऑपरेटर के झांसे में आकर 4दिन गंवाता है।,2025-07-25T19:50:00Z,0
wUwfgpsKhrY,@nashivanta.,सरजी विडिओ कि अपलोड डेट निचे डाला करो सरजी🙏🙏❣️💕,2025-07-25T19:23:50Z,0
wUwfgpsKhrY,@sonurajpandit9770,Mera red nai kala ho gya😊,2025-07-25T19:01:56Z,0
wUwfgpsKhrY,@ghoshallha,4 stock green lekin sab milake 100 rs saheed +hai 😊,2025-07-25T18:57:20Z,0
wUwfgpsKhrY,@sunilrethe8710,तिलकनगर ind आज एकहि शेर था...जो शेरकी तरह भाग रहा था.❤,2025-07-25T18:56:36Z,1
wUwfgpsKhrY,@kirticvinchhi9584,मेरे पोर्टफोलियो में सिर्फ selliyonn india hai,2025-07-25T18:43:54Z,0
wUwfgpsKhrY,@sachinmandage2654,Iex aaj 10% bhaga 🤔,2025-07-25T18:22:28Z,0
wUwfgpsKhrY,@javedtamboli345,Trump sahab hi kuch kar sakte he.tabhi market bhagega...save Trump save..,2025-07-25T18:21:28Z,0
wUwfgpsKhrY,@manoranjankumar-nn9qr,Maine 1.5 saal pahle market mein entry kiya ab lagta hai kyu kiya tha FD hi thik tha ..no tension,2025-07-25T18:15:16Z,0
wUwfgpsKhrY,@rajmahajan6057,Aaj 76000 thousand ka nuksaan,2025-07-25T18:12:32Z,0
wUwfgpsKhrY,@Astro_Percey,Jo trading krte hai and thode bhout chart knowledge hogi tho aaj ka chart dekh kr suru ke kuch time baad hi put lekar baith gye honge,2025-07-25T18:12:01Z,0
wgxoNwmKlCw,@PhronesisInvestorAcademy,"Multiply Your Investment Knowledge with  our Online Courses :
1. Masters of Stock Investing (MSI Course)
2. Masters of Mutual Fund (MMF Course)
Website Link - https://www.phronesisinvestor.in/s/store
What's App No - 9035318500",2025-07-25T11:32:54Z,11
wgxoNwmKlCw,@khushwantgill3042,"GM, agriculture and dairy is not only political issue.. If USA enter it will become a health issue too....",2025-07-28T08:26:17Z,0
wgxoNwmKlCw,@harireddy2242,GM food products should never be allowed in India otherwise lot of people will die... GM crops are dangerous and should never be allowed whatever may be the consequences...,2025-07-27T20:28:44Z,0
wgxoNwmKlCw,@harireddy2242,Lost more than 62000 rs in just 2 sessions.... Booked my loss and exited.... Will never return again in this gambling world,2025-07-27T20:23:53Z,1
